StateCode,CountyCode,FIPS Code,Mean Temperature (c),Mean_pH,Mean Turbidity,Mean Fecal Coliform,Mean Flow
1,1,01001,18.7,6.1,6.3,,27.9
1,3,01003,23.9,6.6,9.4,49.7,199.2
1,5,01005,25.9,8.2,5.5,,5.7
1,7,01007,20.4,7.1,45.4,,319.4
1,9,01009,22.2,7.7,4.6,,48.8
1,15,01015,21.1,7.6,6.8,,22.4
1,19,01019,18.5,7.3,6.4,520.0,920.5
1,23,01023,21.8,7.4,19.0,,
1,25,01025,23.3,7.2,10.8,,44.3
1,29,01029,22.2,6.9,12.0,,49.9
1,33,01033,16.4,7.1,5.9,,
1,35,01035,24.6,7.0,18.1,,201.7
1,37,01037,20.6,7.1,11.9,,99.0
1,39,01039,21.6,6.9,9.4,,542.0
1,41,01041,24.0,7.5,10.0,,85.7
1,43,01043,21.3,7.6,5.2,,21.7
1,45,01045,19.8,5.9,13.5,,
1,47,01047,20.8,7.1,16.2,,24.0
1,51,01051,21.1,7.4,5.1,,8454.6
1,53,01053,20.3,6.5,5.5,,622.0
1,55,01055,19.6,7.5,21.0,,36.4
1,57,01057,22.5,6.8,12.7,,16.4
1,61,01061,31.5,6.7,12.7,,310.3
1,63,01063,22.2,6.8,24.1,,12.3
1,65,01065,23.7,6.9,17.7,,11.7
1,67,01067,22.4,7.6,0.4,,
1,69,01069,22.4,7.5,0.5,,
1,71,01071,16.6,7.3,9.7,,398.4
1,73,01073,20.5,7.8,8.9,,43.9
1,75,01075,23.8,6.8,63.3,,68.3
1,77,01077,13.6,6.9,1.9,,2.4
1,79,01079,16.3,7.3,4.2,,16.2
1,81,01081,22.1,7.3,8.7,,11.5
1,83,01083,18.0,6.6,6.3,,97.3
1,87,01087,25.0,7.5,6.7,,39.7
1,89,01089,18.0,6.3,7.4,,372.0
1,91,01091,19.5,7.5,38.2,,2.5
1,93,01093,19.9,7.4,5.3,,116.6
1,95,01095,22.4,7.6,1.0,,8.5
1,97,01097,25.5,7.3,10.4,2.5,2253.8
1,101,01101,21.1,5.7,2.1,,794.1
1,103,01103,17.9,7.8,8.1,,6.3
1,107,01107,29.5,8.3,19.2,,1.1
1,111,01111,20.6,6.3,2.6,,82.8
1,113,01113,20.5,6.8,3.8,253.9,
1,115,01115,19.4,8.1,7.2,,36.1
1,117,01117,20.2,7.7,13.1,,166.0
1,119,01119,25.1,7.8,26.7,,141.6
1,121,01121,22.2,7.9,5.9,,70.6
1,123,01123,21.7,6.5,7.9,,62.0
1,125,01125,22.6,7.3,10.0,,38.2
1,127,01127,17.1,7.3,10.1,,17.9
1,133,01133,15.9,6.8,3.5,,15.6
2,13,02013,3.0,,,,
2,20,02020,8.8,7.3,11.6,65.7,1.3
2,50,02050,5.9,7.4,,,
2,68,02068,10.0,,,,
2,90,02090,13.5,7.2,38.9,,
2,100,02100,7.3,7.5,0.2,11.5,
2,110,02110,9.4,5.5,29.5,305.6,
2,122,02122,8.5,7.7,220.4,54.7,1.8
2,150,02150,3.8,,,,
2,164,02164,5.4,7.1,3.4,,
2,170,02170,8.8,7.7,240.0,,
2,185,02185,25.5,27.3,,,
2,198,02198,7.4,,,,
2,220,02220,6.6,7.0,,,
2,270,02270,10.3,7.9,87.5,,
2,282,02282,10.0,,,,
2,290,02290,9.1,7.5,3.6,,
4,1,04001,16.0,8.3,9.3,,7.1
4,3,04003,17.3,8.1,4857.2,,53.6
4,5,04005,15.0,7.9,5820.1,,8.3
4,7,04007,15.6,8.2,37.1,,2.7
4,9,04009,31.6,7.9,227.2,,23.2
4,11,04011,15.3,8.2,7.6,,9.9
4,12,04012,55.0,7.3,19.1,,
4,13,04013,29.8,7.7,135.9,49.9,98.2
4,15,04015,20.7,7.5,170.3,51.3,22.3
4,17,04017,21.0,8.3,,,
4,19,04019,27.3,6.9,16.1,,9.2
4,21,04021,16.2,8.3,7.9,77.0,3.8
4,23,04023,19.5,6.2,37.3,,5.0
4,25,04025,16.3,8.0,52.0,,10.2
4,27,04027,43.5,7.7,9.4,,365.2
5,1,05001,20.6,7.3,21.1,,
5,3,05003,21.1,7.0,13.9,,
5,5,05005,15.5,7.9,3.2,8.0,
5,7,05007,18.1,7.8,3.9,3666.7,
5,9,05009,20.0,7.7,2.6,,
5,13,05013,20.4,7.3,4.4,,
5,15,05015,17.5,7.8,2.5,107.0,
5,17,05017,22.1,7.3,18.4,,
5,19,05019,18.1,7.0,7.3,,
5,21,05021,18.9,7.7,24.9,,
5,23,05023,15.8,7.0,4.4,99.3,
5,25,05025,17.9,6.9,20.6,,
5,27,05027,20.2,7.6,1.9,,
5,29,05029,17.7,6.8,14.8,9311.3,
5,31,05031,20.0,7.4,33.2,,
5,33,05033,22.7,7.0,17.4,,
5,35,05035,18.9,7.4,203.0,,
5,37,05037,19.0,7.2,50.7,,
5,39,05039,20.3,7.1,8.5,,
5,41,05041,21.2,7.1,28.3,1662.2,
5,43,05043,21.6,6.8,8.4,,
5,45,05045,20.1,6.9,10.0,,
5,47,05047,21.0,7.9,16.4,,
5,49,05049,21.7,7.8,1.5,,
5,51,05051,19.0,6.8,12.3,,
5,53,05053,17.2,6.8,17.1,,
5,55,05055,21.0,7.5,123.0,,
5,57,05057,20.2,7.4,38.8,,
5,59,05059,19.7,6.3,8.1,,
5,61,05061,17.2,6.8,7.6,,
5,63,05063,19.3,7.4,20.7,,
5,65,05065,13.0,7.9,5.0,49.8,
5,67,05067,20.0,7.4,56.2,,
5,69,05069,20.7,7.1,18.7,,
5,71,05071,18.7,6.7,13.0,,
5,73,05073,20.1,7.0,21.4,,
5,75,05075,21.0,7.8,28.8,,
5,77,05077,20.6,7.3,38.7,,
5,79,05079,20.6,7.0,33.9,365.0,
5,81,05081,20.7,7.8,36.0,,
5,83,05083,18.4,6.6,14.4,,
5,85,05085,20.6,7.2,35.8,,
5,87,05087,16.0,7.3,15.4,1155.0,
5,89,05089,17.3,7.9,1.3,28.9,
5,91,05091,21.0,6.9,15.9,69.3,
5,93,05093,20.0,7.7,,,
5,95,05095,21.3,7.2,111.1,,
5,97,05097,17.7,7.1,3.8,,
5,101,05101,15.8,7.6,8.8,40.8,
5,103,05103,20.3,6.8,2.6,43.5,
5,105,05105,18.1,6.7,8.6,92.4,
5,107,05107,21.0,7.4,14.2,,
5,109,05109,18.3,7.1,3.0,,
5,111,05111,20.2,7.3,217.8,,
5,113,05113,18.5,7.1,10.8,21.3,
5,115,05115,15.9,6.8,6.2,45.4,
5,117,05117,21.8,7.2,33.3,41.5,
5,119,05119,18.4,6.6,16.8,329.4,
5,121,05121,19.6,7.8,12.8,,
5,123,05123,19.1,7.3,71.4,381.5,
5,125,05125,16.8,6.8,9.5,61.1,
5,127,05127,18.6,7.0,7.5,194.7,
5,129,05129,17.3,7.8,2.9,25.0,
5,131,05131,19.4,7.7,14.0,183.8,
5,133,05133,19.2,6.9,9.1,,
5,135,05135,24.3,8.3,1.6,,
5,137,05137,12.9,7.7,3.1,13.0,
5,139,05139,21.1,7.8,4.0,,
5,141,05141,14.5,6.6,5.3,374.1,
5,143,05143,20.1,7.7,14.3,816.4,
5,145,05145,18.2,7.0,16.4,,
5,147,05147,21.7,6.7,54.2,630.8,
5,149,05149,16.9,6.5,15.2,,
6,1,06001,16.1,7.9,37.6,,
6,3,06003,12.4,7.9,2.2,70.0,
6,5,06005,19.7,7.4,,,
6,7,06007,13.9,7.6,0.7,,
6,9,06009,21.3,7.2,,,
6,11,06011,19.9,8.0,0.5,,
6,13,06013,16.2,7.9,18.5,,1.1
6,15,06015,16.4,7.4,8.6,,
6,17,06017,9.7,7.5,0.1,,
6,19,06019,18.6,7.5,0.3,,
6,21,06021,18.6,7.8,0.2,,
6,23,06023,13.0,7.6,20.8,79.9,
6,25,06025,25.5,7.9,6.0,,
6,27,06027,7.7,7.4,,,
6,29,06029,22.2,7.7,3.7,,
6,31,06031,19.4,7.3,3.5,,
6,33,06033,15.8,7.5,15.3,19.6,
6,35,06035,13.2,8.6,,,
6,37,06037,22.0,7.9,1.5,,
6,39,06039,14.3,7.0,,,
6,41,06041,11.9,7.4,25.5,116.7,2.2
6,43,06043,8.5,6.8,,,
6,45,06045,31.5,7.5,0.2,,
6,47,06047,18.4,7.6,1.8,,
6,49,06049,17.9,7.8,,,
6,51,06051,14.8,7.5,2.0,82.5,
6,53,06053,18.7,7.2,50.3,,
6,55,06055,23.4,7.1,,,
6,57,06057,12.8,7.7,1.3,10.0,
6,59,06059,22.8,7.8,0.2,,
6,61,06061,12.2,7.9,5.4,10.0,
6,63,06063,13.1,7.5,0.9,,
6,65,06065,31.2,8.0,71.5,100.9,
6,67,06067,23.4,7.6,8.0,,
6,69,06069,14.8,7.6,14.3,,0.1
6,71,06071,21.8,8.0,0.3,,
