FIPS Code,1982 Mean pH Value,%  Outside of Ideal (7.25),2012 Mean pH Value,%  Outside of Ideal (7.25),% Difference,Change in % Points in Difference from Ideal
13065,4.082608696,43.7%,3.927762821,45.8%,-3.9%,2.1%
12003,5.422222222,25.2%,4.393681818,39.4%,-23.4%,14.2%
28073,5.71,21.2%,4.92,32.1%,-16.1%,10.9%
28035,6.5,10.3%,5.2,28.3%,-25.0%,17.9%
13179,7.49,-3.3%,5.527314815,23.8%,-35.5%,27.1%
02110,7.814285714,-7.8%,5.54968254,23.5%,-40.8%,31.2%
22015,6.89,5.0%,5.625,22.4%,-22.5%,17.4%
36089,7.363534382,-1.6%,5.673480405,21.7%,-29.8%,23.3%
01101,8.0925,-11.6%,5.7418912,20.8%,-40.9%,32.4%
28109,6.593181818,9.1%,5.754074074,20.6%,-14.6%,11.6%
13269,4.6,36.6%,5.8,20.0%,20.7%,-16.6%
01045,7.583333333,-4.6%,5.85,19.3%,-29.6%,23.9%
13025,5.123017903,29.3%,5.856410256,19.2%,12.5%,-10.1%
36043,4.783333333,34.0%,5.905101887,18.6%,19.0%,-15.5%
34005,6.169113005,14.9%,5.945530908,18.0%,-3.8%,3.1%
13319,5.655208333,22.0%,5.97,17.7%,5.3%,-4.3%
05059,6.867727273,5.3%,6.013379071,17.1%,-14.2%,11.8%
34011,6.908333333,4.7%,6.033903509,16.8%,-14.5%,12.1%
45041,6.75,6.9%,6.064257576,16.4%,-11.3%,9.5%
28023,7.03,3.0%,6.069666667,16.3%,-15.8%,13.2%
22013,7.95,-9.7%,6.0875,16.0%,-30.6%,25.7%
45067,8.319444444,-14.8%,6.097583333,15.9%,-36.4%,30.6%
01001,6.2,14.5%,6.135555556,15.4%,-1.1%,0.9%
13109,5.372727273,25.9%,6.1485,15.2%,12.6%,-10.7%
45003,5.994444444,17.3%,6.1490625,15.2%,2.5%,-2.1%
08065,7.666666667,-5.7%,6.15109375,15.2%,-24.6%,20.9%
13019,5.833333333,19.5%,6.155833333,15.1%,5.2%,-4.4%
16015,7.765740741,-7.1%,6.174051724,14.8%,-25.8%,22.0%
28131,7.778125,-7.3%,6.183421053,14.7%,-25.8%,22.0%
37017,6.658333333,8.2%,6.203855997,14.4%,-7.3%,6.3%
45089,6.416666667,11.5%,6.209075758,14.4%,-3.3%,2.9%
04023,7.792857143,-7.5%,6.240672954,13.9%,-24.9%,21.4%
01111,6.4375,11.2%,6.25038961,13.8%,-3.0%,2.6%
