uniqid_co,GEOID10,NAMELSAD10,areakm2
1,04019,Pima County,23799.8
2,04017,Navajo County,25795.6
3,04012,La Paz County,11690.5
4,04007,Gila County,12420.2
5,04027,Yuma County,14294.4
6,04025,Yavapai County,21051.1
7,04021,Pinal County,13919.2
8,04011,Greenlee County,4787.4
9,04023,Santa Cruz County,3206.7
10,04005,Coconino County,48332.6
11,04009,Graham County,12020.2
12,04013,Maricopa County,23891.1
13,04003,Cochise County,16106.9
14,04015,Mohave County,34862.5
15,04001,Apache County,29055.6
16,06059,Orange County,2063.7
17,06083,Santa Barbara County,7121.9
18,06025,Imperial County,11607.5
19,06029,Kern County,21141.2
20,06073,San Diego County,10974.3
21,06071,San Bernardino County,52072.3
22,06065,Riverside County,18914.9
23,06111,Ventura County,4809.9
24,06037,Los Angeles County,10580.0
25,08071,Las Animas County,12368.3
26,08021,Conejos County,3343.5
27,08067,La Plata County,4402.3
28,08011,Bent County,3991.4
29,08023,Costilla County,3186.6
30,08099,Prowers County,4258.8
31,08083,Montezuma County,5283.9
32,08079,Mineral County,2273.4
33,08003,Alamosa County,1873.3
34,08105,Rio Grande County,2362.9
35,08009,Baca County,6623.5
36,08007,Archuleta County,3510.7
37,08055,Huerfano County,4126.6
38,20145,Pawnee County,1954.5
39,20175,Seward County,1658.9
40,20057,Ford County,2846.6
41,20055,Finney County,3373.9
42,20187,Stanton County,1762.3
43,20155,Reno County,3294.8
44,20033,Comanche County,2045.3
45,20077,Harper County,2079.2
46,20075,Hamilton County,2583.9
47,20083,Hodgeman County,2228.2
48,20097,Kiowa County,1872.2
49,20081,Haskell County,1496.7
50,20129,Morton County,1890.5
51,20067,Grant County,1489.6
52,20047,Edwards County,1610.9
53,20007,Barber County,2942.7
54,20069,Gray County,2251.5
55,20025,Clark County,2530.9
56,20095,Kingman County,2244.6
57,20079,Harvey County,1400.5
58,20189,Stevens County,1884.1
59,20093,Kearny County,2255.8
60,20185,Stafford County,2058.8
61,20173,Sedgwick County,2613.6
62,20119,Meade County,2536.5
63,20191,Sumner County,3069.0
64,20151,Pratt County,1905.5
65,32003,Clark County,20877.6
66,35021,Harding County,5506.1
67,35051,Sierra County,10971.8
68,35025,Lea County,11380.8
69,35019,Guadalupe County,7851.9
70,35057,Torrance County,8665.5
71,35017,Grant County,10275.9
72,35035,Otero County,17165.2
73,35045,San Juan County,14344.4
74,35041,Roosevelt County,6357.9
75,35009,Curry County,3646.6
76,35055,Taos County,5709.4
77,35023,Hidalgo County,8925.1
78,35015,Eddy County,10871.5
79,35011,De Baca County,6044.7
80,35006,Cibola County,11762.9
81,35037,Quay County,7463.2
82,35007,Colfax County,9759.9
83,35028,Los Alamos County,283.0
84,35001,Bernalillo County,3023.0
85,35013,Do??a Ana County,9879.9
86,35005,Chaves County,15734.5
87,35061,Valencia County,2766.9
88,35039,Rio Arriba County,15271.0
89,35047,San Miguel County,12265.2
90,35003,Catron County,17946.5
91,35043,Sandoval County,9624.1
92,35049,Santa Fe County,4949.2
93,35053,Socorro County,17220.1
94,35027,Lincoln County,12513.1
95,35031,McKinley County,14129.1
96,35029,Luna County,7680.2
97,35033,Mora County,5008.0
98,35059,Union County,9921.9
99,40119,Payne County,1805.2
100,40015,Caddo County,3341.6
101,40095,Marshall County,1105.8
102,40055,Greer County,1667.0
103,40099,Murray County,1101.0
104,40067,Jefferson County,2004.9
105,40141,Tillman County,2277.1
106,40059,Harper County,2696.3
107,40053,Grant County,2599.3
108,40043,Dewey County,2611.3
109,40109,Oklahoma County,1860.6
110,40139,Texas County,5306.1
111,40129,Roger Mills County,2969.2
112,40075,Kiowa County,2669.5
113,40009,Beckham County,2341.2
114,40103,Noble County,1923.2
115,40057,Harmon County,1395.1
116,40093,Major County,2481.1
117,40003,Alfalfa County,2282.7
118,40085,Love County,1378.9
119,40007,Beaver County,4707.3
120,40137,Stephens County,2308.6
121,40071,Kay County,2447.4
122,40065,Jackson County,2083.0
123,40025,Cimarron County,4767.9
124,40045,Ellis County,3190.6
125,40087,McClain County,1502.9
126,40051,Grady County,2861.7
127,40011,Blaine County,2431.5
128,40153,Woodward County,3227.5
129,40073,Kingfisher County,2346.6
130,40031,Comanche County,2806.8
131,40033,Cotton County,1662.7
132,40039,Custer County,2595.4
133,40047,Garfield County,2745.6
134,40149,Washita County,2612.8
135,40083,Logan County,1939.5
136,40049,Garvin County,2107.4
137,40081,Lincoln County,2501.1
138,40027,Cleveland County,1445.4
139,40017,Canadian County,2345.5
140,40151,Woods County,3341.0
141,40019,Carter County,2159.4
142,40125,Pottawatomie County,2054.9
