uniqid_eco4,US_L4CODE,US_L4NAME,NA_L3CODE,areakm2
1,10a,Channeled Scablands,10.1.2,11148.6
2,10b,Loess Islands,10.1.2,12539.5
3,10c,Umatilla Plateau,10.1.2,9615.1
4,10d,Okanogan Drift Hills,10.1.2,2191.6
5,10e,Pleistocene Lake Basins,10.1.2,16639.7
6,10f,Dissected Loess Uplands,10.1.2,2975.9
7,10g,Yakima Folds,10.1.2,11113.9
8,10h,Palouse Hills,10.1.2,5515.7
9,10i,Deep Loess Foothills,10.1.2,1360.6
10,10j,Nez Perce Prairie,10.1.2,1879.0
11,10k,Deschutes/John Day Canyons,10.1.2,1746.2
12,10l,Lower Snake and Clearwater Canyons,10.1.2,1161.2
13,10m,Okanogan Valley,10.1.2,3320.5
14,10n,Umatilla Dissected Uplands,10.1.2,1924.1
15,11a,John Day/Clarno Uplands,6.2.9,13006.9
16,11b,John Day/Clarno Highlands,6.2.9,6412.8
17,11c,Maritime-Influenced Zone,6.2.9,3845.0
18,11d,Melange,6.2.9,3921.0
19,11e,Wallowas/Seven Devils Mountains,6.2.9,2012.6
20,11f,Canyons and Dissected Highlands,6.2.9,5043.8
21,11g,Canyons and Dissected Uplands,6.2.9,5409.8
22,11h,Continental Zone Highlands,6.2.9,4029.5
23,11i,Continental Zone Foothills,6.2.9,11155.9
24,11k,Blue Mountain Basins,6.2.9,2808.8
25,11l,Mesic Forest Zone,6.2.9,6537.3
26,11m,Subalpine-Alpine Zone,6.2.9,1606.5
27,11n,Deschutes River Valley,6.2.9,4083.5
28,11o,Cold Basins,6.2.9,1037.9
29,12a,Treasure Valley,10.1.8,4665.6
30,12b,Lava Fields,10.1.8,2905.4
31,12c,Camas Prairie,10.1.8,1372.0
32,12d,Dissected Plateaus and Teton Basin,10.1.8,2774.7
33,12e,Upper Snake River Plain,10.1.8,3790.2
34,12f,Semiarid Foothills,10.1.8,4036.8
35,12g,Eastern Snake River Basalt Plains,10.1.8,16643.1
36,12h,Mountain Home Uplands,10.1.8,7628.1
37,12i,Magic Valley,10.1.8,4404.3
38,12j,Unwooded Alkaline Foothills,10.1.8,5406.5
39,13a,Salt Deserts,10.1.5,19306.0
40,13aa,Sierra Nevada-Influenced Semiarid Hills and Basins,10.1.5,7003.0
41,13ab,Sierra Valley,10.1.5,449.2
42,13ac,Upper Owens Valley,10.1.5,1762.8
43,13ad,Mono-Adobe Valleys,10.1.5,818.0
44,13ae,Bishop Volcanic Tableland,10.1.5,447.8
45,13b,Shadscale-Dominated Saline Basins,10.1.5,29461.5
46,13c,Sagebrush Basins and Slopes,10.1.5,26409.5
47,13d,Woodland- and Shrub-Covered Low Mountains,10.1.5,18561.3
48,13e,High Elevation Carbonate Mountains,10.1.5,2688.7
49,13f,Moist Wasatch Front Footslopes,10.1.5,2305.9
50,13g,Wetlands,10.1.5,1994.0
51,13h,Lahontan and Tonopah Playas,10.1.5,8051.7
52,13i,Malad and Cache Valleys,10.1.5,2660.2
53,13j,Lahontan Salt Shrub Basin,10.1.5,24826.2
54,13k,Lahontan Sagebrush Slopes,10.1.5,12342.5
55,13l,Lahontan Uplands,10.1.5,2214.7
56,13m,Upper Humboldt Plains,10.1.5,13584.2
57,13n,Mid-Elevation Ruby Mountains,10.1.5,1209.8
58,13o,High Elevation Ruby Mountains,10.1.5,319.9
59,13p,Carbonate Sagebrush Valleys,10.1.5,24664.2
60,13q,Carbonate Woodland Zone,10.1.5,16817.9
61,13r,Central Nevada High Valleys,10.1.5,19757.7
62,13s,Central Nevada Mid-Slope Woodland and Brushland,10.1.5,9286.8
63,13t,Central Nevada Bald Mountains,10.1.5,3163.9
64,13u,Tonopah Basin,10.1.5,25283.4
65,13v,Tonopah Sagebrush Foothills,10.1.5,9460.8
66,13w,Tonopah Uplands,10.1.5,2034.2
67,13x,Sierra Nevada-Influenced Ranges,10.1.5,8176.0
68,13y,Sierra Nevada-Influenced High Elevation Mountains,10.1.5,1740.6
69,13z,Upper Lahontan Basin,10.1.5,11987.3
70,14a,Eastern Mojave Basins,10.2.1,36428.9
71,14b,Eastern Mojave Low Ranges and Arid Footslopes,10.2.1,31408.1
72,14c,Eastern Mojave Mountain Woodland and Shrubland,10.2.1,2516.2
73,14d,Eastern Mojave High Elevation Mountains,10.2.1,285.5
74,14e,Arid Valleys and Canyonlands,10.2.1,6549.9
75,14f,Mojave Playas,10.2.1,1816.8
76,14g,Amargosa Desert,10.2.1,6546.4
77,14h,Death Valley/Mojave Central Trough,10.2.1,6835.8
78,14i,Mesquite Flat/Badwater Basin,10.2.1,764.4
79,14j,Western Mojave Basins,10.2.1,17113.3
80,14k,Western Mojave Low Ranges and Arid Footslopes,10.2.1,13529.6
81,14l,Western Mojave Mountain Woodland and Shrubland,10.2.1,893.9
82,14m,Western Mojave High Elevation Mountains,10.2.1,66.1
83,14n,Mojave Lava Fields,10.2.1,409.1
84,14o,Mojave Sand Dunes,10.2.1,333.5
85,14p,Lower Grand Canyon,10.2.1,2193.6
86,15a,Grave Creek Range-Nine Mile Divide,6.2.3,5079.2
87,15b,Camas Valley,6.2.3,490.8
88,15c,Flathead Valley,6.2.3,2612.3
89,15d,Tobacco Plains,6.2.3,123.1
90,15e,Flathead Hills and Mountains,6.2.3,1649.3
91,15f,Grassy Potlatch Ridges,6.2.3,1168.8
92,15g,Western Okanogan Semiarid Foothills,6.2.3,2054.5
93,15h,High Northern Rockies,6.2.3,1462.3
94,15i,Clearwater Mountains and Breaks,6.2.3,3589.6
95,15j,Lower Clearwater Canyons,6.2.3,1536.5
96,15k,Clark Fork Valley and Mountains,6.2.3,2166.9
97,15l,Salish Mountains,6.2.3,10167.1
98,15m,Kootenai Valley,6.2.3,543.6
99,15n,Weippe Prairie,6.2.3,697.1
100,15o,Coeur d Alene Metasedimentary Zone,6.2.3,4898.6
101,15p,St. Joe Schist-Gneiss Zone,6.2.3,8482.1
102,15q,Purcell-Cabinet-North Bitterroot Mountains,6.2.3,4753.8
103,15r,Okanogan-Colville Xeric Valleys and Foothills,6.2.3,7518.6
104,15s,Spokane Valley Outwash Plains,6.2.3,2356.6
105,15t,Stillwater-Swan Wooded Valley,6.2.3,2026.1
106,15u,Inland Maritime Foothills and Valleys,6.2.3,3651.1
107,15v,Northern Idaho Hills and Low Relief Mountains,6.2.3,3384.3
108,15w,Western Selkirk Maritime Forest,6.2.3,1070.7
109,15x,Okanogan Highland Dry Forest,6.2.3,4953.4
110,15y,Selkirk Mountains,6.2.3,5524.2
111,16a,Eastern Batholith,6.2.15,3405.3
112,16b,Lochsa Uplands,6.2.15,2008.8
113,16c,Lochsa-Selway-Clearwater Canyons,6.2.15,2977.5
114,16d,Dry Partly Wooded Mountains,6.2.15,3657.0
115,16e,Glaciated Bitterroot Mountains and Canyons,6.2.15,2322.1
116,16f,Foothill Shrublands-Grasslands,6.2.15,3678.9
117,16g,High Glacial Drift-Filled Valleys,6.2.15,1513.2
118,16h,High Idaho Batholith,6.2.15,3743.3
