uniqid_huc10,HUC10,NAME,areakm2
1,1807010601,Dominguez Channel,214.3
2,1304030110,Anderson Draw-Johnson Draw,649.8
3,1205000112,Smyer Oil Field-Yellow House Draw,377.0
4,1606001514,Jean Lake,254.9
5,1104000505,Little Bear Creek,890.8
6,1304020103,Red Light Draw,1224.3
7,1208000407,Lower McKenzie Draw,1016.7
8,1109010205,Syndicate Hill-Mildred Lake,529.1
9,1302020905,Middle Rio Salado,626.6
10,1304020402,Upper Terlingua Creek,690.9
11,1307000201,Willow Draw-Wild Horse Draw,577.2
12,1810010007,Arrastre Creek-Mellville Lake,481.3
13,1809020807,Bell Mountain Wash-Mojave River,715.2
14,1810010049,Big Wash,549.8
15,1508010105,Sells Wash,941.6
16,1106000409,Bois d' Arc Creek-Salt Fork Arkansas River,547.1
17,1408010403,Animas River Canyon,246.8
18,1112010201,Upper Palo Duro Creek,1184.7
19,1302020406,Canada de Los Apaches,275.3
20,1209030102,Piney Creek-Colorado River,497.8
21,1307001202,Big Fielder Draw-Pecos River,738.5
22,1306000902,Monument Canyon,315.2
23,1103000303,Dodge City-Arkansas River,709.2
24,1507010102,Luke Wash-Gila River,831.7
25,1302020701,Mitchell Draw,806.0
26,1104000202,Black Mesa State Park-Cimarron River,1005.4
27,1810020203,Lower Carrizo Creek,495.0
28,1308000103,West Fork Sycamore Creek-Sycamore Creek,664.5
29,1112010101,Headwaters Tierra Blanca Creek,764.6
30,1105000107,Cheyenne Valley-Cimarron River,956.0
31,1810020407,Mesa Andrade,85.8
32,1809020617,Tropico Hill-Oak Creek,405.3
33,1305000104,Lower Salt Draw,642.8
34,1809020812,Wall Street Canyon,266.0
35,1211010306,Appurceon Creek-Nueces River,734.2
36,1207020107,Pecan Creek-Leon River,531.6
37,1102000601,Headwaters Huerfano River,696.0
38,1105000201,Indian Creek-Cimarron River,729.4
39,1113030306,Lake of the Arbuckles,358.5
40,1508010209,Davidson Canyon,133.5
41,1113020306,Lower West Cache Creek,653.3
42,1206010105,Millers Creek,883.3
43,1502000806,McDonald Canyon-Little Colorado River,848.3
44,1302021005,Cottonwood Canyon,721.9
45,1809020608,Koehn Lake,368.7
46,1106000204,Medicine Lodge River,616.1
47,1203010201,Lake Worth-West Fork Trinity River,314.2
48,1803000206,Kelso Creek,393.4
49,1211011002,Galvan Creek-Atascosa River,697.1
50,1809020508,China Lake,542.6
51,1507010407,Lower Harquahala Plains-Centennial Wash,633.2
52,1103001402,Silver Creek,655.7
53,1302020907,Lower Rio Salado,778.1
54,1803000304,Caliente Creek,586.9
55,1803000303,Walker Basin Creek,312.0
56,1306000805,Blackwater Canyon,449.1
57,1303020205,Gavilan Arroyo-Mimbres River,503.1
58,1211010301,Indian Creek-Nueces River,609.9
59,1208000304,Seminole Draw,609.9
60,1810010010,Means Lake-Emerson Lake,314.3
61,1211010802,Snake Creek-Cibolo Creek,550.7
62,1408010304,Carrizo Creek,822.1
63,1303020206,Starvation Draw-Mimbres River,787.3
64,1508010104,Middle Vamori Wash,662.2
65,1210020403,Headwaters Coleto Creek,462.9
66,1211020602,Laborcitas Creek-Palo Blanco Creek,606.8
67,1506020108,Lower Big Chino Wash,941.8
68,1102000904,Muddy Creek,432.5
69,1503010413,Martinez Lake-Colorado River,1048.5
70,1112030103,Headwaters North Fork Red River,1098.0
71,1305000325,Antelope Tank,837.0
72,1305000314,Sheep Camp Draw,616.6
73,1210040701,Poesta Creek,603.0
74,1304020112,Arroyo Cienega-Rio Grande,368.7
