uniqid_huc10,farmp_1987_huc10,farmp_1988_huc10,farmp_1989_huc10,farmp_1990_huc10,farmp_1991_huc10,farmp_1992_huc10,farmp_1993_huc10,farmp_1994_huc10,farmp_1995_huc10,farmp_1996_huc10,farmp_1997_huc10,farmp_1998_huc10,farmp_1999_huc10,farmp_2000_huc10,farmp_2001_huc10,farmp_2002_huc10,farmp_2003_huc10,farmp_2004_huc10,farmp_2005_huc10,farmp_2006_huc10,farmp_2007_huc10,farmp_2008_huc10,farmp_2009_huc10,farmp_2010_huc10,farmp_2011_huc10,farmp_2012_huc10
1,1.6,1.9610,1.9388,2.1107,1.9654,1.6632,1.8268,2.1055,2.5671,2.5233,2.6456,2.3609,2.4183,2.7801,3.5342,5.0192,3.4728,4.5934,3.9021,5.0869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,332.0,360.5830,208.5922,351.8901,396.0899,324.6436,417.7114,510.2036,510.7542,506.6144,569.6089,538.9546,448.5587,474.9161,341.5508,351.8120,337.0059,380.6352,388.1827,326.1929,380.6398,296.5656,252.0567,330.8418,271.1917,218.9859
4,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,221.0,269.5934,303.7398,357.4481,384.9339,389.2054,409.2988,379.4641,364.9278,335.7057,347.7365,390.2942,353.2121,393.8458,340.3723,376.2934,342.5081,345.7246,359.2876,336.8916,427.1994,375.2876,309.3474,376.4854,332.8401,364.7474
6,0.1,0.0653,0.0339,0.0507,0.0497,0.0346,0.0429,0.0506,0.0493,0.0477,0.0438,0.0465,0.0437,0.0523,0.0428,0.0505,0.0484,0.0547,0.0557,0.0468,0.0547,0.0422,0.0355,0.0460,0.0373,0.0297
7,389.2,438.2755,262.6183,458.4666,533.5587,451.7715,542.1452,622.8926,590.6537,558.1538,598.8814,570.5706,478.6360,511.4111,371.7508,387.8074,371.4866,419.5800,427.8994,359.5671,412.8995,324.0010,277.4261,366.9679,303.2405,246.9363
8,78.9,90.9977,76.1879,103.0708,119.6522,108.4833,135.2246,160.0564,145.2287,150.1130,144.6760,148.5233,145.0763,173.9424,137.7007,156.5914,151.3778,158.2346,155.8683,155.0147,324.0724,244.7861,220.7863,259.0966,242.1627,175.0597
9,0.0,0.0036,0.0045,0.0043,0.0047,0.0046,0.0054,0.0060,0.0046,0.0048,0.0040,0.0036,0.0036,0.0040,0.0028,0.0028,0.0027,0.0024,0.0021,0.0031,0.0051,0.0041,0.0049,0.0039,0.0069,0.0023
10,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0991,0.0841,0.0777,0.1105,0.0979,0.0853
12,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,13.6,14.7613,13.2476,13.0374,10.9203,8.2639,8.6395,9.4517,10.9042,10.1056,9.8074,11.1679,13.7347,18.2428,26.0993,40.9256,28.3166,37.4536,31.8171,41.4780,15.4976,11.7754,5.0573,9.1552,5.7716,3.0479
14,36.4,41.5504,39.2512,40.8504,36.3814,29.4605,33.0470,38.8872,48.3921,48.5318,51.7796,43.4026,41.7939,45.1966,54.0800,72.3222,50.0400,66.1865,56.2259,73.2982,58.6236,49.0754,23.6306,49.1079,36.7571,24.2664
15,0.0,0.0132,0.0136,0.0126,0.0117,0.0104,0.0093,0.0109,0.0096,0.0093,0.0626,0.0866,0.0791,0.0729,0.0911,0.0837,0.0972,0.1272,0.1376,0.1182,0.0464,0.0393,0.0335,0.0304,0.0328,0.0361
16,487.0,494.9529,549.4628,472.8058,428.2007,413.6523,485.6562,474.1653,444.6420,406.9539,391.2886,444.2971,355.8593,296.1610,354.7765,371.6761,499.0451,447.6488,461.2458,314.2705,373.1841,340.7900,258.8312,405.3638,383.5403,273.5452
17,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,225.1,240.0880,142.4640,226.6421,249.3921,201.7279,246.3690,287.4344,273.8330,264.3882,283.1278,274.5797,237.1719,260.3633,194.2021,208.5635,200.0254,223.7051,227.1834,195.0849,203.4469,165.4340,148.7617,201.3950,176.4402,146.9085
19,0.0,0.0004,0.0005,0.0005,0.0006,0.0006,0.0007,0.0007,0.0005,0.0005,0.0032,0.0030,0.0032,0.0037,0.0028,0.0029,0.0028,0.0025,0.0022,0.0032,0.0052,0.0034,0.0034,0.0023,0.0034,0.0010
20,170.0,180.0243,101.4349,166.5181,182.2175,145.0412,179.1567,211.3323,205.2839,198.3348,218.4766,217.6032,191.5595,215.7314,166.1300,184.6967,176.9238,199.8285,203.7910,171.2469,148.4051,111.4309,90.9674,114.2469,89.2068,68.2583
21,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,389.6,409.4894,421.8762,451.2167,453.1017,414.1898,482.3360,476.6054,510.6198,523.1375,601.5057,664.7971,564.0432,621.9174,528.3659,562.7297,512.0598,526.2552,540.7925,521.2747,552.2139,478.6503,380.2209,487.9463,443.6499,503.9451
24,303.0,345.9347,368.5095,355.8405,344.5806,320.4999,291.1684,348.4463,313.8132,313.4995,401.6153,489.3335,394.5493,321.7843,355.2090,288.4923,335.0452,438.5490,474.2373,407.4207,217.8346,199.6261,183.3482,178.3883,205.1583,240.7627
25,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,3.0,4.0452,4.1485,4.6500,4.2488,4.4572,4.5130,5.0874,4.7531,4.3553,4.7978,5.0818,5.4240,5.5705,4.5481,5.1755,4.7500,4.3727,4.8105,3.8659,5.6313,5.6955,5.8295,5.9651,4.9041,4.6337
27,0.2,0.2591,0.2445,0.2542,0.2261,0.1829,0.2009,0.2315,0.2823,0.2775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,0.1,0.0993,0.0542,0.0860,0.0906,0.0691,0.1592,0.2650,0.3244,0.3715,4.5348,4.2436,3.4866,3.6357,2.5672,2.5857,2.4768,2.7977,2.8531,2.3973,4.1403,2.8862,2.1504,2.4052,1.6125,0.9962
29,92.8,105.5629,130.6845,124.7089,138.0455,135.1339,173.8037,209.6500,174.5816,200.7961,161.1026,143.5122,139.1563,152.9685,103.7422,98.8601,97.4018,84.9969,75.8767,110.9531,114.1422,70.6967,65.6585,40.4015,55.8291,14.0824
30,157.0,157.4413,172.4124,146.3523,130.7559,124.6109,150.1239,150.3871,144.6815,135.8429,136.3209,148.3233,113.6030,90.2053,102.8416,102.2558,137.2976,123.1574,126.8982,86.4623,91.6506,87.0612,68.7553,111.9253,110.0383,81.5235
31,7.9,8.9886,8.4628,8.7771,7.7887,6.2835,6.9860,8.1499,10.0571,10.0040,9.9721,8.4365,8.2024,8.9595,10.8331,14.6461,10.1337,13.4036,11.3864,14.8438,14.4646,13.5513,7.2628,16.7244,13.8197,10.0416
32,33.2,38.1955,36.3821,38.1874,34.3073,28.0304,31.8541,37.9500,47.7856,48.4652,51.8002,42.6664,40.3231,42.7395,50.0482,65.3908,45.2441,59.8431,50.8371,66.2733,60.3836,51.6215,25.4051,54.0085,41.3931,28.0097
33,40.0,44.3319,53.5073,49.7673,53.6785,51.1845,67.5966,83.4507,70.9302,83.0828,64.4669,64.3661,70.1910,87.1556,67.1424,73.1991,72.1195,62.9346,56.1818,82.1534,71.2931,48.9298,50.9602,35.6986,57.2719,17.2238
34,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2256,0.1714,0.0736,0.1333,0.0840,0.0444
35,7.7,7.4903,3.8031,5.5149,5.1861,3.4070,3.7866,4.0255,3.5277,3.0762,2.9539,2.6957,2.1483,2.1568,1.4510,1.3708,1.3132,1.4831,1.5126,1.2710,2.0550,1.7347,1.5936,2.2560,1.9909,1.7280
36,138.1,149.6266,86.3432,145.2952,163.1331,133.3672,153.6504,169.6493,154.7386,140.7744,145.1347,150.8861,138.6049,162.8431,130.7959,151.6415,145.2598,164.0655,167.3184,140.5989,116.8394,96.5578,86.9919,120.9711,105.0106,89.7681
37,10.8,14.4143,14.4516,15.9146,14.2528,14.6751,13.9899,14.8524,13.0048,11.1271,12.8032,11.2569,9.6778,7.5332,4.1733,2.5831,2.3544,2.1687,2.3887,1.9255,2.2092,1.9667,1.7288,1.4130,0.8624,0.5283
38,380.0,380.7815,416.8287,353.6866,315.8698,300.9042,364.1427,366.3677,353.9506,333.6808,327.8075,356.1252,272.3051,215.8224,245.5533,243.5997,327.0783,293.3927,302.3042,205.9755,226.3125,217.3206,173.3853,284.9798,282.7350,211.2797
39,79.3,73.3123,73.4600,56.4953,45.1755,37.9423,46.9288,48.1960,47.4751,45.5856,64.6779,74.9121,61.1844,51.9087,63.3711,67.6386,90.8176,81.4646,83.9391,57.1919,35.4483,31.1539,22.7093,34.0298,30.7004,20.7954
