uniqid_huc10,nonfp_1987_huc10,nonfp_1988_huc10,nonfp_1989_huc10,nonfp_1990_huc10,nonfp_1991_huc10,nonfp_1992_huc10,nonfp_1993_huc10,nonfp_1994_huc10,nonfp_1995_huc10,nonfp_1996_huc10,nonfp_1997_huc10,nonfp_1998_huc10,nonfp_1999_huc10,nonfp_2000_huc10,nonfp_2001_huc10,nonfp_2002_huc10,nonfp_2003_huc10,nonfp_2004_huc10,nonfp_2005_huc10,nonfp_2006_huc10,nonfp_2007_huc10,nonfp_2008_huc10,nonfp_2009_huc10,nonfp_2010_huc10,nonfp_2011_huc10,nonfp_2012_huc10
1,378.1,373.5362,270.6277,292.6396,386.8103,371.0358,409.9460,416.3505,330.6835,470.7727,382.0396,286.1909,241.8995,570.4598,426.6529,450.7730,413.0318,527.6843,592.1255,455.4458,580.3074,588.9000,62.1430,45.0576,188.1566,15.4845
2,0.0,0.0041,0.0035,0.0045,0.0038,0.0039,0.0060,0.0052,0.0068,0.0055,0.0175,0.0141,0.0129,0.0138,0.0125,0.0117,0.0115,0.0191,0.0238,0.0159,0.0158,0.0143,0.0152,0.0083,0.0063,0.0053
3,0.6,0.6281,0.5560,0.7305,0.6276,0.6510,0.9887,0.8434,1.0686,0.8550,0.7915,0.6344,0.6024,0.6808,0.6683,0.6264,0.6220,1.0386,1.3026,0.8970,0.8745,0.7928,0.8732,0.4845,0.3776,0.3131
4,0.2,0.1732,0.2198,0.2260,0.2540,0.4206,0.8065,0.5527,0.5054,0.4629,0.2910,0.3860,0.3960,0.5367,0.8904,0.5756,0.6236,0.5344,0.6618,0.5973,0.6851,0.3640,0.3262,0.3136,0.2583,0.3182
5,0.0,0.0385,0.0573,0.0464,0.0389,0.0439,0.0761,0.0931,0.0474,0.0677,0.0406,0.0261,0.0271,0.0552,0.0867,0.0862,0.0450,0.0684,0.0468,0.0241,0.0266,0.0278,0.0236,0.0289,0.0378,0.0270
6,0.0,0.0088,0.0081,0.0108,0.0091,0.0094,0.0142,0.0120,0.0168,0.0138,0.0134,0.0108,0.0107,0.0122,0.0120,0.0109,0.0104,0.0172,0.0216,0.0150,0.0163,0.0142,0.0157,0.0089,0.0067,0.0053
7,0.1,0.1113,0.0979,0.1278,0.1073,0.1106,0.1673,0.1429,0.1852,0.1477,0.1441,0.1170,0.1103,0.1233,0.1179,0.1085,0.1065,0.1765,0.2208,0.1538,0.1697,0.1554,0.1732,0.0975,0.0768,0.0643
8,0.0,0.0190,0.0157,0.0207,0.0176,0.0186,0.0290,0.0250,0.0462,0.0388,0.0328,0.0267,0.0266,0.0319,0.0303,0.0254,0.0271,0.0427,0.0516,0.0361,0.0435,0.0381,0.0415,0.0231,0.0182,0.0150
9,0.0,0.0001,0.0001,0.0002,0.0001,0.0001,0.0003,0.0002,0.0001,0.0002,0.0001,0.0001,0.0002,0.0006,0.0005,0.0003,0.0004,0.0002,0.0002,0.0004,0.0002,0.0004,0.0001,0.0000,0.0001,0.0000
10,0.0,0.0005,0.0004,0.0005,0.0004,0.0005,0.0007,0.0006,0.0008,0.0007,0.0006,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0008,0.0010,0.0007,0.0007,0.0006,0.0007,0.0004,0.0003,0.0002
