uniqid_huc10,N_MAN_TOT_1982_huc10,N_MAN_TOT_1987_huc10,N_MAN_TOT_1992_huc10,N_MAN_TOT_1997_huc10,N_MAN_TOT_2002_huc10,N_MAN_TOT_2007_huc10,N_MAN_TOT_2012_huc10
1,25.37,19.34,7.3,5.5,3.1,5.6,0.0
2,161.98,132.06,0.0,0.0,0.0,0.0,0.0
3,435.33,540.60,413.8,545.2,689.1,497.7,441.1
4,0.00,0.00,0.0,0.0,0.0,0.0,0.0
5,1106.27,1207.76,1346.8,1519.9,1760.8,1502.4,1255.1
6,0.49,0.51,0.3,0.4,0.3,0.4,0.3
7,282.72,188.60,395.4,370.8,303.3,165.0,123.5
8,1894.62,1937.15,1922.2,2115.4,2019.3,2155.2,2409.7
9,0.17,0.16,0.2,0.1,0.2,0.2,0.2
10,1.07,0.83,0.0,0.0,0.0,0.0,16.1
11,0.00,0.00,0.0,0.0,0.0,0.0,2.2
12,0.00,0.00,0.0,0.0,0.0,0.0,0.0
13,1124.66,1126.89,1282.0,1310.8,1115.2,917.6,497.8
14,257.81,329.07,323.8,324.5,271.7,156.0,162.2
15,0.13,0.13,0.1,0.1,0.4,0.3,0.2
16,1319.29,1223.10,1248.6,1095.9,1207.8,1179.3,900.0
17,0.00,0.00,0.0,0.0,0.0,0.0,0.0
18,3362.31,3493.20,3910.1,4736.0,4891.2,5918.2,4680.9
19,0.00,0.00,0.0,0.0,0.1,0.1,0.1
20,1600.05,1770.00,1783.3,1964.9,2129.1,1774.6,1216.3
21,0.00,0.00,0.0,0.0,0.0,0.0,0.0
22,0.00,0.00,0.0,0.0,0.0,0.0,0.0
23,1671.66,2125.79,2002.3,2648.9,2280.7,3541.9,3329.2
24,1344.06,1096.98,991.2,1179.9,1489.6,1210.3,1523.3
25,0.00,0.00,0.0,0.0,0.0,0.0,0.0
26,28.27,31.53,24.7,28.1,25.7,24.4,18.7
27,0.93,0.83,0.9,0.9,0.0,0.0,0.0
