uniqid_huc10,P_MAN_TOT_1982_huc10,P_MAN_TOT_1987_huc10,P_MAN_TOT_1992_huc10,P_MAN_TOT_1997_huc10,P_MAN_TOT_2002_huc10,P_MAN_TOT_2007_huc10,P_MAN_TOT_2012_huc10
1,6.28,4.74,1.85,1.26,0.66,1.05,0.00
2,33.54,31.24,0.00,0.00,0.00,0.00,0.00
3,122.17,145.13,125.23,153.23,173.59,133.98,117.55
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,310.88,323.31,384.24,407.52,456.14,352.42,300.20
6,0.12,0.12,0.10,0.14,0.07,0.09,0.07
7,77.88,54.55,115.21,107.14,81.54,49.32,31.25
8,566.10,560.52,562.87,609.42,549.77,579.35,575.77
9,0.05,0.05,0.05,0.04,0.05,0.05,0.06
10,0.33,0.27,0.00,0.00,0.00,0.00,5.21
11,0.00,0.00,0.00,0.00,0.00,0.00,0.69
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,233.08,230.81,247.36,266.20,222.78,204.39,101.26
14,63.00,84.57,77.92,77.91,64.32,35.15,40.62
15,0.03,0.03,0.03,0.02,0.10,0.08,0.05
16,395.13,367.54,367.30,329.47,350.67,344.43,255.01
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,925.80,994.87,1083.02,1242.44,1234.26,1454.20,1128.86
19,0.00,0.00,0.00,0.00,0.02,0.01,0.02
20,504.86,558.17,565.58,615.89,668.56,561.51,387.13
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,483.78,609.86,555.85,720.00,584.78,891.69,805.79
24,315.89,243.96,190.74,214.25,270.18,225.22,280.96
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,8.53,8.99,7.46,8.12,7.72,5.98,5.52
27,0.28,0.25,0.26,0.27,0.00,0.00,0.00
28,22.04,18.11,11.40,10.80,74.54,73.68,113.75
29,492.33,456.60,455.59,515.08,483.01,422.52,408.29
30,140.07,147.07,175.84,191.20,213.72,202.90,159.45
31,10.45,9.91,9.17,9.56,8.49,9.38,7.95
32,15.54,17.30,11.69,15.29,18.38,22.86,22.12
33,444.66,360.63,414.27,391.06,411.04,350.50,267.87
34,1.01,1.00,0.00,0.00,0.00,0.00,1.47
35,38.13,27.06,35.79,27.34,28.91,27.46,14.44
36,399.33,386.85,454.43,514.19,463.28,449.03,346.90
37,181.87,165.67,138.02,142.76,62.56,96.71,87.57
38,355.88,363.21,418.44,444.91,503.53,478.09,377.00
39,236.22,205.10,289.59,251.20,355.91,265.44,222.52
40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,468.12,421.12,390.65,531.37,545.30,529.15,428.83
42,234.77,261.64,271.27,314.62,327.35,261.48,199.30
43,33.46,40.27,25.09,12.44,11.94,19.49,23.75
