uniqid_huc10,alach_high1992_huc10,alach_high1997_huc10,alach_high2002_huc10,alach_high2007_huc10,alach_high2012_huc10,alach_low1992_huc10,alach_low1997_huc10,alach_low2002_huc10,alach_low2007_huc10,alach_low2012_huc10
1,0.0000,0.0001,0.0002,0.0011,0.0000,0.0000,0.0001,0.0002,0.0011,0.0000
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.8058,0.2911,0.2927,0.0999,0.4323,0.0031,0.0000,0.0024,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,3.8210,0.9890,1.7904,2.9581,1.6999,3.2666,0.7160,0.9264,0.5456,0.8228
6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0.1978,0.5899,0.1215,0.0479,0.2003,0.0005,0.0000,0.0006,0.0000,0.0000
8,0.6973,0.0667,0.7366,0.3029,0.4671,0.6782,0.0334,0.0257,0.0217,0.0000
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,0.0078,0.0027,0.0009,0.0019,0.0000,0.0078,0.0027,0.0009,0.0019,0.0000
15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,1.0529,2.0713,0.8819,1.2286,4.9082,0.3298,0.0585,0.1976,0.0187,0.0000
17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,0.6822,0.1762,0.5670,0.3473,0.6811,0.5723,0.0471,0.3209,0.1688,0.0000
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,0.1955,0.3860,0.0339,0.0561,0.0193,0.1870,0.3860,0.0245,0.0455,0.0012
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,5.0344,1.5792,2.1868,4.1038,3.0001,4.9859,1.5735,2.1672,1.2266,1.9149
24,0.0266,0.3423,0.1611,0.0005,0.0072,0.0000,0.0001,0.1611,0.0005,0.0072
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,0.0334,0.0242,0.0962,0.0372,0.0557,0.0008,0.0000,0.0000,0.0004,0.0000
27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
