uniqid_huc10,atraz_high1992_huc10,atraz_high1997_huc10,atraz_high2002_huc10,atraz_high2007_huc10,atraz_high2012_huc10,atraz_low1992_huc10,atraz_low1997_huc10,atraz_low2002_huc10,atraz_low2007_huc10,atraz_low2012_huc10
1,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,6.4033,0.4780,6.5273,1.0622,1.2928,6.1046,0.4595,6.5273,1.0030,1.1477
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,8.6571,10.3960,12.3038,10.8107,20.8115,5.9250,9.4706,12.1728,8.0623,18.2277
6,0.0000,0.0008,0.0001,0.0019,0.0000,0.0000,0.0008,0.0001,0.0000,0.0000
7,1.5338,0.1852,2.9734,0.7156,0.7243,1.3152,0.1627,2.9734,0.6605,0.5093
8,3.9640,4.5436,11.4550,5.7454,7.6552,2.8565,4.4207,11.3717,5.5444,7.6488
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,0.0018,0.0028,0.0035,0.0060,0.0229,0.0018,0.0028,0.0035,0.0060,0.0229
15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,0.8465,3.5541,7.5773,4.0731,3.1972,0.5947,0.9932,6.1473,0.0534,2.7216
17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,11.8012,11.1738,9.7498,10.1838,9.2431,10.6551,10.2296,9.7241,9.7781,9.2403
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,0.7293,1.7916,0.2373,0.4794,0.3153,0.3063,1.7721,0.2362,0.2257,0.3087
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,11.1976,19.8155,18.5742,15.0286,24.7127,9.7726,18.9550,18.5742,13.3317,24.7127
24,0.0215,0.6449,0.1825,0.0009,0.0027,0.0215,0.6449,0.1825,0.0009,0.0027
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,0.1654,0.0402,0.1608,0.1857,0.5253,0.0028,0.0244,0.1517,0.0910,0.2901
27,0.0001,0.0002,0.0000,0.0000,0.0000,0.0001,0.0002,0.0000,0.0000,0.0000
28,0.1428,0.0000,0.0000,1.1572,0.3499,0.0000,0.0000,0.0000,0.0000,0.0000
29,2.2900,9.5175,2.0191,5.4481,0.5764,0.6313,9.3518,1.6294,5.3451,0.5413
30,0.2055,0.8419,0.5446,0.5823,0.5007,0.0921,0.1515,0.3178,0.0040,0.3719
31,0.0033,0.0095,0.0120,0.0166,0.0202,0.0033,0.0095,0.0120,0.0166,0.0202
32,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,2.1465,2.7670,1.7996,4.5515,0.5318,0.3996,2.6789,1.7688,4.5486,0.5288
34,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,0.0084,0.0751,0.0828,0.0465,0.0140,0.0003,0.0735,0.0377,0.0124,0.0133
36,2.6914,0.4902,0.5671,0.6115,0.3398,2.2224,0.4213,0.5397,0.3630,0.3143
37,0.3623,0.1678,0.0042,0.0712,0.0987,0.0002,0.0174,0.0042,0.0076,0.0000
38,0.5308,2.0712,1.4841,1.2699,1.4152,0.2710,0.4561,0.8186,0.0121,1.1063
39,0.5191,0.0715,0.0473,0.8763,0.1766,0.1434,0.0035,0.0076,0.2046,0.0000
40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,1.9131,1.4475,0.1669,1.4062,0.6276,0.2194,0.1478,0.0065,0.0678,0.3689
42,2.4160,0.6017,0.9458,2.1981,0.7727,0.7836,0.0867,0.7220,1.2624,0.4084
43,0.0053,0.0057,0.0088,0.0127,0.0001,0.0000,0.0003,0.0088,0.0127,0.0001
44,0.0000,0.0002,0.0002,0.0001,0.0000,0.0000,0.0002,0.0000,0.0001,0.0000
45,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,0.3323,1.8663,1.0311,1.1501,0.9713,0.1080,0.1406,0.9916,0.0153,0.6492
47,0.4272,0.0611,0.0497,0.1065,0.0501,0.3027,0.0517,0.0466,0.0364,0.0386
48,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,0.5925,3.6771,0.9032,0.6673,0.6570,0.1518,3.6552,0.7303,0.2721,0.4790
50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
51,0.0059,0.1779,0.0514,0.0003,0.0008,0.0059,0.1779,0.0514,0.0003,0.0008
52,7.2165,14.1638,8.6189,12.9537,13.8562,6.8505,13.6897,8.6189,12.8121,13.7626
53,0.0001,0.0004,0.0006,0.0003,0.0024,0.0000,0.0004,0.0000,0.0003,0.0000
54,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
56,0.4171,0.0004,0.0000,0.4166,0.0028,0.0000,0.0000,0.0000,0.4166,0.0036
57,0.0134,0.0281,0.0303,0.0519,0.0169,0.0004,0.0179,0.0002,0.0420,0.0008
58,0.1965,0.5901,0.2135,1.1913,2.0074,0.0592,0.5836,0.1758,1.0467,1.9478
59,1.1822,0.0974,1.6899,1.4991,0.6138,0.5190,0.0678,1.3282,1.4567,0.2909
60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,0.4472,1.8704,0.4663,0.8277,1.1649,0.0232,1.8617,0.2435,0.5871,0.8080
62,0.0002,0.0002,0.0004,0.0004,0.0008,0.0001,0.0000,0.0004,0.0003,0.0000
63,0.0066,0.0164,0.0232,0.0515,0.0238,0.0002,0.0109,0.0000,0.0439,0.0011
64,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
65,1.1737,3.8311,0.5108,1.9641,1.4157,0.7356,3.8244,0.5090,1.7379,1.4125
66,0.5369,3.6524,1.3035,0.9584,0.0733,0.0446,3.6286,0.6130,0.6234,0.0733
67,0.0023,0.0009,0.0007,0.0000,0.0000,0.0000,0.0003,0.0007,0.0000,0.0000
68,0.0069,0.0004,0.0013,0.0062,0.0052,0.0000,0.0002,0.0009,0.0004,0.0000
69,0.0003,0.0043,0.0021,0.0025,0.0028,0.0003,0.0043,0.0021,0.0025,0.0028
70,7.9008,8.0118,7.3713,5.8820,3.5015,6.6859,6.9210,7.3713,5.3443,3.5015
