uniqid_huc10,chlor_high1992_huc10,chlor_high1997_huc10,chlor_high2002_huc10,chlor_high2007_huc10,chlor_high2012_huc10,chlor_low1992_huc10,chlor_low1997_huc10,chlor_low2002_huc10,chlor_low2007_huc10,chlor_low2012_huc10
1,0.0010,0.0018,0.0056,0.0004,0.0000,0.0010,0.0018,0.0056,0.0004,0.0000
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.7292,0.3643,0.4070,0.1587,0.1408,0.5923,0.3352,0.3399,0.0205,0.1000
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,4.5873,1.7243,0.3076,0.9953,0.8465,1.3127,0.5935,0.1653,0.3905,0.7169
6,0.0000,0.0000,0.0001,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000
7,0.2608,0.2071,0.4537,0.3001,0.4550,0.1340,0.1704,0.3715,0.1403,0.2377
8,0.4376,0.5079,0.2514,0.3108,0.1942,0.3652,0.4232,0.2070,0.2124,0.0859
9,0.0002,0.0001,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000,0.0000,0.0000,0.0000,0.0008
11,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0002
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0.0567,0.1068,0.0543,0.0504,0.0169,0.0567,0.1068,0.0543,0.0504,0.0169
14,0.2310,0.4575,0.3150,0.1921,0.1218,0.2310,0.4575,0.3150,0.1921,0.1218
15,0.0001,0.0001,0.0001,0.0000,0.0000,0.0001,0.0001,0.0001,0.0000,0.0000
16,1.1917,0.9242,2.7848,0.5760,1.0799,0.0822,0.4368,2.7172,0.5489,0.9281
17,0.0003,0.0114,0.0001,0.0013,0.0000,0.0003,0.0000,0.0001,0.0000,0.0000
18,1.1245,0.6262,0.5214,0.1519,0.2116,1.0969,0.5833,0.4992,0.0856,0.1151
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,0.4047,0.6215,0.1818,0.0669,0.0765,0.3556,0.4567,0.1752,0.0275,0.0572
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
