uniqid_huc10,imida_high1997_huc10,imida_high2002_huc10,imida_high2007_huc10,imida_high2012_huc10,imida_low1997_huc10,imida_low2002_huc10,imida_low2007_huc10,imida_low2012_huc10
1,0.0000,0.0016,0.0005,0.0000,0.0000,0.0016,0.0005,0.0000
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.0080,0.0208,0.1050,0.3529,0.0080,0.0204,0.1050,0.3465
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0.0009,0.0000,0.0065,0.3406,0.0000,0.0000,0.0000,0.0279
6,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001
7,0.0108,0.0473,0.0833,0.2776,0.0050,0.0317,0.0833,0.2557
8,0.0001,0.0001,0.0103,0.0229,0.0000,0.0000,0.0002,0.0193
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0002
11,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0.0071,0.0033,0.0014,0.0065,0.0071,0.0033,0.0014,0.0065
14,0.0238,0.0363,0.0341,0.0795,0.0238,0.0363,0.0341,0.0795
15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,0.0011,0.0004,0.0581,0.5830,0.0011,0.0000,0.0145,0.5052
17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,0.0023,0.0019,0.0064,0.0507,0.0000,0.0003,0.0024,0.0467
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,0.0004,0.0011,0.0372,0.0081,0.0002,0.0000,0.0009,0.0040
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,0.0009,0.0002,0.0025,0.2826,0.0000,0.0000,0.0000,0.0397
24,0.1210,0.0884,0.2099,0.1891,0.0260,0.0881,0.2096,0.1810
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,0.0000,0.0000,0.0005,0.0116,0.0000,0.0000,0.0000,0.0033
27,0.0003,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000
28,0.0000,0.0000,0.0002,0.0002,0.0000,0.0000,0.0000,0.0000
29,0.0125,0.0078,0.0050,0.0330,0.0000,0.0013,0.0008,0.0126
30,0.0000,0.0000,0.0018,0.1281,0.0000,0.0000,0.0001,0.1257
31,0.0110,0.0114,0.0141,0.0164,0.0110,0.0114,0.0141,0.0164
32,0.0366,0.0298,0.0392,0.1145,0.0366,0.0298,0.0392,0.1145
33,0.0001,0.0001,0.0049,0.0056,0.0001,0.0000,0.0000,0.0019
34,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001
35,0.0003,0.0001,0.0058,0.0006,0.0002,0.0000,0.0002,0.0001
36,0.0004,0.0003,0.0119,0.0120,0.0004,0.0003,0.0015,0.0104
37,0.0693,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000
38,0.0000,0.0000,0.0051,0.3069,0.0000,0.0000,0.0000,0.2992
39,0.0000,0.0000,0.0116,0.0350,0.0000,0.0000,0.0000,0.0327
40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,0.0158,0.0002,0.0092,0.0649,0.0158,0.0000,0.0082,0.0622
42,0.0031,0.0027,0.0104,0.2901,0.0019,0.0003,0.0094,0.2617
43,0.0008,0.0123,0.0031,0.0024,0.0000,0.0123,0.0031,0.0024
44,0.0001,0.0000,0.0001,0.0000,0.0001,0.0000,0.0001,0.0000
45,0.0083,0.0076,0.0099,0.0284,0.0083,0.0076,0.0099,0.0284
46,0.0002,0.0001,0.0013,0.3316,0.0002,0.0000,0.0004,0.3278
47,0.0001,0.0001,0.0039,0.0040,0.0001,0.0001,0.0001,0.0039
48,0.0025,0.0014,0.0019,0.0058,0.0025,0.0014,0.0019,0.0058
49,0.0012,0.0020,0.0319,0.0266,0.0011,0.0017,0.0011,0.0044
50,0.0001,0.0006,0.0008,0.0020,0.0001,0.0006,0.0008,0.0020
51,0.0334,0.0249,0.0591,0.0528,0.0072,0.0248,0.0590,0.0506
52,0.0006,0.0001,0.0025,0.2005,0.0006,0.0000,0.0025,0.1884
53,0.0001,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0002
54,0.0177,0.0135,0.0177,0.0489,0.0177,0.0135,0.0177,0.0489
55,0.0071,0.0057,0.0074,0.0211,0.0071,0.0057,0.0074,0.0211
56,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0006,0.0000
57,0.0210,0.0051,0.0091,0.0112,0.0210,0.0049,0.0086,0.0102
58,0.0040,0.0068,0.0335,0.0122,0.0002,0.0037,0.0280,0.0071
59,0.0107,0.0342,0.0522,0.1621,0.0023,0.0272,0.0514,0.1504
60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,0.0159,0.0924,0.0224,0.0405,0.0123,0.0922,0.0070,0.0073
62,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001
63,0.0230,0.0059,0.0095,0.0181,0.0230,0.0057,0.0090,0.0166
64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,0.0002,0.0007,0.0349,0.0081,0.0000,0.0000,0.0142,0.0058
66,0.0030,0.0005,0.0200,0.0034,0.0026,0.0003,0.0042,0.0006
67,0.0003,0.0010,0.0022,0.0037,0.0001,0.0010,0.0007,0.0025
68,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
