uniqid_huc10,malat_high1992_huc10,malat_high1997_huc10,malat_high2002_huc10,malat_high2007_huc10,malat_high2012_huc10,malat_low1992_huc10,malat_low1997_huc10,malat_low2002_huc10,malat_low2007_huc10,malat_low2012_huc10
1,0.0013,0.0013,0.0013,0.0017,0.0000,0.0013,0.0013,0.0013,0.0017,0.0000
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.0982,2.0909,1.0069,0.4754,0.0258,0.0017,0.8182,0.0023,0.0000,0.0258
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0.0927,0.8653,0.0417,0.0637,0.1733,0.0000,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0.0594,0.9318,0.4988,0.3146,0.0231,0.0022,0.5201,0.0019,0.0000,0.0231
8,0.2672,0.2003,0.0264,0.0092,0.0002,0.0009,0.0024,0.0002,0.0000,0.0002
9,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0.0936,0.1083,0.1428,0.0916,0.0201,0.0936,0.1083,0.1428,0.0916,0.0201
14,0.3178,0.3372,0.2990,0.0782,0.0090,0.3178,0.3372,0.2990,0.0782,0.0090
15,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
16,0.3948,3.9493,0.6038,0.5888,0.3099,0.0668,0.1991,0.0000,0.0000,0.0000
17,0.0131,0.0095,0.0116,0.0041,0.0000,0.0000,0.0000,0.0116,0.0000,0.0000
18,0.8646,0.3599,0.1634,0.0162,0.0671,0.0088,0.0233,0.0001,0.0000,0.0671
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,0.0637,0.1307,0.0845,0.1585,0.0249,0.0345,0.0554,0.0696,0.0006,0.0231
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,0.1055,1.0048,0.0551,0.0779,0.1865,0.0000,0.0000,0.0000,0.0000,0.0000
24,0.4486,1.0762,2.3963,0.8371,0.0376,0.2497,1.0409,2.2396,0.7695,0.0219
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,0.0008,0.0059,0.0003,0.0007,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000
27,0.0046,0.0049,0.0000,0.0000,0.0000,0.0046,0.0049,0.0000,0.0000,0.0000
28,0.0002,0.0005,0.0003,0.0005,0.0010,0.0002,0.0004,0.0000,0.0000,0.0002
29,0.8899,1.2919,0.0708,0.0254,0.0085,0.0001,0.0014,0.0017,0.0000,0.0085
30,0.1189,1.3826,0.2459,0.1785,0.0801,0.0183,0.0181,0.0000,0.0000,0.0000
31,0.1862,0.1978,0.0990,0.0346,0.0314,0.1862,0.1978,0.0990,0.0346,0.0314
32,0.0957,0.0555,0.0305,0.0384,0.0314,0.0957,0.0555,0.0305,0.0384,0.0314
33,0.0555,0.5627,0.0412,0.0787,0.0103,0.0001,0.0073,0.0031,0.0000,0.0103
34,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0003
35,0.0026,0.0275,0.0080,0.2139,0.0010,0.0000,0.0089,0.0003,0.2139,0.0000
36,0.3361,0.1949,0.0457,0.2884,0.0655,0.0008,0.0110,0.0175,0.2552,0.0000
37,0.0609,0.4637,0.0051,0.0378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,0.3234,3.7007,0.6052,0.4109,0.1910,0.0449,0.0435,0.0000,0.0000,0.0000
39,0.1105,0.3478,0.2365,0.0921,0.0664,0.0320,0.2625,0.0052,0.0851,0.0013
40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,2.3806,2.3121,0.4706,0.0546,0.0138,0.0122,1.8975,0.2005,0.0019,0.0025
42,1.3522,3.3364,0.2460,0.0920,0.0138,0.0074,3.2600,0.0031,0.0476,0.0076
43,0.0098,0.0134,0.0188,0.0113,0.0008,0.0098,0.0004,0.0149,0.0001,0.0007
44,0.0001,0.0006,0.0010,0.0002,0.0000,0.0000,0.0000,0.0001,0.0002,0.0000
45,0.0218,0.0126,0.0077,0.0097,0.0078,0.0218,0.0126,0.0077,0.0097,0.0078
46,0.3286,4.0728,0.6080,0.4850,0.2085,0.0369,0.0516,0.0000,0.0000,0.0000
47,0.0474,0.1120,0.0209,0.0126,0.0253,0.0131,0.0732,0.0148,0.0096,0.0168
48,0.0065,0.0038,0.0015,0.0018,0.0016,0.0065,0.0038,0.0015,0.0018,0.0016
49,0.0813,0.0869,0.0200,1.4948,0.0387,0.0231,0.0459,0.0089,1.4907,0.0104
50,0.0003,0.0003,0.0007,0.0009,0.0006,0.0003,0.0003,0.0007,0.0009,0.0006
51,0.1238,0.2969,0.6751,0.2358,0.0105,0.0689,0.2871,0.6309,0.2168,0.0061
52,0.1502,1.5581,0.2280,0.7798,0.2818,0.0000,0.0000,0.0000,0.0000,0.2818
53,0.0002,0.0043,0.0132,0.0042,0.0001,0.0000,0.0001,0.0000,0.0042,0.0000
54,0.0462,0.0268,0.0138,0.0173,0.0134,0.0462,0.0268,0.0138,0.0173,0.0134
55,0.0186,0.0108,0.0058,0.0073,0.0058,0.0186,0.0108,0.0058,0.0073,0.0058
56,0.0004,0.0040,0.0023,0.0006,0.0002,0.0002,0.0017,0.0022,0.0000,0.0002
57,0.0627,0.1118,0.1876,0.0268,0.0060,0.0335,0.0224,0.0160,0.0268,0.0051
58,0.0304,0.1300,0.0105,0.3082,0.0250,0.0021,0.0812,0.0008,0.3029,0.0017
59,0.0546,0.5865,0.2682,0.1644,0.0137,0.0052,0.2725,0.0014,0.0000,0.0137
60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,0.0535,0.2079,0.0108,0.8180,0.0635,0.0001,0.1102,0.0026,0.8180,0.0011
62,0.0035,0.0026,0.0041,0.0026,0.0002,0.0000,0.0006,0.0041,0.0000,0.0000
63,0.0047,0.0152,0.0529,0.0092,0.0087,0.0006,0.0001,0.0156,0.0092,0.0084
64,0.0001,0.0001,0.0001,0.0001,0.0000,0.0001,0.0001,0.0001,0.0001,0.0000
65,0.0594,0.1779,0.0625,0.0173,0.0517,0.0357,0.1135,0.0522,0.0000,0.0151
66,0.1073,0.1286,0.0093,0.8614,0.0057,0.0000,0.0003,0.0068,0.8614,0.0000
67,0.0377,0.0290,0.0119,0.0057,0.0011,0.0371,0.0001,0.0041,0.0000,0.0005
68,0.0006,0.0053,0.0002,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
69,0.0724,0.0402,0.0474,0.0849,0.0065,0.0104,0.0194,0.0425,0.0119,0.0063
70,1.1569,0.4457,0.0481,0.0343,0.0052,0.0093,0.0203,0.0017,0.0000,0.0052
71,0.0000,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,0.0072,0.1610,0.0721,0.0269,0.0030,0.0064,0.0108,0.0219,0.0000,0.0030
73,0.2180,0.7374,0.0486,0.1777,0.1598,0.0359,0.1783,0.0030,0.1320,0.1588
74,0.0001,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
