uniqid_huc10,meto_high1992_huc10,meto_high1997_huc10,meto_high2002_huc10,meto_high2007_huc10,meto_high2012_huc10,meto_low1992_huc10,meto_low1997_huc10,meto_low2002_huc10,meto_low2007_huc10,meto_low2012_huc10
1,0.0001,0.0002,0.0001,0.0015,0.0000,0.0001,0.0002,0.0001,0.0015,0.0000
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.6335,1.6259,1.8394,1.6339,2.8661,0.0802,1.6232,1.2019,1.5708,2.5518
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1.4151,3.3173,3.8486,6.0905,12.1549,0.7751,2.5309,3.0268,4.4653,10.6819
6,0.0002,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
7,1.0681,5.1835,2.1510,3.1377,3.8335,0.2037,5.1263,0.6747,2.9671,3.5021
8,0.6967,2.9594,1.9938,1.8503,5.6143,0.6689,2.8413,1.5499,1.6349,5.5565
9,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0.0079,0.0022,0.0032,0.0005,0.0204,0.0079,0.0022,0.0032,0.0005,0.0204
14,0.0105,0.0065,0.0238,0.0014,0.0352,0.0105,0.0065,0.0238,0.0014,0.0352
15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,0.7051,1.6830,2.2308,5.0049,6.6226,0.1558,1.6769,1.5717,3.2542,3.8611
17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,3.0025,4.5048,1.4519,4.3641,6.5229,2.8264,4.3134,1.2309,4.3149,6.3862
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,0.1687,1.1152,0.1919,0.1565,0.1569,0.1666,1.1017,0.1500,0.0232,0.1255
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,1.6695,5.5454,5.7288,8.4928,15.2048,1.6321,5.5403,4.8500,7.4528,15.1623
24,0.4134,0.2681,0.3344,0.1657,0.1573,0.4046,0.0000,0.0410,0.1625,0.1118
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,0.0570,0.0759,0.0305,0.1175,0.2662,0.0001,0.0002,0.0063,0.0047,0.1180
27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
29,1.6576,5.2917,0.9188,1.4567,2.9573,1.5286,2.9663,0.6904,1.3402,2.8022
30,0.1729,0.1115,0.1623,0.2845,0.8107,0.1426,0.1114,0.0854,0.2537,0.5661
31,0.0001,0.0004,0.0001,0.0000,0.0006,0.0001,0.0004,0.0001,0.0000,0.0006
32,0.0175,0.0357,0.0192,0.0419,0.1057,0.0175,0.0357,0.0192,0.0419,0.1057
33,1.9860,2.8158,0.6495,0.6554,3.4373,1.9860,2.7771,0.5278,0.4991,3.4265
34,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0003
35,0.0035,0.0106,0.0075,0.0039,0.0118,0.0002,0.0032,0.0005,0.0000,0.0069
36,0.9277,0.3025,0.4138,0.2216,0.1077,0.9277,0.3017,0.3961,0.1001,0.0976
37,0.0167,0.0105,0.0131,0.0233,0.0006,0.0000,0.0000,0.0053,0.0000,0.0003
38,0.4999,0.3154,0.4429,0.8517,2.3760,0.4205,0.3152,0.2214,0.7521,1.6500
39,0.1789,0.0743,0.0523,0.1635,0.1377,0.1700,0.0076,0.0071,0.0759,0.0000
40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,0.6983,0.1421,0.1862,0.4817,0.4948,0.6693,0.0678,0.0000,0.1376,0.4124
42,0.1373,0.4932,0.5753,0.4891,2.3630,0.0000,0.4494,0.0845,0.0897,0.7638
43,0.0108,0.0074,0.0081,0.0092,0.0025,0.0108,0.0003,0.0071,0.0092,0.0025
44,0.0001,0.0007,0.0005,0.0005,0.0000,0.0001,0.0006,0.0004,0.0005,0.0000
45,0.0040,0.0081,0.0049,0.0106,0.0262,0.0040,0.0081,0.0049,0.0106,0.0262
46,0.0922,0.1585,0.2788,0.7873,0.9332,0.0534,0.1572,0.2535,0.7214,0.8375
47,0.2296,0.0697,0.0390,0.0469,0.0131,0.2280,0.0692,0.0384,0.0062,0.0113
48,0.0012,0.0024,0.0009,0.0020,0.0053,0.0012,0.0024,0.0009,0.0020,0.0053
49,0.4100,1.4036,0.4891,1.0077,2.9348,0.2716,1.1954,0.2982,0.1891,2.7669
50,0.0000,0.0001,0.0004,0.0009,0.0018,0.0000,0.0001,0.0004,0.0009,0.0018
51,0.1140,0.0739,0.0942,0.0467,0.0440,0.1116,0.0000,0.0116,0.0458,0.0312
52,5.5310,14.7137,4.7262,10.0540,9.1187,5.3808,14.6636,4.1950,8.9077,8.8362
53,0.0002,0.0009,0.0005,0.0004,0.0146,0.0001,0.0009,0.0002,0.0004,0.0013
54,0.0084,0.0172,0.0087,0.0189,0.0452,0.0084,0.0172,0.0087,0.0189,0.0452
55,0.0034,0.0069,0.0036,0.0079,0.0194,0.0034,0.0069,0.0036,0.0079,0.0194
56,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
57,0.0486,0.0997,0.0951,0.0620,0.1227,0.0214,0.0862,0.0673,0.0620,0.0406
58,0.0675,0.2317,0.2604,0.1924,0.6597,0.0048,0.1230,0.0832,0.1233,0.4209
59,0.6550,3.3811,1.6203,2.0135,3.6624,0.1585,3.1142,0.5460,1.9067,2.2577
60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,0.2342,2.4982,0.6017,0.8494,4.8835,0.0685,2.3556,0.5594,0.2771,4.5349
62,0.0002,0.0001,0.0003,0.0004,0.0037,0.0001,0.0000,0.0003,0.0004,0.0003
63,0.0327,0.0913,0.1063,0.0689,0.1842,0.0227,0.0764,0.0790,0.0689,0.0669
64,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
65,0.1819,2.1588,0.6351,0.7464,0.7235,0.1809,2.1513,0.3598,0.5883,0.5991
66,0.2714,0.2624,0.3048,0.1982,0.0256,0.0101,0.0235,0.0067,0.0000,0.0000
67,0.0027,0.0009,0.0008,0.0008,0.0009,0.0027,0.0001,0.0007,0.0008,0.0009
68,0.0006,0.0005,0.0002,0.0005,0.0004,0.0000,0.0000,0.0001,0.0000,0.0000
69,0.0016,0.0020,0.0016,0.0020,0.0064,0.0016,0.0000,0.0007,0.0020,0.0065
70,1.8133,2.7552,0.8593,2.8120,3.4382,1.7942,2.7552,0.7417,2.6704,3.3852
71,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,0.0149,0.0269,0.0421,0.0108,0.0040,0.0087,0.0047,0.0098,0.0099,0.0030
73,1.1187,17.5930,1.9230,1.8060,0.9830,1.1001,17.5343,1.4523,0.5449,0.9515
74,0.0000,0.0002,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
75,0.5638,0.3325,0.4541,0.9532,2.6976,0.4714,0.3059,0.2107,0.7240,1.8589
76,1.0219,0.7715,0.2777,0.5004,0.9608,0.0000,0.0000,0.0001,0.0013,0.0318
77,0.0015,0.0024,0.0053,0.0179,0.0140,0.0015,0.0024,0.0053,0.0179,0.0140
78,1.0794,1.5359,0.3942,2.6157,3.4615,0.0417,0.0454,0.1019,0.4524,1.4116
