uniqid_huc10,simaz_high1992_huc10,simaz_high1997_huc10,simaz_high2002_huc10,simaz_high2007_huc10,simaz_high2012_huc10,simaz_low1992_huc10,simaz_low1997_huc10,simaz_low2002_huc10,simaz_low2007_huc10,simaz_low2012_huc10
1,0.0007,0.0011,0.0001,0.0002,0.0000,0.0007,0.0011,0.0001,0.0002,0.0000
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.0504,0.0092,0.0000,0.0094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0.0002,0.0000,0.0000,0.7042,0.0022,0.0000,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0.0107,0.0109,0.0000,0.0152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.4583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0.1387,0.1031,0.0546,0.0194,0.0147,0.1387,0.1031,0.0546,0.0194,0.0147
14,0.1671,0.0793,0.0928,0.0682,0.0765,0.1671,0.0793,0.0928,0.0682,0.0765
15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,0.0000,0.0000,0.0000,0.3119,0.0414,0.0000,0.0000,0.0000,0.0000,0.0000
17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,0.0000,0.0000,0.0000,0.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,0.0573,0.0320,0.0000,0.0192,0.0000,0.0279,0.0000,0.0000,0.0001,0.0000
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,0.0001,0.0000,0.0000,0.7319,0.0095,0.0000,0.0000,0.0000,0.0000,0.0000
24,0.1254,0.1900,0.3857,0.0782,0.0297,0.0366,0.1533,0.3857,0.0744,0.0230
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,0.0000,0.0000,0.0000,0.0128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000
28,0.0004,0.0002,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,0.0000,0.0000,0.0000,0.0737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,0.0000,0.0000,0.0000,0.0121,0.0280,0.0000,0.0000,0.0000,0.0000,0.0000
31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,0.1451,0.1979,0.1394,0.1529,0.1526,0.1451,0.1979,0.1394,0.1529,0.1526
33,0.0000,0.0000,0.0000,0.1393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
35,0.0078,0.0042,0.0000,0.0000,0.0001,0.0078,0.0002,0.0000,0.0000,0.0001
36,0.0385,0.0386,0.0000,0.2294,0.0000,0.0120,0.0000,0.0000,0.0301,0.0000
37,0.0001,0.0000,0.0000,0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,0.0000,0.0000,0.0000,0.0364,0.0565,0.0000,0.0000,0.0000,0.0000,0.0000
39,0.0106,0.0021,0.0000,0.0091,0.0437,0.0100,0.0021,0.0000,0.0003,0.0000
