uniqid_huc10,thiam_high2002_huc10,thiam_high2007_huc10,thiam_high2012_huc10,thiam_low2002_huc10,thiam_low2007_huc10,thiam_low2012_huc10
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.0033,0.2415,0.4525,0.0033,0.2413,0.4512
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0140,0.1117,0.0000,0.0139,0.1056
6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0.0054,0.1624,0.3025,0.0016,0.1593,0.2973
8,0.0001,0.0046,0.0598,0.0000,0.0033,0.0593
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0012,0.0000,0.0000,0.0012
14,0.0016,0.0000,0.0008,0.0016,0.0000,0.0008
15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,0.0004,0.0343,0.2836,0.0000,0.0180,0.2374
17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,0.0011,0.0148,0.0722,0.0003,0.0146,0.0720
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,0.0002,0.0054,0.0101,0.0002,0.0026,0.0073
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,0.0002,0.0249,0.1280,0.0000,0.0201,0.1157
24,0.0163,0.0053,0.0177,0.0036,0.0050,0.0167
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,0.0000,0.0001,0.0046,0.0000,0.0001,0.0040
27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
29,0.0044,0.0046,0.0246,0.0000,0.0041,0.0224
30,0.0000,0.0003,0.0203,0.0000,0.0001,0.0089
31,0.0002,0.0000,0.0003,0.0002,0.0000,0.0003
32,0.0030,0.0001,0.0008,0.0030,0.0001,0.0008
33,0.0000,0.0010,0.0199,0.0000,0.0000,0.0199
34,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,0.0000,0.0024,0.0029,0.0000,0.0023,0.0026
36,0.0001,0.0045,0.0043,0.0000,0.0024,0.0041
37,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,0.0000,0.0006,0.0546,0.0000,0.0000,0.0275
39,0.0000,0.0033,0.0095,0.0000,0.0001,0.0000
40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,0.0003,0.0118,0.0298,0.0000,0.0117,0.0079
42,0.0005,0.0188,0.0537,0.0000,0.0188,0.0306
43,0.0001,0.0000,0.0001,0.0000,0.0000,0.0001
44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,0.0008,0.0000,0.0002,0.0008,0.0000,0.0002
46,0.0001,0.0010,0.0432,0.0000,0.0005,0.0137
47,0.0000,0.0006,0.0012,0.0000,0.0006,0.0008
48,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000
49,0.0003,0.0209,0.1003,0.0000,0.0203,0.0940
50,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000
51,0.0046,0.0015,0.0049,0.0010,0.0014,0.0047
52,0.0001,0.0444,0.1860,0.0000,0.0444,0.1860
53,0.0000,0.0000,0.0002,0.0000,0.0000,0.0002
54,0.0014,0.0001,0.0003,0.0014,0.0001,0.0003
55,0.0006,0.0000,0.0001,0.0006,0.0000,0.0001
56,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
57,0.0001,0.0006,0.0012,0.0001,0.0006,0.0012
58,0.0001,0.0068,0.0671,0.0000,0.0058,0.0648
59,0.0036,0.0804,0.1735,0.0007,0.0777,0.1688
60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,0.0386,0.0109,0.0899,0.0384,0.0105,0.0821
62,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
63,0.0002,0.0008,0.0018,0.0002,0.0008,0.0017
64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,0.0006,0.0323,0.0440,0.0003,0.0274,0.0280
66,0.0002,0.0125,0.0118,0.0000,0.0116,0.0097
67,0.0000,0.0000,0.0002,0.0000,0.0000,0.0002
68,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
69,0.0002,0.0001,0.0005,0.0001,0.0001,0.0004
70,0.0000,0.0224,0.1048,0.0000,0.0224,0.1042
71,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,0.0000,0.0024,0.0007,0.0000,0.0023,0.0007
73,0.0028,0.0467,0.0488,0.0028,0.0323,0.0486
74,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
75,0.0000,0.0011,0.0664,0.0000,0.0006,0.0306
76,0.0000,0.0001,0.0040,0.0000,0.0001,0.0024
77,0.0002,0.0067,0.0251,0.0002,0.0067,0.0251
78,0.0000,0.0039,0.0726,0.0000,0.0039,0.0672
79,0.0008,0.0000,0.0002,0.0008,0.0000,0.0002
80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,0.0003,0.0269,0.1282,0.0000,0.0181,0.1138
82,0.0006,0.0818,0.2144,0.0000,0.0683,0.2144
83,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,0.0000,0.0027,0.0098,0.0000,0.0027,0.0098
85,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,0.0031,0.0861,0.2192,0.0000,0.0854,0.1948
87,0.0002,0.0054,0.0355,0.0000,0.0054,0.0088
88,0.0002,0.0050,0.0133,0.0000,0.0050,0.0020
89,0.0000,0.0002,0.0001,0.0000,0.0002,0.0000
90,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,0.0000,0.0055,0.0880,0.0000,0.0054,0.0873
93,0.0035,0.0001,0.0011,0.0035,0.0001,0.0011
94,0.0006,0.1174,0.3068,0.0000,0.1174,0.3067
95,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
96,0.0000,0.0049,0.0098,0.0000,0.0034,0.0013
97,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
98,0.0000,0.0061,0.0178,0.0000,0.0058,0.0176
99,0.0000,0.0251,0.0670,0.0000,0.0224,0.0646
100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
