uniqid_huc10,salt_sqkm1992_huc10,salt_sqkm1993_huc10,salt_sqkm1994_huc10,salt_sqkm1995_huc10,salt_sqkm1996_huc10,salt_sqkm1997_huc10,salt_sqkm1998_huc10,salt_sqkm1999_huc10,salt_sqkm2000_huc10,salt_sqkm2001_huc10,salt_sqkm2002_huc10,salt_sqkm2003_huc10,salt_sqkm2004_huc10,salt_sqkm2005_huc10,salt_sqkm2006_huc10,salt_sqkm2007_huc10,salt_sqkm2008_huc10,salt_sqkm2009_huc10,salt_sqkm2010_huc10,salt_sqkm2011_huc10,salt_sqkm2012_huc10,salt_sqkm2013_huc10,salt_sqkm2014_huc10,salt_sqkm2015_huc10
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,58.35,65.58,58.35,54.95,57.14,60.70,55.31,52.98,54.08,57.27,57.27,57.41,59.35,58.82,55.91,55.88,60.57,62.85,77.93,71.95,60.33,57.22,62.73,58.18
3,607.47,682.83,607.47,572.07,594.91,556.33,506.87,485.52,495.64,524.86,524.91,526.18,543.96,539.09,512.37,512.10,555.09,575.93,714.16,659.31,552.90,524.37,574.84,533.15
4,29.46,25.02,31.92,33.90,36.12,35.56,33.11,35.68,36.66,39.10,37.09,35.43,34.46,31.52,36.01,34.40,29.17,30.14,33.89,40.19,33.65,32.80,32.32,28.20
5,507.09,929.18,1079.35,689.62,804.37,977.31,1248.21,1449.00,1214.42,751.78,521.94,610.13,1492.43,686.24,644.32,1626.29,1911.20,2182.76,1676.04,1616.81,1338.28,1608.00,1877.15,1905.99
6,54.06,60.77,54.06,50.91,52.94,49.28,44.90,43.01,43.91,46.49,46.50,46.61,48.19,47.75,45.39,44.46,48.19,50.00,62.00,57.24,48.00,45.52,49.90,46.28
7,295.91,332.63,295.91,278.67,289.80,273.20,248.92,238.43,243.40,257.75,257.77,258.40,267.13,264.73,251.61,261.71,283.68,294.33,364.97,336.94,282.56,267.98,293.77,272.47
8,496.17,553.29,493.45,464.86,484.16,463.81,422.62,402.41,409.54,433.73,433.18,431.17,448.16,444.14,420.36,423.04,454.49,480.24,600.28,557.51,468.01,450.90,498.35,449.52
9,33.29,24.77,25.55,24.51,27.61,52.46,47.90,39.03,36.24,38.52,36.83,28.19,36.03,35.74,28.89,48.04,40.64,66.56,95.98,97.98,83.52,98.97,119.92,75.54
10,39.34,44.22,39.34,37.05,38.53,35.87,32.68,31.30,31.95,33.84,33.84,33.92,35.07,34.75,33.03,32.35,35.07,36.39,45.12,41.65,34.93,33.13,36.32,33.68
11,95.56,107.41,95.56,89.99,93.58,87.11,79.37,76.02,77.61,82.18,82.19,82.39,85.17,84.41,80.23,78.62,85.22,88.42,109.64,101.22,84.88,80.50,88.25,81.85
12,259.04,307.42,289.14,289.14,290.28,312.56,269.61,265.11,274.72,280.86,239.43,266.05,282.54,265.67,291.04,309.76,290.25,306.87,222.55,301.00,351.06,289.44,296.54,290.46
13,1136.21,1348.42,1268.21,1268.21,1273.23,1317.62,1136.54,1117.57,1158.10,1183.96,1009.34,1121.55,1191.05,1119.96,1226.90,1439.52,1348.89,1426.13,1034.27,1398.81,1631.47,1345.12,1378.09,1349.83
14,3.08,3.66,3.44,3.44,3.46,3.35,2.89,2.84,2.94,3.01,2.56,2.85,3.02,2.84,3.12,3.29,3.08,3.26,2.36,3.19,3.73,3.07,3.15,3.08
15,16.57,25.24,17.54,18.21,19.65,19.25,17.36,17.64,18.02,19.44,18.66,18.45,20.00,19.92,21.07,20.38,19.64,20.57,20.94,20.38,19.45,13.68,13.87,13.49
16,362.00,518.87,425.35,470.60,576.18,635.15,638.13,641.11,432.38,515.87,397.90,366.77,319.06,347.93,634.43,392.00,527.81,447.75,812.47,578.22,548.57,515.95,708.69,682.00
17,15.01,21.94,13.85,14.32,24.86,22.68,25.26,22.16,26.31,28.51,18.84,25.42,31.93,31.33,44.38,15.59,6.33,6.25,14.62,10.76,8.80,10.11,12.51,12.00
18,609.71,682.38,607.89,572.58,595.93,561.21,511.34,488.19,497.51,526.88,526.53,525.75,545.14,540.26,512.29,519.68,560.47,587.57,731.92,678.02,568.93,544.48,599.71,547.37
19,68.66,51.09,52.69,50.56,56.95,108.20,98.79,80.50,74.75,79.45,75.97,58.14,74.32,73.70,59.59,99.12,83.85,137.34,198.04,202.15,172.32,204.21,247.42,155.86
20,108.31,121.75,108.31,102.00,106.07,110.09,100.30,96.08,98.08,103.86,103.87,104.12,107.64,106.68,101.39,107.66,116.70,121.08,150.14,138.61,116.24,110.24,120.85,112.09
21,40.45,45.47,40.45,38.10,39.62,36.88,33.60,32.18,32.85,34.79,34.80,34.88,36.06,35.73,33.96,33.32,36.11,37.47,46.46,42.89,35.97,34.11,37.40,34.69
22,51.63,38.42,39.62,38.02,42.83,81.37,74.30,60.54,56.21,59.75,57.13,43.72,55.89,55.43,44.81,74.51,63.03,103.24,148.87,151.97,129.54,153.51,185.99,117.17
23,1162.17,2157.66,2565.11,1611.30,1838.18,2303.34,2960.43,3472.55,2871.57,1716.40,1196.43,1381.54,3531.01,1540.17,1371.06,3978.60,4736.81,5414.83,4107.72,3979.57,3294.57,3960.93,4620.31,4694.87
24,1.49,2.27,1.58,1.64,1.77,1.74,1.57,1.59,1.63,1.75,1.68,1.66,1.80,1.80,1.90,2.65,2.56,2.68,2.73,2.65,2.53,1.78,1.81,1.76
25,287.65,214.07,220.76,211.84,238.60,458.94,419.03,341.44,317.05,337.00,322.21,246.61,315.23,312.61,252.75,420.33,355.56,582.42,839.82,857.27,730.75,866.00,1049.23,660.95
26,135.83,194.13,158.22,174.68,215.70,234.24,235.83,235.84,162.24,192.70,148.04,138.34,123.17,133.33,238.82,141.25,185.72,158.76,288.15,206.07,194.85,184.36,252.39,241.65
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,46.33,52.08,46.33,43.63,45.37,42.24,38.48,36.86,37.63,39.85,39.85,39.95,41.30,40.93,38.90,38.11,41.31,42.86,53.14,49.06,41.14,39.02,42.78,39.67
