uniqid_huc10,wu_mgd_1985_huc10,wu_mgd_1990_huc10,wu_mgd_1995_huc10,wu_mgd_2000_huc10,wu_mgd_2005_huc10,wu_mgd_2010_huc10
1,0.4159,0.4023,0.3856,0.4032,0.4436,0.3518
2,0.0001,0.0001,0.0001,0.0006,0.0002,0.0002
3,0.0401,0.0481,0.0784,0.0880,0.0826,0.0461
4,0.0008,0.0010,0.0011,0.0014,0.0016,0.0011
5,0.1041,0.0890,0.0983,0.0773,0.0568,0.0494
6,0.0049,0.0055,0.0059,0.0086,0.0048,0.0034
7,0.0503,0.0685,0.1047,0.0870,0.0132,0.0627
8,0.0362,0.0288,0.0321,0.0426,0.0394,0.0555
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0001,0.0001,0.0001,0.0000,0.0000,0.0001
11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
12,0.0008,0.0007,0.0007,0.0008,0.0007,0.0007
13,0.1066,0.1017,0.0977,0.1105,0.0976,0.1177
14,0.0124,0.0107,0.0107,0.0126,0.0094,0.0074
15,0.0041,0.0038,0.0042,0.0041,0.0041,0.0036
16,0.0109,0.0065,0.0109,0.0117,0.0112,0.0167
17,0.0020,0.0013,0.0005,0.0008,0.0005,0.0007
18,0.0628,0.0533,0.0705,0.0262,0.0545,0.0443
19,0.0008,0.0008,0.0008,0.0006,0.0006,0.0005
20,0.0050,0.0050,0.0065,0.1178,0.1310,0.1126
21,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,0.1116,0.0934,0.0756,0.0797,0.0610,0.0648
24,0.1632,0.1576,0.1360,0.1318,0.1226,0.1485
25,0.0031,0.0022,0.0020,0.0018,0.0018,0.0015
26,0.0009,0.0009,0.0011,0.0011,0.0012,0.0010
27,0.0004,0.0005,0.0005,0.0004,0.0003,0.0002
28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002
29,0.0403,0.0550,0.0575,0.0460,0.0245,0.0283
30,0.0024,0.0023,0.0021,0.0029,0.0035,0.0030
31,0.0239,0.0239,0.0253,0.0280,0.0208,0.0126
32,0.0287,0.0270,0.0231,0.0278,0.0254,0.0241
33,0.0229,0.0168,0.0182,0.0141,0.0177,0.0202
34,0.0038,0.0035,0.0034,0.0037,0.0033,0.0035
35,0.0055,0.0035,0.0032,0.0029,0.0014,0.0024
36,0.0015,0.0019,0.0017,0.0018,0.0013,0.0013
37,0.0133,0.0083,0.0211,0.0185,0.0101,0.0105
38,0.0068,0.0057,0.0051,0.0076,0.0090,0.0077
39,0.0095,0.0099,0.0130,0.0158,0.0189,0.0128
40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,0.0100,0.0112,0.0064,0.0062,0.0069,0.0070
42,0.0235,0.0178,0.0173,0.0241,0.0077,0.0069
43,0.0025,0.0025,0.0023,0.0029,0.0023,0.0021
44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,0.0038,0.0031,0.0026,0.0034,0.0031,0.0023
46,0.0015,0.0020,0.0018,0.0021,0.0021,0.0018
47,0.0361,0.0403,0.0498,0.0588,0.1387,0.0867
48,0.0057,0.0053,0.0046,0.0057,0.0052,0.0041
49,0.0321,0.0604,0.0523,0.0291,0.0371,0.0539
50,0.0534,0.0505,0.0434,0.0493,0.0450,0.0372
51,0.0387,0.0373,0.0322,0.0306,0.0284,0.0240
52,0.0220,0.0229,0.0195,0.0227,0.0205,0.0232
53,0.0005,0.0007,0.0008,0.0011,0.0010,0.0009
54,0.0121,0.0112,0.0096,0.0107,0.0098,0.0074
55,0.0115,0.0107,0.0091,0.0101,0.0092,0.0072
56,0.0002,0.0002,0.0003,0.0002,0.0002,0.0002
57,0.0053,0.0047,0.0057,0.0049,0.0076,0.0046
58,0.0114,0.0110,0.0062,0.0069,0.0057,0.0051
59,0.0535,0.0629,0.0965,0.0832,0.0291,0.0761
60,0.0006,0.0005,0.0005,0.0005,0.0005,0.0005
61,0.0085,0.0131,0.0136,0.0102,0.0109,0.0082
62,0.0001,0.0001,0.0001,0.0003,0.0003,0.0004
63,0.0084,0.0064,0.0087,0.0058,0.0117,0.0086
64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,0.0053,0.0061,0.0059,0.1964,0.0048,0.1178
66,0.0033,0.0036,0.0062,0.0048,0.0037,0.0024
67,0.0004,0.0009,0.0004,0.0007,0.0007,0.0024
68,0.0020,0.0009,0.0018,0.0016,0.0008,0.0009
69,0.0205,0.0202,0.0205,0.0233,0.0193,0.0154
70,0.0170,0.0174,0.0158,0.0174,0.0179,0.0162
71,0.0010,0.0009,0.0011,0.0010,0.0009,0.0006
72,0.0067,0.0054,0.0068,0.0070,0.0069,0.0043
73,0.0030,0.0036,0.0023,0.0028,0.0047,0.0041
74,0.0003,0.0004,0.0003,0.0004,0.0001,0.0000
75,0.0070,0.0059,0.0054,0.0082,0.0093,0.0083
76,0.1368,0.1821,0.1765,0.2391,0.1390,0.1422
77,0.0925,0.1018,0.0950,0.1017,0.1097,0.1037
78,0.1343,0.1005,0.2029,0.1240,0.1122,0.0437
79,0.0156,0.0147,0.0126,0.0138,0.0126,0.0102
80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,0.0058,0.0038,0.0057,0.0060,0.0058,0.0069
82,0.0154,0.0122,0.0105,0.0113,0.0105,0.0121
83,0.0005,0.0003,0.0005,0.0006,0.0002,0.0002
84,0.1411,0.1868,0.2064,0.2108,0.1605,0.1797
85,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,0.0068,0.0059,0.0077,0.0063,0.0030,0.0053
87,0.0153,0.0086,0.0033,0.0031,0.0293,0.0103
88,0.0035,0.0033,0.0017,0.0041,0.0058,0.0032
89,0.0070,0.0087,0.0104,0.0137,0.0129,0.0089
90,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,0.0007,0.0015,0.0017,0.0013,0.0008,0.0010
92,0.0055,0.0069,0.0119,0.0120,0.0041,0.0057
93,0.0864,0.1146,0.1144,0.1361,0.1014,0.0849
94,0.0194,0.0209,0.0489,0.0466,0.0339,0.0201
95,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
96,0.0025,0.0020,0.0025,0.0027,0.0024,0.0028
97,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
98,0.0161,0.0168,0.0178,0.0180,0.0187,0.0174
99,0.0086,0.0079,0.0099,0.0133,0.0072,0.0077
100,0.0006,0.0006,0.0006,0.0007,0.0006,0.0005
101,0.0014,0.0012,0.0013,0.0014,0.0013,0.0015
102,0.2985,0.3672,0.3168,0.3439,0.3201,0.3031
103,0.0006,0.0012,0.0006,0.0006,0.0006,0.0004
104,0.0247,0.0331,0.0318,0.0336,0.0370,0.0307
105,0.0005,0.0008,0.0006,0.0004,0.0004,0.0004
106,0.0055,0.0096,0.0075,0.0107,0.0163,0.0190
107,0.0027,0.0023,0.0020,0.0019,0.0025,0.0024
108,0.0008,0.0003,0.0003,0.0003,0.0005,0.0004
109,0.0004,0.0005,0.0005,0.0006,0.0005,0.0005
110,0.0040,0.0036,0.0043,0.0036,0.0036,0.0039
111,0.2817,0.2643,0.2268,0.2523,0.2304,0.1833
112,0.0400,0.0373,0.0369,0.0501,0.0554,0.0598
113,0.0120,0.0156,0.0150,0.0233,0.0137,0.0141
114,0.0148,0.0149,0.0200,0.0235,0.0170,0.0110
115,0.0101,0.0104,0.0139,0.0176,0.0127,0.0090
116,0.0040,0.0046,0.0077,0.0049,0.0057,0.0070
117,0.0036,0.0027,0.0017,0.0094,0.0062,0.0029
118,0.0005,0.0007,0.0004,0.0006,0.0004,0.0005
119,0.0048,0.0053,0.0052,0.0060,0.0047,0.0043
120,0.0009,0.0010,0.0007,0.0010,0.0008,0.0010
121,0.0077,0.0069,0.0066,0.0064,0.0046,0.0031
122,0.0002,0.0002,0.0002,0.0005,0.0006,0.0004
123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
124,0.0021,0.0108,0.0020,0.0016,0.0016,0.0013
125,0.0014,0.0013,0.0017,0.0038,0.0027,0.0033
126,0.0169,0.0155,0.0133,0.0158,0.0144,0.0117
127,0.0570,0.0846,0.0886,0.0886,0.0855,0.0537
128,0.0152,0.0182,0.0202,0.0205,0.0156,0.0168
129,0.0000,0.0000,0.0000,0.0001,0.0002,0.0001
130,0.0005,0.0004,0.0005,0.0005,0.0002,0.0003
131,0.0002,0.0003,0.0002,0.0003,0.0002,0.0002
132,0.0025,0.0030,0.0020,0.0024,0.0018,0.0019
133,0.2965,0.2772,0.2401,0.2671,0.2437,0.1962
134,0.4879,0.4559,0.3908,0.4283,0.3912,0.3071
135,0.0034,0.0025,0.0023,0.0021,0.0021,0.0016
136,0.0039,0.0061,0.0043,0.0046,0.0045,0.0045
137,0.0053,0.0052,0.0051,0.0077,0.0069,0.0020
138,0.0001,0.0001,0.0001,0.0001,0.0001,0.0003
139,0.0014,0.0013,0.0010,0.0011,0.0009,0.0009
140,0.0241,0.0336,0.0437,0.0535,0.0356,0.0356
141,0.6171,0.6129,0.6504,0.7180,0.5335,0.2901
142,0.0043,0.0094,0.0112,0.0137,0.0154,0.0113
143,0.0040,0.0036,0.0041,0.0037,0.0034,0.0039
144,0.0005,0.0006,0.0006,0.0006,0.0005,0.0005
145,0.0354,0.0302,0.0346,0.0482,0.0514,0.0456
146,0.0379,0.0519,0.0578,0.0459,0.0232,0.0262
147,0.0047,0.0048,0.0043,0.0049,0.0037,0.0042
148,0.0060,0.0058,0.0064,0.0054,0.0065,0.0036
149,0.0740,0.0696,0.0718,0.0837,0.0623,0.0498
150,0.0044,0.0053,0.0045,0.0059,0.0052,0.0059
151,0.0172,0.0160,0.0205,0.3922,0.0698,0.0280
152,0.0008,0.0005,0.0005,0.0007,0.0004,0.0008
153,0.0030,0.0035,0.0044,0.0058,0.0093,0.0043
154,0.0046,0.0046,0.0062,0.0053,0.0094,0.0395
155,0.0245,0.0364,0.0292,0.0337,0.0293,0.0305
156,0.0032,0.0029,0.0036,0.1556,0.0033,0.1164
157,0.0076,0.0091,0.0071,0.0076,0.0069,0.0074
158,0.0691,0.0750,0.1014,0.0901,0.0970,0.0896
159,0.0026,0.0022,0.0015,0.0013,0.0014,0.0065
160,0.0471,0.0444,0.0380,0.0421,0.0385,0.0307
161,0.0004,0.0005,0.0002,0.0001,0.0008,0.0003
162,0.0037,0.0052,0.0042,0.0055,0.0036,0.0040
163,0.0550,0.0549,0.0443,0.0514,0.0449,0.0501
164,0.0380,0.0431,0.0510,0.0357,0.0672,0.0725
165,0.0179,0.0215,0.0176,0.1945,0.0101,0.0235
166,0.0009,0.0007,0.0009,0.0008,0.0010,0.0010
167,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001
168,0.2912,0.2947,0.2760,0.3053,0.2199,0.2838
169,0.0130,0.0130,0.0113,0.0176,0.0129,0.0203
170,0.1155,0.1255,0.1171,0.1327,0.0950,0.1319
171,0.0036,0.0038,0.0063,0.0043,0.0156,0.0015
172,0.0012,0.0009,0.0016,0.0028,0.0024,0.0015
173,0.0900,0.1123,0.0839,0.0912,0.0767,0.0896
174,0.0058,0.0049,0.0030,0.0031,0.0021,0.0014
175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
176,0.0564,0.0488,0.0650,0.0574,0.0708,0.0591
177,0.0007,0.0008,0.0008,0.0011,0.0010,0.0009
178,0.0002,0.0002,0.0002,0.0003,0.0003,0.0002
179,0.0022,0.0018,0.0024,0.0013,0.0030,0.0028
180,0.0929,0.0888,0.0377,0.0475,0.0396,0.0329
181,0.0025,0.0030,0.0035,0.0052,0.0058,0.0040
182,0.0003,0.0003,0.0003,0.0003,0.0002,0.0007
183,0.0252,0.0342,0.0410,0.0425,0.0382,0.0314
184,0.0702,0.0835,0.0802,0.0894,0.0790,0.0882
185,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
186,0.0003,0.0004,0.0004,0.0005,0.0004,0.0004
187,0.0227,0.0222,0.0285,0.5290,0.0941,0.0344
188,0.0138,0.0085,0.0068,0.0073,0.0064,0.0067
189,0.0006,0.0006,0.0006,0.0005,0.0006,0.0008
190,0.0007,0.0007,0.0006,0.0010,0.0006,0.0008
191,0.0004,0.0003,0.0004,0.0006,0.0004,0.0004
192,0.0029,0.0028,0.0037,0.0065,0.0047,0.0030
193,0.0017,0.0017,0.0017,0.0022,0.0022,0.0022
194,0.0028,0.0021,0.0027,0.0028,0.0017,0.0028
195,0.0019,0.0015,0.0023,0.0019,0.0034,0.0018
196,0.0332,0.0380,0.0365,0.0392,0.0431,0.0501
197,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
198,0.0020,0.0022,0.0018,0.0013,0.0016,0.0015
199,0.0105,0.0065,0.0144,0.0054,0.0079,0.0078
200,0.0013,0.0013,0.0012,0.0010,0.0010,0.0008
201,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
202,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
203,0.0694,0.0606,0.0808,0.0706,0.0869,0.0827
204,0.0023,0.0025,0.0026,0.0032,0.0030,0.0036
205,0.0020,0.0040,0.0048,0.0036,0.0024,0.0031
206,0.0097,0.0099,0.0098,0.0121,0.0107,0.0100
207,0.0023,0.0023,0.0027,0.0038,0.0028,0.0028
208,0.0008,0.0006,0.0008,0.0011,0.0009,0.0011
209,0.1160,0.1234,0.1094,0.1238,0.0912,0.1024
210,0.0001,0.0001,0.0001,0.0002,0.0003,0.0002
211,0.0044,0.0045,0.0057,0.0043,0.0013,0.0017
212,0.0030,0.0024,0.0030,0.0024,0.0035,0.0035
213,0.0048,0.0049,0.0045,0.0052,0.0039,0.0048
214,0.0025,0.0032,0.0034,0.0036,0.0064,0.0039
215,0.0330,0.0413,0.0396,0.0425,0.0467,0.0437
216,0.0008,0.0013,0.0008,0.0007,0.0007,0.0006
217,0.0018,0.0015,0.0019,0.0019,0.0019,0.0013
218,0.0015,0.0021,0.0025,0.0051,0.0055,0.0040
219,0.0110,0.0101,0.0046,0.0128,0.0101,0.0075
220,0.0454,0.0427,0.0505,0.0677,0.0247,0.0212
221,0.2724,0.2766,0.2337,0.0829,0.2094,0.3931
222,0.0259,0.0270,0.0238,0.0289,0.0255,0.0289
223,0.0006,0.0007,0.0007,0.0009,0.0008,0.0007
224,0.0033,0.0032,0.0077,0.0128,0.0191,0.0057
225,0.0056,0.0057,0.0048,0.0038,0.0033,0.0034
226,0.0198,0.0202,0.0230,0.0244,0.0267,0.0214
227,0.0086,0.0084,0.0098,0.0085,0.0176,0.0107
228,0.0201,0.0221,0.0237,0.0384,0.0217,0.0156
229,0.0004,0.0003,0.0003,0.0003,0.0003,0.0004
230,0.0003,0.0003,0.0002,0.0003,0.0002,0.0002
231,0.0007,0.0013,0.0010,0.0016,0.0023,0.0014
232,0.0157,0.0134,0.0153,0.0100,0.0128,0.0149
233,0.0010,0.0010,0.0012,0.0010,0.0010,0.0011
234,0.0027,0.0025,0.0024,0.0017,0.0012,0.0007
235,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001
236,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
237,0.0343,0.0426,0.0385,0.0473,0.0357,0.0407
238,0.0045,0.0037,0.0048,0.0040,0.0052,0.0056
239,0.0022,0.0018,0.0012,0.0011,0.0012,0.0059
240,0.0036,0.0075,0.0098,0.0099,0.0332,0.0240
