uniqid_huc10,atmdep_mg_1985_huc10,atmdep_mg_1986_huc10,atmdep_mg_1987_huc10,atmdep_mg_1988_huc10,atmdep_mg_1989_huc10,atmdep_mg_1990_huc10,atmdep_mg_1991_huc10,atmdep_mg_1992_huc10,atmdep_mg_1993_huc10,atmdep_mg_1994_huc10,atmdep_mg_1995_huc10,atmdep_mg_1996_huc10,atmdep_mg_1997_huc10,atmdep_mg_1998_huc10,atmdep_mg_1999_huc10,atmdep_mg_2000_huc10,atmdep_mg_2001_huc10,atmdep_mg_2002_huc10,atmdep_mg_2003_huc10,atmdep_mg_2004_huc10,atmdep_mg_2005_huc10,atmdep_mg_2006_huc10,atmdep_mg_2007_huc10,atmdep_mg_2008_huc10,atmdep_mg_2009_huc10,atmdep_mg_2010_huc10,atmdep_mg_2011_huc10,atmdep_mg_2012_huc10
1,0.1224,0.1866,0.0575,0.0805,0.0300,0.0515,0.1337,0.1583,0.2150,0.1255,0.0963,0.0989,0.1281,0.2908,0.2477,0.0646,0.1450,0.0346,0.0652,0.0806,0.1418,0.0873,0.0707,0.1188,0.0512,0.2635,0.1014,0.0820
2,0.2106,0.1702,0.2014,0.1097,0.1247,0.1872,0.1404,0.0938,0.1150,0.0924,0.1495,0.1304,0.1301,0.1061,0.1480,0.1561,0.1145,0.1185,0.1205,0.1763,0.0938,0.1315,0.1870,0.1825,0.1209,0.1110,0.0763,0.1198
3,0.2100,0.2180,0.1711,0.1519,0.1846,0.1198,0.1391,0.1697,0.1476,0.1456,0.2116,0.1528,0.1710,0.0848,0.1266,0.1409,0.1631,0.1547,0.1824,0.1699,0.1109,0.1257,0.1365,0.0960,0.1066,0.2271,0.0934,0.1102
4,0.0505,0.0776,0.0934,0.0449,0.0522,0.1697,0.1934,0.0934,0.0627,0.1314,0.0738,0.0399,0.0616,0.1932,0.0927,0.0362,0.0415,0.0388,0.0520,0.0556,0.0585,0.0298,0.0481,0.0341,0.0363,0.0610,0.0281,0.0451
5,0.1436,0.1468,0.1240,0.1299,0.1502,0.1249,0.1252,0.0790,0.1293,0.1262,0.1136,0.1358,0.1180,0.1039,0.0940,0.1236,0.1123,0.0842,0.1244,0.1137,0.0942,0.0920,0.0995,0.1251,0.1181,0.1855,0.1325,0.0909
6,0.1088,0.0792,0.0779,0.0679,0.0685,0.0864,0.0667,0.0863,0.0835,0.0463,0.0891,0.2342,0.0927,0.0572,0.0832,0.0445,0.0750,0.1016,0.0589,0.2095,0.0562,0.0641,0.0629,0.0429,0.0710,0.1050,0.0599,0.0485
7,0.1758,0.2139,0.1509,0.1602,0.1035,0.1178,0.1304,0.1585,0.1204,0.1209,0.1969,0.1555,0.1410,0.0537,0.1535,0.1070,0.1043,0.1408,0.1247,0.1839,0.0877,0.0992,0.1307,0.0822,0.1034,0.2160,0.0600,0.1049
8,0.1850,0.1340,0.1267,0.1325,0.1236,0.0950,0.1629,0.0899,0.1118,0.1212,0.1076,0.1292,0.1142,0.0748,0.0956,0.1033,0.1158,0.0851,0.0930,0.0979,0.0820,0.0661,0.0925,0.1049,0.0923,0.3855,0.0981,0.0842
9,0.1260,0.1063,0.0911,0.0567,0.0601,0.0945,0.0603,0.0771,0.0542,0.0731,0.0493,0.0952,0.0887,0.0496,0.0594,0.0599,0.0766,0.0711,0.0530,0.0758,0.0527,0.0984,0.0668,0.0548,0.1256,0.1065,0.1232,0.0659
10,0.1373,0.1081,0.1361,0.0587,0.0857,0.1392,0.0731,0.0683,0.0685,0.0583,0.0600,0.0891,0.0833,0.0517,0.0504,0.0405,0.0485,0.0993,0.0706,0.0953,0.0666,0.0450,0.0618,0.0506,0.0543,0.0431,0.0512,0.0716
11,0.1307,0.1142,0.1229,0.0989,0.0992,0.0825,0.0847,0.1204,0.0726,0.0902,0.1627,0.5254,0.1997,0.0689,0.1429,0.0600,0.1276,0.1630,0.0693,0.2681,0.0611,0.0754,0.0850,0.0465,0.1224,0.1641,0.0841,0.0910
12,0.0626,0.0795,0.0543,0.0424,0.0242,0.0525,0.1083,0.0876,0.1287,0.0946,0.0467,0.0392,0.0806,0.1289,0.0987,0.0288,0.0553,0.0155,0.0472,0.0407,0.0485,0.0446,0.0290,0.0438,0.0204,0.0570,0.0411,0.0309
13,0.0737,0.1057,0.0634,0.0611,0.0309,0.0694,0.1208,0.1286,0.1823,0.1075,0.0599,0.0599,0.0804,0.1876,0.1398,0.0331,0.0725,0.0200,0.0590,0.0525,0.0868,0.0429,0.0395,0.0567,0.0256,0.1500,0.0602,0.0389
14,0.0605,0.0473,0.0283,0.0385,0.0264,0.0405,0.0865,0.0653,0.0715,0.0719,0.0217,0.0142,0.0442,0.0455,0.0332,0.0198,0.0242,0.0060,0.0265,0.0232,0.0257,0.0195,0.0284,0.0263,0.0134,0.0393,0.0202,0.0292
15,0.1932,0.1805,0.0969,0.0736,0.0580,0.2137,0.1358,0.0972,0.1438,0.1420,0.0691,0.1106,0.1583,0.1013,0.0646,0.1619,0.1367,0.0768,0.0839,0.0998,0.0669,0.1504,0.1484,0.0797,0.2224,0.2320,0.1847,0.1405
16,0.3860,0.3061,0.3077,0.2472,0.2618,0.2069,0.2533,0.2150,0.2617,0.2411,0.2536,0.2017,0.2475,0.2758,0.2846,0.2445,0.1602,0.2465,0.2415,0.2059,0.1859,0.2033,0.2993,0.3589,0.2813,0.1761,0.3129,0.2494
17,0.4564,0.4042,0.2579,0.1750,0.1791,0.4979,0.3636,0.1792,0.2237,0.1799,0.1291,0.2205,0.1373,0.1333,0.1719,0.2369,0.1269,0.1499,0.1351,0.1897,0.1516,0.1689,0.2889,0.3137,0.1671,0.1057,0.1760,0.2796
18,0.2055,0.1921,0.1653,0.1720,0.1468,0.1134,0.1547,0.1382,0.1408,0.1683,0.1647,0.1488,0.1509,0.0884,0.1235,0.1250,0.1530,0.1129,0.1737,0.1529,0.1030,0.0949,0.1161,0.1113,0.1088,0.2224,0.1182,0.1153
