uniqid_huc10,atmdep_so4_1985_huc10,atmdep_so4_1986_huc10,atmdep_so4_1987_huc10,atmdep_so4_1988_huc10,atmdep_so4_1989_huc10,atmdep_so4_1990_huc10,atmdep_so4_1991_huc10,atmdep_so4_1992_huc10,atmdep_so4_1993_huc10,atmdep_so4_1994_huc10,atmdep_so4_1995_huc10,atmdep_so4_1996_huc10,atmdep_so4_1997_huc10,atmdep_so4_1998_huc10,atmdep_so4_1999_huc10,atmdep_so4_2000_huc10,atmdep_so4_2001_huc10,atmdep_so4_2002_huc10,atmdep_so4_2003_huc10,atmdep_so4_2004_huc10,atmdep_so4_2005_huc10,atmdep_so4_2006_huc10,atmdep_so4_2007_huc10,atmdep_so4_2008_huc10,atmdep_so4_2009_huc10,atmdep_so4_2010_huc10,atmdep_so4_2011_huc10,atmdep_so4_2012_huc10
1,1.5329,1.8175,1.1223,1.3789,0.5765,0.6673,1.4906,1.8899,1.7441,1.2194,1.5797,1.1274,1.3454,2.8242,3.4725,0.9848,1.7645,0.5279,0.9302,1.3812,1.7019,1.0888,0.6163,0.9265,0.5292,1.6363,1.1116,0.7438
2,5.2235,5.0906,6.1432,3.9010,4.0385,7.3543,5.3730,4.8151,3.2719,3.7647,5.7674,4.5895,6.1480,4.8858,5.3374,6.0324,5.1792,5.0548,4.6915,7.3235,4.1522,3.8234,6.3194,4.5767,4.1519,3.7276,2.2565,4.6325
3,6.3410,10.5090,6.3632,6.3719,6.3235,4.7273,5.1849,5.9444,4.8324,4.2176,5.4794,4.8733,7.5034,3.8840,4.5898,5.5566,5.1505,4.5819,3.9200,6.4928,4.2720,4.7630,4.9343,3.6670,2.8525,3.9089,2.0341,2.5887
4,0.7276,1.0314,1.3127,0.8543,0.4793,0.9987,1.3852,1.6425,0.9117,0.7379,1.0357,0.5718,0.9822,1.9753,1.1336,0.5293,0.8145,0.5180,0.8087,1.0707,1.2319,0.4195,0.4933,0.3607,0.3328,0.6013,0.3358,0.5635
5,3.5954,4.8297,4.0879,4.5867,4.6501,4.5465,3.9853,3.5681,4.5114,4.6146,3.3346,4.8925,4.4748,3.9197,3.1165,3.6241,3.7915,2.4671,3.7692,3.9332,3.2577,3.0762,2.3899,2.6940,2.7156,2.1086,2.7581,1.9249
6,3.7322,3.7192,3.2955,3.0925,2.2201,3.7996,2.9564,3.3331,3.1705,1.7179,2.0960,3.7231,2.6146,2.2629,2.3614,1.8175,2.2020,2.4663,1.7479,4.3178,2.2844,2.6318,2.3292,1.5101,1.5609,2.8340,1.1168,1.4057
7,5.3383,9.5266,5.6924,6.7443,3.5698,4.7654,5.0118,5.9802,4.0496,3.9555,5.5227,4.1764,5.7369,2.4072,5.1403,4.1880,3.4595,4.2961,3.1325,6.3417,3.6140,3.7595,4.6641,2.7981,2.8373,4.0574,1.2707,2.7713
8,5.2236,4.8493,4.5493,5.4688,3.9727,3.6704,5.3562,3.7874,4.0651,4.5945,3.2095,4.5109,4.7646,3.2475,3.0468,3.5477,4.0574,2.9220,2.7775,3.7037,3.1758,2.5364,2.7193,2.7995,2.2663,2.9136,2.0740,1.8216
9,3.8697,4.4573,3.5759,2.7715,2.3435,3.4225,2.4493,3.5383,2.3670,2.8891,1.8754,2.8578,3.8288,2.2895,2.0089,2.1243,2.9502,2.1876,1.5187,2.2262,2.0618,2.5964,1.8873,1.3165,1.9648,1.7431,2.2785,1.2521
10,4.0462,4.1044,4.8695,2.1855,3.9717,5.0637,3.5169,3.0830,2.3075,2.4861,2.9580,3.1383,3.6171,2.5648,2.2090,2.4729,1.8069,2.8534,3.5598,4.6637,3.1138,1.9546,2.9982,1.7137,2.1978,1.7200,1.0380,2.7048
