uniqid_huc10,coa_corng_bushels_1969_huc10,coa_corng_bushels_1974_huc10,coa_corng_bushels_1978_huc10,coa_corng_bushels_1982_huc10,coa_corng_bushels_1987_huc10,coa_corng_bushels_1992_huc10,coa_corng_bushels_1997_huc10,coa_corng_bushels_2002_huc10,coa_corng_bushels_2007_huc10,coa_corng_bushels_2012_huc10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.6,4.1,50.4,23.0,23.4,11.8,9.2,3.2,42.2,21.2
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1007.2,2165.0,1486.8,1187.1,1318.6,3032.2,3393.2,2697.3,3271.3,2077.4
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.4,0.3,0.0,0.0,0.0,0.0,25.5,24.5,20.7,13.9
8,58.4,207.6,230.4,378.8,425.9,976.7,1891.9,2456.9,3203.1,2590.3
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0
14,0.6,1.2,1.1,1.2,1.2,0.8,9.8,2.6,2.6,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,10.2,2.1,3.4,3.4,19.6,54.6,17.9,312.4,1023.5,413.8
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,87.9,1055.3,1704.2,998.9,736.7,1222.1,1359.4,670.7,1305.5,855.3
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,24.1,30.1,49.9,58.9,33.6,43.4,118.6,45.7,62.3,57.9
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,198.1,2279.4,3233.6,2666.2,2030.6,4138.3,5932.7,4168.5,4843.3,3455.3
24,3.2,3.7,12.4,8.9,4.0,7.9,79.5,3.2,10.7,19.4
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,9.4,14.8,5.2,3.0,6.7,15.6,28.4,27.4,38.7,36.2
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,11.4,190.2,369.8,294.1,312.9,541.7,586.2,197.2,66.5,66.3
30,2.9,0.2,0.0,0.0,0.0,9.8,29.7,70.9,56.3,86.4
31,0.0,0.0,0.2,0.1,0.1,0.1,0.6,0.2,0.2,0.2
32,0.6,0.0,0.2,0.8,1.4,0.7,1.9,1.1,5.0,2.7
33,127.6,38.8,67.8,107.8,107.9,102.9,488.5,33.8,29.4,21.8
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.7,5.0,15.4,14.1,19.2,22.9,22.9,23.1,23.1,23.9
36,7.9,5.6,13.8,24.4,39.9,41.8,41.8,46.7,46.7,44.8
37,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,9.2,0.0,0.0,0.0,0.0,28.8,87.6,208.9,166.4,253.2
39,0.9,0.0,0.3,0.1,0.1,0.4,0.4,0.4,0.2,6.2
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.9,0.9,0.2,0.2,0.6,0.6,0.4,2.5,10.4,1.2
42,0.4,1.9,1.1,2.1,1.2,0.0,0.0,0.0,0.7,5.0
43,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.3,0.3,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.2,0.0,0.0,0.3,0.5,0.3,0.7,0.4,1.9,1.0
46,4.4,1.3,0.0,0.0,0.0,0.0,0.0,5.2,3.9,17.6
47,0.7,0.5,2.6,0.3,2.7,0.1,1.1,0.4,0.1,0.0
48,0.1,0.0,0.0,0.1,0.1,0.1,0.2,0.1,0.3,0.2
49,21.5,12.1,47.8,103.5,140.9,156.0,91.6,83.2,58.7,83.3
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1
51,0.8,0.9,3.0,2.2,1.0,1.9,18.8,0.8,2.5,4.6
52,29.1,171.2,338.7,380.6,594.0,1199.3,1518.0,1689.8,1941.4,1516.2
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
54,0.3,0.0,0.1,0.5,0.9,0.5,1.2,0.7,2.9,1.5
55,0.1,0.0,0.0,0.1,0.2,0.1,0.2,0.1,0.5,0.2
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2.4,2.1,2.7,2.9,0.7,0.8,0.3,0.5,0.0,0.3
58,26.0,52.5,109.9,91.3,102.7,105.1,148.0,107.0,85.8,141.6
59,1.1,7.1,59.3,62.0,4.0,0.0,17.5,18.6,29.6,48.2
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,23.8,29.2,77.7,60.2,144.9,203.3,129.4,87.9,106.1,328.9
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.9,1.4,5.0,5.1,1.8,1.2,2.1,2.8,0.0,3.2
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,26.4,16.5,65.7,43.6,40.9,23.9,27.4,19.0,52.6,15.8
66,10.8,2.9,5.2,8.4,182.7,103.5,8.0,7.9,2.9,0.0
67,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.0,0.0,1.5
68,0.0,0.0,0.0,0.2,0.4,0.4,0.0,0.0,0.2,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
70,41.5,35.6,247.2,111.7,64.6,351.2,627.9,613.7,909.7,699.6
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,107.6,109.8,544.5,1008.0,1461.3,1090.0,932.0,525.9,927.2,194.1
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,9.1,0.5,0.0,0.0,0.0,29.0,90.8,212.3,211.7,259.1
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.6
78,204.7,373.2,209.7,194.2,394.6,710.8,873.0,362.3,1435.8,631.2
79,0.2,0.0,0.1,0.3,0.6,0.3,0.9,0.5,2.1,1.2
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,5.4,2.5,2.8,2.7,11.0,30.0,26.4,137.4,388.7,220.5
82,41.3,58.2,99.0,78.3,133.6,151.5,254.7,411.4,717.9,774.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,5.1,38.1,0.0,0.0,0.0,0.3,4.7,3.7,9.0,13.2
87,0.6,3.7,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
88,0.2,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.3,0.0,3.0,3.3,0.8,10.5,26.2,18.4,1.3,1.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,4.5,4.9,2.8,6.3,16.4,15.8,15.8,15.7
93,0.7,1.3,1.2,1.8,1.8,0.5,6.4,1.2,1.2,0.0
