uniqid_huc10,coa_corns_gtons_1969_huc10,coa_corns_gtons_1974_huc10,coa_corns_gtons_1978_huc10,coa_corns_gtons_1982_huc10,coa_corns_gtons_1987_huc10,coa_corns_gtons_1992_huc10,coa_corns_gtons_1997_huc10,coa_corns_gtons_2002_huc10,coa_corns_gtons_2007_huc10,coa_corns_gtons_2012_huc10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.8,0.1,0.1,0.3,0.3,0.0,0.0,0.3,0.3,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20.3,14.1,16.5,10.6,12.3,30.2,16.5,40.2,34.4,23.3
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.3,0.6,0.6
8,4.5,4.6,7.6,9.3,7.5,10.8,21.0,19.6,22.5,45.8
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.4,2.2,2.2,3.2,2.7,1.5,2.3,3.9,4.9,2.9
14,0.8,1.0,0.7,1.1,0.5,0.6,2.0,2.1,1.2,1.3
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.1,1.3,5.3,1.6,1.8,2.3,0.7,1.6,0.8,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,38.2,39.6,53.4,32.6,35.8,30.5,35.3,61.0,71.5,106.2
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.8,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,36.6,22.5,44.8,16.7,7.3,15.1,18.1,28.6,22.7,35.4
24,10.4,10.5,19.4,15.6,11.8,11.8,38.6,64.6,37.0,49.7
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.3,0.2,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.2
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,11.1,8.1,4.7,3.8,5.1,1.8,24.4,53.8,43.0,30.2
30,0.2,0.1,0.7,0.8,1.0,1.8,0.4,3.4,1.7,1.3
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
32,0.1,0.4,0.3,0.4,0.3,0.5,1.7,3.3,3.3,2.6
33,11.9,10.8,22.1,22.5,10.2,33.9,27.0,87.7,114.6,122.2
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.7,0.5,2.3,2.6,3.2,5.3,1.4,10.1,4.9,3.7
39,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.3,3.1
42,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.1,0.1,0.1,0.1,0.2,0.6,1.3,1.3,1.0
46,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.2
49,0.2,2.1,2.0,1.9,2.0,0.6,0.0,0.0,0.0,0.5
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
51,2.5,2.5,4.7,3.8,2.9,2.8,9.1,15.5,8.9,11.9
52,6.2,6.1,11.7,5.3,3.7,5.0,5.2,10.9,7.9,6.7
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.1,0.2,0.2,0.2,0.2,0.4,1.1,1.9,1.9,1.5
55,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.3,0.2
56,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1.1,0.6,0.1,0.0,0.0,0.1,0.1,0.6,0.4,0.3
58,0.7,0.7,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
59,1.5,2.2,1.7,2.1,1.2,8.2,9.4,23.7,9.0,35.3
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.1,0.5,0.1,0.1,0.2,0.0,0.0,0.2,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.2,0.4,0.4,0.2,0.3,0.8,0.9,1.9,2.3,3.4
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.1
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1.9,2.2,1.2,2.2,1.4,3.8,3.0,0.4,0.4,10.4
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.5,0.9,0.7,0.9,0.9,5.1,16.1,1.8,0.3,1.8
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.6,0.5,2.3,2.6,3.3,5.3,1.4,10.1,5.0,3.7
76,0.8,0.8,0.0,0.0,0.0,0.3,0.4,0.4,0.6,0.7
77,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,20.2,15.5,19.6,17.6,12.6,12.4,15.3,21.0,14.7,10.7
79,0.1,0.1,0.1,0.2,0.1,0.3,0.8,1.4,1.4,1.2
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1.6,0.9,2.4,1.1,1.1,2.5,2.4,1.9,1.4,1.3
82,8.4,4.5,6.7,4.7,4.2,9.6,11.5,8.8,7.3,7.9
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.7,0.0,0.0,0.0,0.3,0.0,1.3,0.1,0.1
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,10.6,11.1,11.1,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.8,1.1,0.8,1.7,0.7,0.4,1.3,1.0,0.6,0.3
94,3.5,5.5,0.2,0.0,1.2,1.9,8.2,6.6,15.3,19.6
