uniqid_huc10,coa_hayalf_dtons_1969_huc10,coa_hayalf_dtons_1974_huc10,coa_hayalf_dtons_1978_huc10,coa_hayalf_dtons_1982_huc10,coa_hayalf_dtons_1987_huc10,coa_hayalf_dtons_1992_huc10,coa_hayalf_dtons_1997_huc10,coa_hayalf_dtons_2002_huc10,coa_hayalf_dtons_2007_huc10,coa_hayalf_dtons_2012_huc10
1,4.7,2.7,2.9,0.9,0.6,0.2,0.2,0.3,0.3,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.2,1.6,2.0,1.9,4.1,1.9,2.3,2.3,2.2,3.2
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,13.3,16.7,19.0,20.0,20.1,24.4,26.1,19.1,27.4,13.4
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.2,16.8,9.8,4.2,3.8,1.6,0.8,3.9,5.3,6.1
8,2.5,1.7,2.0,4.7,4.1,4.4,4.1,4.2,4.7,6.3
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,3.3,2.9,3.3,5.5,5.3,5.9,6.1,5.5,4.2,2.9
14,3.1,2.9,3.1,4.5,4.1,6.8,9.9,7.7,8.0,5.7
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,26.5,15.5,12.6,14.4,9.2,11.3,11.2,10.3,10.0,6.2
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2.3,5.6,2.7,2.3,2.2,0.8,0.9,1.0,1.3,3.5
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.3,0.5,0.8,0.9,1.3,0.2,0.0,0.3,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8.5,16.3,17.9,18.5,32.2,50.1,41.4,42.5,45.7,25.9
24,37.4,38.2,26.2,23.1,19.3,27.4,53.1,69.9,71.7,72.4
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.3,0.1
27,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,8.0,9.0,5.5,5.9,6.2,6.9,14.3,5.6,9.1,5.6
30,3.3,2.4,2.2,2.5,2.9,3.5,4.8,5.8,5.6,3.0
31,2.0,2.1,2.0,2.4,3.3,2.6,2.3,3.6,2.2,2.7
32,4.8,4.6,3.5,3.7,3.8,3.1,4.0,4.7,4.1,2.5
33,10.7,12.2,20.0,13.9,7.3,10.8,15.5,24.3,37.5,24.1
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.6,0.2,1.2,1.2,0.1,1.1,0.0,0.2,0.5,0.3
37,6.5,6.8,3.8,6.3,7.5,9.4,6.3,0.7,7.3,3.1
38,9.8,7.4,6.3,7.3,8.2,10.0,13.6,14.4,12.9,7.4
39,9.5,5.2,7.3,6.7,5.5,4.4,5.1,6.9,6.0,2.1
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,14.9,4.4,6.4,7.4,5.7,7.6,6.2,8.5,5.4,3.7
42,0.7,0.5,0.8,0.7,0.4,0.4,0.0,0.0,0.2,0.0
43,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.4,0.4
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.8,0.8,0.6,0.9,0.9,0.7,0.9,1.2,1.0,0.6
46,8.5,7.5,7.3,7.4,9.9,9.9,16.3,14.3,17.0,8.0
47,0.2,0.1,0.0,0.1,0.1,0.2,0.2,0.1,0.2,0.1
48,0.4,0.4,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.1
49,1.0,0.5,0.6,0.2,0.1,0.1,0.3,0.1,0.9,0.9
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
51,10.8,11.1,7.6,6.5,5.5,7.6,14.6,19.7,20.2,20.2
52,14.9,14.2,18.1,19.5,20.1,23.1,22.3,20.4,19.0,15.3
53,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3
54,2.2,2.1,1.6,1.7,1.8,1.5,1.9,2.1,1.9,1.0
55,0.9,0.9,0.7,0.7,0.7,0.6,0.8,0.9,0.8,0.5
56,0.4,0.0,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1
57,3.2,2.9,2.9,2.8,0.9,1.5,2.1,2.0,1.3,3.4
58,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
59,9.5,17.4,13.6,7.5,4.8,4.1,4.6,7.7,8.8,11.9
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.1,0.4,0.2,0.1,0.3,0.4,0.1,0.1,0.1,0.1
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2
63,0.1,0.2,0.3,0.2,0.2,0.5,0.4,0.4,0.8,1.5
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.1,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0
66,0.6,0.2,0.5,0.8,0.8,1.2,0.0,0.0,0.0,0.0
67,0.4,0.8,0.9,0.5,0.2,0.6,0.9,0.5,0.3,0.9
68,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0
69,0.3,0.4,0.4,0.4,0.6,0.6,0.9,1.8,1.6,1.7
70,2.6,3.4,2.2,2.4,0.8,0.8,2.1,2.0,6.2,6.3
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,3.8,8.2,11.0,3.0,5.2,1.9,3.9,2.0,1.5,2.5
73,0.0,0.3,0.4,0.4,0.0,0.0,0.0,0.1,0.1,0.1
74,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.1,0.2,0.0
75,12.6,8.4,7.7,8.5,8.8,10.7,14.5,15.9,14.4,7.4
76,17.4,12.8,23.9,26.6,30.3,51.7,66.3,20.5,53.6,51.8
77,15.2,8.7,9.5,6.7,4.2,2.1,3.7,3.0,3.7,2.7
78,36.5,51.8,55.0,53.6,61.9,73.9,77.5,53.5,70.3,31.7
79,1.1,1.1,0.8,1.0,1.1,0.9,1.2,1.3,1.2,0.7
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,11.7,7.7,7.0,8.4,5.7,5.4,5.5,4.9,4.8,2.1
82,29.5,24.1,22.1,23.2,17.9,15.0,16.7,13.4,12.8,6.8
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2.3,1.6,1.3,0.4,0.4,0.2,0.1,0.1,0.1,0.1
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.5,0.4,0.3,0.3,0.2,0.2,1.4,1.3,0.1,1.0
87,0.1,0.2,0.3,0.0,0.7,0.7,0.2,0.0,0.2,0.0
88,0.3,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.2,0.0
89,0.9,0.6,3.8,4.8,3.8,3.8,5.8,3.9,4.5,5.3
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2.8,2.8,4.4,5.2,5.2,5.1,6.0,4.2,5.3,0.8
93,9.2,8.6,9.4,13.9,12.6,16.3,23.5,16.7,17.3,7.6
94,0.4,0.4,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1.8,0.8,0.9,0.9,1.1,1.7,1.3,0.5,0.7,0.1
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,5.7,7.8,6.6,8.7,5.6,8.4,16.3,13.9,13.7,28.2
99,4.6,2.1,1.2,1.6,1.7,2.2,1.6,1.1,0.9,0.6
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,11.7,12.0,8.2,6.7,5.6,7.1,13.7,15.5,15.8,16.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,8.9,5.2,5.5,4.5,2.9,1.5,2.1,2.6,3.0,3.7
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,5.9,3.6,1.1,1.8,1.7,1.7,1.0,1.2,6.6,6.4
107,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,84.2,82.1,62.1,64.4,66.0,58.9,74.5,84.3,73.8,45.8
112,1.9,2.2,2.2,3.3,3.9,3.7,4.6,1.6,5.7,7.2
113,1.0,0.8,1.4,1.6,1.8,3.1,4.0,1.3,3.3,3.3
114,1.0,6.6,6.5,6.7,1.9,7.5,18.2,3.8,8.9,10.6
115,0.4,2.8,2.7,2.5,0.7,2.6,6.3,1.9,4.3,6.4
116,0.6,0.8,0.9,1.1,0.7,0.7,0.3,0.5,0.7,0.4
117,2.4,1.3,1.3,0.9,1.3,0.7,0.6,0.9,1.1,0.5
118,0.0,0.0,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1
119,0.7,0.8,0.9,0.8,0.6,0.7,1.2,0.8,0.8,0.7
120,0.3,0.1,0.1,0.2,0.2,0.2,0.0,0.0,0.0,0.0
121,0.9,0.6,0.7,0.6,0.9,0.6,0.7,1.2,2.0,0.6
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.3,0.2,0.2
124,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.0
125,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,1.0,2.8
126,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.8,0.7,0.4
127,2.3,1.1,1.8,2.7,0.9,1.4,2.0,1.9,2.1,0.7
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.2,0.3,0.7,0.9,1.2,0.5,0.5,0.6,0.3,0.2
133,86.9,85.2,64.3,68.1,69.5,61.9,78.0,91.2,80.5,50.2
134,159.7,155.6,117.8,120.1,123.1,109.9,139.2,155.3,135.9,83.1
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,18.0,16.6,12.4,15.9,17.9,22.0,20.5,22.3,19.4,8.9
137,0.9,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
139,0.2,0.0,0.2,0.2,0.3,0.1,0.5,0.3,0.3,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,271.9,292.5,275.6,335.3,456.5,395.5,354.9,546.6,336.7,404.1
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.2
146,8.7,9.9,5.7,6.1,6.5,7.9,16.2,5.8,9.2,5.2
147,1.6,1.7,2.0,1.6,1.0,1.2,0.7,1.1,0.9,0.6
148,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.4,0.1
149,13.4,12.7,13.6,18.6,17.6,28.4,39.9,33.2,33.0,24.2
150,19.4,9.8,9.1,9.9,9.0,12.9,12.0,13.7,15.3,6.6
151,1.8,0.6,0.8,0.7,0.4,0.7,0.2,0.4,0.4,0.0
152,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1
153,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,1.3,0.3,0.5,0.2,1.3,1.6,0.4,0.9,1.3,0.0
155,26.7,35.5,39.4,42.0,36.8,31.7,50.1,38.0,38.3,14.5
156,0.0,0.5,0.1,0.2,0.3,0.6,0.3,0.2,0.2,0.2
157,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0
158,17.1,16.3,20.4,21.4,21.9,19.6,24.0,18.6,36.0,42.2
159,0.3,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0
162,1.9,2.2,2.8,1.6,1.2,1.4,1.7,1.9,2.3,0.5
163,20.5,29.2,33.4,38.1,33.3,34.6,38.2,41.7,43.1,19.8
164,3.4,2.6,2.7,3.2,4.1,7.0,8.8,10.3,10.9,13.8
165,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0.8,0.0,1.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0
169,9.0,2.7,2.9,2.6,2.3,2.7,2.5,4.1,5.2,1.3
170,1.2,0.0,2.5,0.6,0.0,0.0,0.0,0.0,0.0,0.1
171,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1
172,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
173,1.1,0.6,1.0,1.6,0.6,0.6,2.6,0.4,0.8,0.4
174,0.4,0.3,0.3,0.1,0.4,0.4,0.3,0.3,0.3,0.1
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,6.6,4.5,3.8,3.7,3.9,4.6,14.3,23.1,28.6,31.8
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,0.1,0.1,0.3,0.5,0.5,0.6,0.8,1.5,1.2,1.5
179,0.4,0.8,0.6,0.2,0.2,0.5,0.4,0.5,2.0,2.0
180,0.0,0.7,0.6,0.6,0.6,0.8,0.0,0.0,0.0,0.0
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
183,9.4,11.1,12.0,11.4,13.7,16.7,15.1,13.1,15.6,13.9
