uniqid_huc10,coa_hogs_1969_huc10,coa_hogs_1974_huc10,coa_hogs_1978_huc10,coa_hogs_1982_huc10,coa_hogs_1987_huc10,coa_hogs_1992_huc10,coa_hogs_1997_huc10,coa_hogs_2002_huc10,coa_hogs_2007_huc10,coa_hogs_2012_huc10
1,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2,0.9,0.9,169.3,169.3,0.0,168.3,165.8,0.0,0.0
3,10.0,19.6,14.0,6.5,6.1,3.6,2.5,1.1,0.0,0.1
4,0.0,0.0,0.0,25.0,25.0,25.5,25.5,28.8,28.8,0.0
5,3.0,2.9,2.5,1.9,1.2,3.3,2.8,10.6,4.5,4.6
6,0.0,0.0,0.0,104.6,104.6,0.0,0.0,0.0,0.0,0.0
7,5.1,3.5,3.6,32.2,32.3,0.5,0.5,0.1,0.1,0.0
8,0.2,0.8,0.8,218.2,218.1,0.8,0.0,0.0,0.0,0.1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,13.3,13.3,0.0,0.0,0.0,0.0,0.0
11,0.3,0.0,0.0,0.3,0.2,0.1,0.1,0.0,0.1,0.1
12,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.2,0.2,0.0
13,0.4,0.7,0.9,0.7,0.5,1.2,1.8,2.2,2.2,0.1
14,0.3,0.1,0.2,0.2,0.1,0.5,0.1,0.1,0.1,0.7
15,0.5,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1
16,12.1,8.4,11.4,5.6,5.6,4.9,2.6,1.0,0.8,0.0
17,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4.8,6.2,5.7,3.6,2.8,4.5,0.9,0.0,0.0,0.0
19,0.6,0.8,0.7,0.7,0.4,0.2,0.0,0.0,0.0,0.0
20,14.7,8.7,8.6,9.7,6.1,1.6,1.5,0.6,0.7,0.5
