uniqid_huc10,coa_sheep_1969_huc10,coa_sheep_1974_huc10,coa_sheep_1978_huc10,coa_sheep_1982_huc10,coa_sheep_1987_huc10,coa_sheep_1992_huc10,coa_sheep_1997_huc10,coa_sheep_2002_huc10,coa_sheep_2007_huc10,coa_sheep_2012_huc10
1,0.7,0.5,0.5,0.2,0.1,0.1,0.0,0.0,0.0,0.0
2,37.0,32.1,31.8,28.6,24.4,27.2,19.5,14.1,12.1,7.8
3,2.0,1.5,0.2,1.4,3.0,3.1,1.1,0.1,0.1,0.1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.3,1.0,1.2,1.2,1.0,0.1,0.1,0.1,0.3,0.3
6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
7,4.9,2.9,2.5,0.7,0.7,0.7,0.1,0.1,0.1,0.5
8,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.1,0.5,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0
11,4.7,0.0,4.7,4.7,4.7,4.7,0.0,0.0,0.0,0.0
12,0.1,0.1,0.1,0.2,0.3,0.2,0.1,0.1,0.0,0.0
13,1.4,1.9,1.8,3.0,3.8,2.3,1.4,1.0,0.1,0.0
14,0.5,0.8,1.2,1.2,0.7,1.1,0.7,0.9,0.6,1.3
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,6.4,3.2,4.6,6.5,4.6,4.9,4.1,3.9,5.1,1.0
17,2.5,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,3.8,0.2,0.4,0.3,0.3,0.3,0.0,0.0,0.0,0.0
19,1.6,2.2,1.9,2.0,1.7,1.4,1.5,1.2,0.1,0.3
20,0.4,0.0,0.0,0.5,0.0,0.5,0.8,0.5,0.5,0.5
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,18.8,12.8,11.8,11.2,10.6,13.3,9.2,3.7,1.9,1.2
23,1.8,3.0,1.1,1.2,1.9,1.5,1.2,0.6,0.0,0.0
24,10.2,10.6,11.1,7.7,1.4,0.9,0.8,1.0,1.0,0.3
25,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0
26,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0
28,172.7,160.2,127.2,118.5,93.8,126.2,95.4,65.8,52.9,32.3
29,1.6,1.1,3.3,2.2,2.8,1.8,0.0,0.0,0.0,0.0
30,1.0,0.2,0.9,0.2,0.5,0.9,0.7,0.7,0.7,0.7
31,0.6,0.9,0.5,0.7,0.3,0.3,0.8,0.6,0.5,0.3
32,11.2,11.0,10.6,9.4,8.6,8.8,7.0,5.8,5.2,4.8
33,2.8,1.9,1.7,1.9,1.4,1.9,1.4,1.4,0.9,0.6
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0
36,43.1,17.4,10.9,9.7,9.0,8.6,10.9,8.2,6.5,5.6
37,0.9,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0
38,1.0,0.8,1.2,0.5,0.1,1.0,1.0,1.0,1.0,0.8
39,2.4,2.1,1.4,1.0,1.5,0.7,0.5,0.7,0.7,0.5
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.8,0.8,1.2,1.1,0.9,1.3,0.5,1.0,0.5,0.7
42,0.9,0.2,0.0,0.1,0.1,0.3,0.3,0.0,0.0,0.0
43,2.2,2.7,1.0,1.1,1.0,0.8,0.2,0.2,0.5,0.6
44,0.8,0.7,0.5,0.3,0.3,0.3,0.4,0.2,0.0,0.0
