uniqid_huc10,NORMSTOR_2013_huc10,NDAMS_2013_huc10,MAJ_NDAMS_2013_huc10,NORMSTOR_sqkm_2013_huc10,DAMS_100sqkm_2013_huc10,MAJDAMS_100sqkm_2013_huc10,NORMSTOR_2002_huc10,NDAMS_2002_huc10,MAJ_NDAMS_2002_huc10,NORMSTOR_sqkm_2002_huc10,DAMS_100sqkm_2002_huc10,MAJDAMS_100sqkm_2002_huc10,NORMSTOR_1992_huc10,NDAMS_1992_huc10,MAJ_NDAMS_1992_huc10,NORMSTOR_sqkm_1992_huc10,DAMS_100sqkm_1992_huc10,MAJDAMS_100sqkm_1992_huc10,NORMSTOR_1982_huc10,NDAMS_1982_huc10,MAJ_NDAMS_1982_huc10,NORMSTOR_sqkm_1982_huc10,DAMS_100sqkm_1982_huc10,MAJDAMS_100sqkm_1982_huc10,NORMSTOR_1972_huc10,NDAMS_1972_huc10,MAJ_NDAMS_1972_huc10,NORMSTOR_sqkm_1972_huc10,DAMS_100sqkm_1972_huc10,MAJDAMS_100sqkm_1972_huc10
1,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00
2,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00
3,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00
4,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00
5,57.5,3,0,0.06,0.34,0.00,57.5,3,0,0.06,0.34,0.00,57.5,3,0,0.06,0.34,0.00,57.5,3,0,0.06,0.34,0.00,57.5,3,0,0.06,0.34,0.00
6,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00
7,195.0,1,0,0.19,0.10,0.00,195.0,1,0,0.19,0.10,0.00,195.0,1,0,0.19,0.10,0.00,195.0,1,0,0.19,0.10,0.00,195.0,1,0,0.19,0.10,0.00
8,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00
9,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00,0.0,0,0,0.00,0.00,0.00
10,477.0,3,0,0.69,0.43,0.00,477.0,3,0,0.69,0.43,0.00,477.0,3,0,0.69,0.43,0.00,477.0,3,0,0.69,0.43,0.00,443.0,2,0,0.64,0.29,0.00
