uniqid_huc10,hden_1970_huc10,hden_1980_huc10,hden_1990_huc10,hden_2000_huc10,hden_2010_huc10,pden_1990_huc10,pden_2000_huc10,pden_2010_huc10
1,782.1,878.9,968.0,996.4,1072.3,2662.1,2869.9,2938.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
3,1.2,1.4,1.8,1.8,1.9,3.0,3.1,3.9
4,0.0,0.0,0.0,0.0,0.0,0.3,2.6,0.3
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
6,0.2,0.2,0.2,0.2,0.2,0.5,0.4,0.5
7,0.1,0.1,0.1,0.1,0.1,0.6,0.5,0.5
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.1,0.1,0.2,0.4,0.6,1.9,2.3,2.3
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.2,0.4,0.7,0.8,1.0,0.1,0.2,0.3
13,16.3,32.8,66.8,79.8,106.5,171.7,222.0,352.4
14,0.0,0.1,0.1,0.1,0.1,0.6,0.5,0.2
15,0.3,0.5,0.7,0.8,0.9,3.3,3.2,3.2
16,10.7,12.1,12.6,12.3,12.7,27.3,27.2,27.4
17,0.0,0.1,0.2,0.3,0.3,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3
19,0.0,0.4,0.4,0.8,1.2,3.6,5.1,4.2
20,5.4,8.5,12.6,17.0,24.1,32.8,48.3,61.5
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,5.6,7.2,7.8,8.1,8.7,20.1,23.2,25.1
24,2.0,3.3,5.1,7.6,11.0,14.7,26.1,80.1
25,0.5,1.1,1.3,1.9,2.4,4.3,6.4,6.4
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4
30,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.0,2.0,3.2,4.5,6.2,7.0,12.6,15.8
33,0.2,1.4,3.1,5.1,6.7,7.8,14.6,14.5
34,0.6,1.3,1.4,1.8,1.9,5.8,5.1,5.5
35,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
36,2.7,3.6,3.5,3.5,3.5,7.1,7.4,8.1
37,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4
38,2.2,2.5,2.9,2.7,2.8,6.2,6.0,6.4
39,6.1,7.9,8.7,10.3,11.1,19.4,20.8,23.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.8,1.2,1.5,1.6,1.9,2.8,4.3,6.6
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
43,0.0,0.3,0.3,0.3,0.3,1.3,1.5,1.9
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.3,0.3,0.3,0.1,0.0,0.0
46,4.5,4.7,4.6,4.3,4.1,9.1,9.5,9.9
47,80.2,95.8,116.3,124.4,147.7,272.1,300.7,355.3
48,0.2,0.3,0.3,0.4,0.4,0.9,0.7,1.2
49,5.1,8.3,10.6,13.4,17.4,31.4,41.1,49.5
50,8.8,15.9,22.1,24.2,28.2,58.4,52.0,57.7
51,0.1,0.2,0.3,0.3,0.6,0.4,0.8,1.7
52,0.6,0.6,0.6,0.7,0.6,1.6,1.7,1.7
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
54,0.0,0.0,0.0,0.1,0.1,0.5,0.6,1.0
55,0.0,0.0,0.0,0.4,0.4,1.0,1.2,1.6
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
57,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.5
58,0.1,0.2,0.2,0.4,0.4,0.4,0.6,0.9
59,1.6,2.6,3.7,3.7,3.9,10.6,11.8,15.8
60,0.5,0.7,0.7,0.7,0.8,0.4,1.0,0.5
61,0.1,0.1,0.1,0.1,0.2,0.1,1.6,0.8
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.1,0.2,0.2,0.3,0.4,1.4,2.2,2.3
64,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8
65,0.9,1.4,1.6,2.5,2.9,7.4,10.1,10.5
66,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.4
67,0.1,0.2,0.5,1.0,1.7,0.7,2.4,4.1
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
69,0.0,0.1,0.3,0.4,0.5,0.7,0.5,0.9
70,0.7,0.8,0.8,0.8,0.8,2.2,2.0,2.1
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1.4,1.9,2.5,2.9,3.0,6.7,8.3,8.5
73,8.8,10.4,11.9,12.7,13.2,32.8,37.0,46.8
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
75,0.7,0.9,0.9,0.8,0.8,2.1,1.9,2.3
76,4.9,7.6,9.5,11.9,13.6,23.9,29.3,32.4
77,26.2,37.3,57.1,68.5,83.4,142.8,185.1,267.8
78,0.1,0.1,0.3,0.3,0.3,0.6,0.7,0.7
79,0.8,0.9,1.1,1.1,1.2,1.5,0.9,1.1
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1.3,1.9,2.0,2.0,2.1,4.1,4.0,4.5
82,11.0,14.4,17.3,19.5,21.9,48.9,53.9,61.4
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,78.5,151.2,209.1,225.6,264.1,553.4,651.8,738.9
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.3,0.3,0.3,0.3,0.3,1.3,1.3,1.3
87,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3
88,0.6,0.9,0.9,0.8,0.8,0.7,0.8,1.0
89,0.5,0.9,1.3,2.1,2.9,6.5,8.0,9.3
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.3
93,1.0,5.1,22.4,47.9,85.9,30.1,154.9,290.1
94,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1.2,1.4,1.5,1.8,2.1,3.5,3.9,4.6
97,0.0,0.2,0.2,0.4,1.0,1.7,2.6,3.0
