uniqid_eco4,imperv_nwalt1974_eco4,imperv_nwalt1982_eco4,imperv_nwalt1992_eco4,imperv_nwalt2002_eco4,imperv_nwalt2012_eco4,imperv_nlcd2001_eco4,imperv_nlcd2006_eco4,imperv_nlcd2011_eco4
1,0.88,0.92,0.94,0.97,1.03,0.87,0.91,0.95
2,0.40,0.41,0.42,0.42,0.43,0.25,0.26,0.27
3,0.38,0.39,0.39,0.40,0.40,0.24,0.25,0.25
4,0.54,0.54,0.55,0.56,0.56,0.26,0.26,0.27
5,1.60,1.72,1.78,1.89,2.03,2.01,2.14,2.21
6,0.73,0.78,0.79,0.82,0.84,0.74,0.75,0.76
7,0.74,0.75,0.76,0.77,0.78,0.42,0.44,0.44
8,0.57,0.59,0.61,0.62,0.65,0.56,0.59,0.63
9,0.46,0.47,0.48,0.49,0.49,0.44,0.44,0.44
10,0.46,0.46,0.47,0.48,0.49,0.28,0.28,0.28
11,0.25,0.25,0.25,0.25,0.25,0.06,0.06,0.06
12,0.72,0.74,0.76,0.78,0.80,0.85,0.87,0.89
13,0.66,0.66,0.69,0.71,0.72,1.12,1.14,1.16
14,0.23,0.23,0.23,0.24,0.24,0.12,0.12,0.12
15,0.25,0.26,0.26,0.26,0.26,0.15,0.15,0.15
16,0.23,0.23,0.23,0.23,0.23,0.12,0.12,0.12
17,0.28,0.28,0.28,0.28,0.28,0.25,0.25,0.25
18,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15
19,0.24,0.25,0.25,0.25,0.25,0.22,0.22,0.22
20,0.24,0.24,0.24,0.24,0.24,0.29,0.29,0.29
21,0.26,0.26,0.27,0.27,0.27,0.17,0.17,0.17
22,0.24,0.24,0.24,0.25,0.25,0.22,0.22,0.22
23,0.23,0.23,0.23,0.23,0.23,0.11,0.11,0.11
24,0.77,0.79,0.80,0.81,0.82,0.81,0.82,0.84
25,0.22,0.22,0.22,0.22,0.22,0.28,0.28,0.28
26,0.10,0.10,0.10,0.10,0.10,0.03,0.03,0.03
27,0.86,0.91,0.94,1.06,1.18,1.52,1.60,1.65
28,0.32,0.32,0.32,0.33,0.33,0.12,0.12,0.12
29,2.11,2.30,2.41,2.77,3.06,2.53,2.96,3.17
30,0.19,0.19,0.19,0.20,0.20,0.09,0.09,0.09
31,0.47,0.50,0.53,0.55,0.57,0.78,0.81,0.81
32,0.34,0.35,0.36,0.36,0.37,0.28,0.28,0.30
