uniqid_huc10,imperv_nwalt1974_huc10,imperv_nwalt1982_huc10,imperv_nwalt1992_huc10,imperv_nwalt2002_huc10,imperv_nwalt2012_huc10,imperv_nlcd2001_huc10,imperv_nlcd2006_huc10,imperv_nlcd2011_huc10
1,56.09,56.77,57.06,57.10,57.77,68.03,69.02,69.50
2,0.26,0.26,0.26,0.33,0.33,0.42,0.43,0.43
3,0.34,0.34,0.35,0.36,0.36,0.30,0.30,0.30
4,0.31,0.31,0.31,0.31,0.31,0.30,0.30,0.30
5,0.36,0.36,0.36,0.37,0.37,0.12,0.12,0.12
6,0.22,0.23,0.23,0.23,0.23,0.20,0.20,0.20
7,0.36,0.38,0.38,0.39,0.40,0.20,0.20,0.21
8,0.29,0.30,0.30,0.31,0.31,0.07,0.07,0.07
9,0.24,0.24,0.24,0.24,0.24,0.27,0.27,0.27
10,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23
11,0.24,0.24,0.24,0.24,0.24,0.03,0.03,0.03
12,0.31,0.31,0.31,0.31,0.31,0.10,0.10,0.10
13,5.89,6.44,7.85,8.42,9.80,8.25,8.81,9.72
14,0.41,0.41,0.41,0.41,0.42,0.45,0.48,0.48
15,0.12,0.14,0.15,0.15,0.15,0.08,0.08,0.08
16,1.52,1.55,1.61,1.63,1.71,1.79,1.90,1.97
17,0.22,0.23,0.23,0.23,0.23,0.01,0.01,0.01
18,0.25,0.34,0.34,0.34,0.34,0.12,0.12,0.12
19,0.13,0.13,0.13,0.13,0.13,0.10,0.10,0.10
20,1.32,1.44,1.73,1.95,2.14,1.58,1.72,1.92
21,0.19,0.19,0.19,0.19,0.19,0.06,0.06,0.06
22,0.21,0.21,0.21,0.21,0.21,0.04,0.04,0.04
23,0.89,0.94,0.99,1.03,1.04,0.88,0.89,0.91
24,1.00,1.17,1.26,1.53,2.68,1.22,1.76,2.43
25,0.27,0.29,0.29,0.30,0.30,0.44,0.44,0.45
26,0.25,0.25,0.25,0.25,0.25,0.05,0.05,0.05
27,0.41,0.41,0.41,0.41,0.41,0.08,0.08,0.08
28,0.22,0.22,0.22,0.22,0.22,0.15,0.15,0.15
29,0.28,0.28,0.28,0.28,0.28,0.12,0.12,0.12
30,0.34,0.34,0.35,0.36,0.40,0.56,0.65,0.65
31,0.67,0.67,0.67,0.68,0.68,1.23,1.25,1.25
32,0.67,0.68,0.73,0.81,0.86,0.76,0.79,0.83
33,0.19,0.19,0.20,0.22,0.22,0.16,0.16,0.16
34,0.61,0.61,0.62,0.63,0.63,0.72,0.72,0.72
35,0.31,0.31,0.31,0.32,0.32,0.58,0.58,0.58
36,0.63,0.64,0.64,0.65,0.65,0.46,0.47,0.48
37,0.27,0.27,0.27,0.27,0.27,0.23,0.23,0.23
38,0.60,0.61,0.62,0.63,0.64,0.78,0.81,0.82
39,0.88,0.92,0.97,1.11,1.15,1.22,1.27,1.30
40,0.09,0.09,0.09,0.09,0.09,0.02,0.02,0.02
41,0.57,0.59,0.61,0.62,0.70,0.64,0.71,0.76
42,0.31,0.31,0.31,0.31,0.31,0.07,0.07,0.07
43,0.23,0.24,0.24,0.24,0.24,0.40,0.42,0.42
44,0.24,0.24,0.24,0.24,0.24,0.07,0.07,0.07
45,0.41,0.41,0.41,0.41,0.41,0.42,0.42,0.42
46,0.64,0.64,0.64,0.66,0.66,0.68,0.74,0.75
47,11.17,11.67,12.50,12.86,14.03,10.69,11.55,12.21
48,0.44,0.46,0.47,0.48,0.48,0.21,0.21,0.21
49,1.28,1.35,1.52,1.59,1.67,2.11,2.13,2.15
50,2.15,2.42,2.60,2.78,2.87,3.40,3.46,3.53
51,0.34,0.35,0.46,0.48,0.53,0.55,0.58,0.61
52,0.51,0.52,0.52,0.53,0.53,0.41,0.41,0.41
53,0.25,0.25,0.25,0.25,0.25,0.20,0.20,0.20
54,0.48,0.48,0.49,0.49,0.49,0.18,0.18,0.18
55,0.43,0.43,0.43,0.43,0.43,0.10,0.10,0.10
56,0.24,0.24,0.24,0.24,0.24,0.04,0.04,0.04
57,0.22,0.22,0.22,0.22,0.22,0.30,0.30,0.30
58,0.28,0.29,0.29,0.29,0.30,0.29,0.29,0.29
59,0.69,0.76,0.81,0.87,1.02,0.69,0.73,0.79
60,0.32,0.32,0.32,0.32,0.32,0.12,0.12,0.12
61,0.33,0.34,0.34,0.37,0.37,0.35,0.35,0.35
62,0.27,0.27,0.27,0.27,0.27,0.55,0.55,0.55
63,0.27,0.27,0.27,0.28,0.29,0.25,0.25,0.25
64,0.08,0.08,0.08,0.08,0.08,0.02,0.02,0.02
65,0.37,0.39,0.41,0.42,0.43,0.43,0.48,0.50
66,0.38,0.39,0.39,0.40,0.40,0.21,0.22,0.22
67,0.19,0.19,0.19,0.20,0.21,0.10,0.10,0.10
68,0.26,0.26,0.26,0.26,0.26,0.06,0.06,0.06
69,0.26,0.26,0.27,0.27,0.27,0.17,0.17,0.17
70,0.46,0.47,0.48,0.48,0.48,0.35,0.35,0.35
71,0.12,0.12,0.13,0.13,0.13,0.16,0.16,0.16
72,0.21,0.22,0.23,0.24,0.24,0.33,0.33,0.33
73,1.45,1.53,1.60,1.63,1.66,1.69,1.76,1.80
74,0.17,0.17,0.17,0.17,0.17,0.34,0.34,0.34
75,0.39,0.40,0.40,0.41,0.42,0.58,0.60,0.60
76,0.75,0.79,0.83,0.89,0.90,1.18,1.19,1.20
77,4.52,5.24,5.95,6.34,7.68,4.66,5.99,6.35
78,0.36,0.37,0.38,0.41,0.41,0.29,0.30,0.30
79,0.52,0.52,0.53,0.53,0.53,0.39,0.39,0.39
80,0.24,0.24,0.24,0.24,0.24,0.06,0.06,0.06
81,0.49,0.49,0.50,0.50,0.51,0.34,0.34,0.36
82,1.43,1.61,1.80,1.90,2.22,1.84,2.02,2.12
83,0.28,0.28,0.29,0.29,0.29,0.16,0.16,0.16
84,13.97,15.97,17.66,18.63,19.76,15.42,16.17,16.71
85,0.28,0.28,0.28,0.28,0.28,0.08,0.08,0.08
86,0.38,0.38,0.39,0.40,0.40,0.36,0.37,0.38
87,0.34,0.34,0.35,0.35,0.35,0.17,0.17,0.17
88,0.39,0.40,0.40,0.41,0.41,0.16,0.17,0.17
89,0.17,0.18,0.18,0.22,0.22,0.20,0.21,0.21
90,0.24,0.24,0.24,0.24,0.24,0.14,0.14,0.14
91,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26
92,0.32,0.32,0.33,0.34,0.35,0.23,0.26,0.26
93,1.34,1.76,3.26,4.35,6.15,3.83,5.57,6.47
94,0.30,0.31,0.31,0.31,0.31,0.09,0.09,0.09
95,0.24,0.24,0.24,0.24,0.24,0.12,0.13,0.13
96,0.44,0.44,0.45,0.46,0.46,0.52,0.52,0.52
97,0.14,0.14,0.14,0.14,0.14,0.56,0.56,0.56
