uniqid_county,NLCD06_11_county,NLCD06_12_county,NLCD06_21_county,NLCD06_22_county,NLCD06_23_county,NLCD06_24_county,NLCD06_31_county,NLCD06_41_county,NLCD06_42_county,NLCD06_43_county,NLCD06_52_county,NLCD06_71_county,NLCD06_81_county,NLCD06_82_county,NLCD06_90_county,NLCD06_95_county,NLCD06_9999_county
1,0.02,0.00,1.33,1.42,0.66,0.14,0.94,0.00,2.09,0.02,90.85,1.37,0.02,0.48,0.62,0.02,0.01
2,0.07,0.00,0.55,0.17,0.05,0.01,1.82,0.00,19.21,0.00,64.23,13.41,0.10,0.06,0.24,0.10,0.00
3,0.33,0.00,0.72,0.35,0.07,0.01,1.65,0.14,0.03,0.00,89.10,2.65,3.97,0.39,0.46,0.13,0.00
4,0.74,0.00,0.56,0.25,0.07,0.01,0.35,0.00,37.75,0.00,59.74,0.30,0.01,0.01,0.15,0.06,0.00
5,0.15,0.00,0.90,0.57,0.26,0.07,14.07,0.01,0.00,0.00,77.01,0.81,0.74,4.88,0.36,0.14,0.03
6,0.11,0.00,0.87,0.44,0.13,0.02,0.27,0.00,19.38,0.00,74.97,3.33,0.20,0.00,0.17,0.11,0.00
7,0.12,0.00,3.13,0.91,0.25,0.06,0.39,0.00,0.94,0.00,82.71,0.27,0.64,9.69,0.83,0.05,0.00
8,0.01,0.00,0.47,0.36,0.07,0.00,0.91,0.12,44.31,0.00,52.88,0.37,0.21,0.11,0.14,0.05,0.00
9,0.04,0.00,1.69,0.28,0.10,0.04,0.01,0.00,11.92,0.15,82.86,1.67,0.67,0.18,0.21,0.16,0.02
10,0.15,0.00,0.49,0.15,0.06,0.01,4.60,0.05,25.91,0.00,58.20,10.14,0.01,0.01,0.14,0.06,0.00
11,0.09,0.00,0.41,0.22,0.04,0.01,0.14,0.01,16.68,0.00,78.27,1.94,0.05,1.62,0.46,0.04,0.00
12,0.31,0.00,3.27,3.83,3.29,0.79,0.18,0.00,0.52,0.00,77.10,4.12,0.43,5.26,0.69,0.21,0.00
13,0.02,0.00,1.56,0.27,0.08,0.01,0.88,0.00,8.07,0.65,81.30,3.47,0.21,3.24,0.17,0.04,0.02
14,0.78,0.00,0.70,0.45,0.14,0.03,2.19,0.12,8.80,0.00,81.39,4.86,0.10,0.11,0.26,0.09,0.00
15,0.11,0.00,0.48,0.15,0.02,0.00,2.49,0.16,28.00,0.00,52.93,15.31,0.04,0.03,0.12,0.14,0.00
16,0.43,0.00,11.33,15.30,27.46,7.93,0.34,0.01,0.92,0.70,29.39,4.95,0.07,0.58,0.42,0.16,0.00
17,0.32,0.00,4.24,1.51,0.94,0.06,0.90,0.00,11.20,11.05,43.41,18.82,1.51,5.19,0.41,0.44,0.00
18,6.95,0.00,0.92,1.49,0.45,0.06,26.43,0.01,0.02,0.01,46.48,0.08,7.65,8.84,0.44,0.15,0.02
19,0.30,0.00,3.69,1.18,1.04,0.23,5.12,0.68,5.36,0.25,38.40,24.15,1.73,17.61,0.09,0.17,0.00
20,0.43,0.00,6.84,4.40,5.74,1.58,12.08,0.01,2.93,1.96,49.38,11.54,0.23,1.72,0.65,0.51,0.00
21,0.17,0.00,1.43,1.17,0.75,0.09,11.34,0.00,1.79,0.21,81.56,1.14,0.09,0.17,0.07,0.02,0.00
22,1.36,0.00,3.98,2.87,2.52,0.29,6.79,0.01,1.87,0.32,67.93,6.92,2.00,2.76,0.23,0.14,0.00
23,0.48,0.00,5.84,3.68,3.49,0.31,1.34,0.00,13.49,7.53,45.16,10.55,0.85,6.48,0.49,0.31,0.00
24,0.42,0.00,8.40,7.77,12.89,4.72,4.64,0.00,4.65,2.41,41.59,9.50,1.89,0.82,0.21,0.11,0.00
25,0.05,0.00,0.40,0.09,0.01,0.00,0.17,2.05,16.46,0.41,18.34,60.33,0.27,0.72,0.42,0.27,0.00
26,0.24,0.01,1.11,0.52,0.07,0.00,0.63,6.66,20.25,1.19,29.49,21.88,11.42,0.01,3.73,2.79,0.00
27,0.43,0.00,0.88,0.59,0.10,0.01,1.49,18.84,35.71,3.02,21.97,6.73,8.52,0.45,1.23,0.01,0.00
28,0.99,0.00,1.36,0.14,0.01,0.00,0.23,0.00,0.01,0.00,11.75,75.52,0.13,8.20,0.52,1.15,0.00
29,0.28,0.02,0.87,0.32,0.01,0.00,1.93,5.44,23.68,1.79,43.51,14.58,3.74,1.94,1.34,0.57,0.00
30,0.16,0.00,2.34,0.36,0.06,0.01,0.11,0.03,0.02,0.00,10.26,48.29,2.53,34.66,0.53,0.65,0.00
31,0.41,0.00,1.04,0.37,0.05,0.00,0.81,10.52,29.10,0.72,42.36,4.78,4.62,4.60,0.61,0.01,0.00
32,0.19,0.00,0.29,0.09,0.02,0.00,3.95,9.70,51.35,2.61,0.55,26.71,0.13,0.01,3.61,0.78,0.00
33,0.59,0.01,1.13,1.35,0.36,0.05,2.36,0.57,5.00,0.21,55.36,5.00,21.33,0.06,3.76,2.86,0.00
34,0.12,0.00,1.33,1.03,0.24,0.02,0.75,6.25,27.40,1.85,16.55,21.99,16.88,0.06,3.55,1.98,0.00
35,0.01,0.00,2.84,0.11,0.01,0.00,0.05,0.05,0.31,0.00,10.92,47.78,3.95,33.59,0.06,0.32,0.00
36,0.35,0.00,0.55,0.19,0.03,0.01,1.05,13.70,41.97,5.70,23.88,8.34,1.93,0.04,2.12,0.17,0.00
37,0.14,0.00,0.47,0.18,0.05,0.01,0.94,5.26,21.99,1.70,18.91,48.80,0.63,0.04,0.52,0.37,0.00
38,0.75,0.00,4.06,0.47,0.07,0.02,0.00,0.11,0.00,0.00,0.01,24.58,0.00,69.24,0.68,0.01,0.00
39,0.31,0.00,4.20,0.80,0.17,0.07,0.03,0.13,0.00,0.00,2.47,35.92,2.30,53.05,0.48,0.06,0.00
40,0.79,0.00,3.57,0.62,0.23,0.10,0.02,0.20,0.00,0.00,0.00,24.84,2.51,66.48,0.61,0.03,0.00
41,0.31,0.00,3.27,0.54,0.16,0.05,0.09,0.19,0.00,0.00,0.00,23.45,4.65,67.14,0.08,0.08,0.00
42,0.01,0.00,3.72,0.13,0.02,0.00,0.04,0.10,0.01,0.00,3.05,13.60,11.86,67.37,0.08,0.01,0.00
43,1.93,0.00,4.65,1.59,0.34,0.16,0.02,2.42,0.00,0.00,0.02,36.72,0.33,51.04,0.69,0.10,0.00
44,0.39,0.00,2.61,0.17,0.03,0.01,0.02,0.23,0.00,0.00,0.00,74.27,0.00,21.82,0.41,0.03,0.00
45,0.57,0.00,3.80,0.49,0.05,0.01,0.03,1.63,0.00,0.01,0.01,36.78,0.12,56.26,0.24,0.01,0.00
46,0.13,0.00,2.75,0.16,0.02,0.00,0.09,0.05,0.00,0.00,11.98,23.41,7.12,53.41,0.64,0.24,0.00
47,0.52,0.00,3.12,0.13,0.02,0.00,0.01,0.06,0.00,0.00,0.02,44.20,0.93,50.03,0.95,0.01,0.00
48,0.27,0.00,3.18,0.27,0.07,0.02,0.01,0.05,0.00,0.00,0.02,58.07,0.03,37.83,0.19,0.00,0.00
49,0.35,0.00,4.16,0.31,0.05,0.01,0.04,0.10,0.00,0.00,0.01,8.48,2.24,84.26,0.00,0.00,0.00
50,0.02,0.00,4.14,0.18,0.02,0.00,0.18,0.04,0.00,0.00,11.67,28.77,4.90,49.51,0.24,0.33,0.00
51,0.08,0.00,4.04,0.35,0.10,0.03,0.09,0.05,0.00,0.00,0.79,15.95,6.20,72.29,0.04,0.00,0.00
52,1.11,0.00,3.78,0.37,0.05,0.02,0.01,0.06,0.00,0.00,0.02,31.92,0.01,62.03,0.61,0.01,0.00
53,1.22,0.00,3.44,0.33,0.05,0.01,0.01,2.20,0.01,0.00,0.02,68.33,0.01,24.05,0.29,0.01,0.00
54,0.43,0.00,2.74,0.17,0.03,0.01,0.03,0.13,0.00,0.00,0.00,11.82,5.02,79.51,0.02,0.09,0.00
55,0.57,0.00,3.03,0.11,0.02,0.00,0.01,0.06,0.00,0.00,0.30,71.56,1.83,22.19,0.27,0.05,0.00
56,1.07,0.00,3.79,0.56,0.06,0.02,0.02,2.36,0.00,0.00,0.01,47.70,0.16,43.83,0.41,0.02,0.00
57,0.70,0.00,4.55,2.01,0.55,0.22,0.01,2.55,0.00,0.00,0.00,22.71,0.68,65.27,0.72,0.02,0.00
58,0.03,0.00,4.53,0.30,0.02,0.01,0.06,0.01,0.00,0.00,4.51,23.06,0.72,66.72,0.01,0.02,0.00
59,0.31,0.00,2.93,0.12,0.02,0.00,0.05,0.09,0.00,0.00,4.38,22.67,9.00,59.74,0.40,0.27,0.00
60,1.43,0.00,4.03,0.53,0.05,0.01,0.02,0.38,0.00,0.00,0.04,32.23,0.02,59.30,1.52,0.45,0.00
61,2.00,0.00,5.76,9.27,3.37,1.58,0.06,2.61,0.00,0.08,0.01,23.84,0.81,49.78,0.80,0.02,0.00
62,0.48,0.00,2.96,0.18,0.02,0.00,0.02,0.28,0.00,0.00,0.02,45.34,4.22,46.07,0.34,0.06,0.00
63,1.07,0.00,4.04,1.03,0.15,0.04,0.03,2.04,0.00,0.01,0.00,20.58,0.88,68.53,1.55,0.04,0.00
64,0.37,0.00,3.62,0.57,0.13,0.05,0.02,0.31,0.00,0.00,0.01,32.50,0.00,61.83,0.56,0.03,0.00
65,1.70,0.00,0.95,1.44,1.84,0.71,3.22,0.01,5.08,0.08,83.87,0.60,0.06,0.07,0.21,0.16,0.00
66,0.11,0.00,0.35,0.01,0.00,0.00,0.11,0.06,2.91,0.00,24.19,72.07,0.00,0.15,0.02,0.02,0.00
67,0.61,0.00,0.24,0.22,0.03,0.00,2.08,0.19,14.63,0.00,75.27,6.14,0.05,0.21,0.30,0.01,0.00
68,0.07,0.00,1.36,0.34,0.13,0.04,0.38,0.00,0.00,0.00,52.82,42.38,0.00,2.44,0.00,0.03,0.00
69,0.11,0.00,0.51,0.10,0.02,0.00,0.06,0.01,0.61,0.00,16.50,81.72,0.00,0.07,0.07,0.20,0.00
70,0.12,0.00,1.49,0.09,0.02,0.00,0.47,0.21,10.69,0.01,18.92,66.47,0.00,1.07,0.00,0.44,0.00
71,0.03,0.00,0.52,0.21,0.08,0.01,0.73,0.21,30.02,0.00,64.23,3.73,0.04,0.05,0.09,0.05,0.00
72,0.01,0.00,0.50,0.16,0.03,0.01,5.73,0.04,17.35,0.00,66.71,9.11,0.04,0.20,0.10,0.01,0.00
73,0.39,0.00,0.89,0.39,0.19,0.03,1.18,0.07,7.31,0.00,64.51,21.78,1.23,1.28,0.62,0.11,0.00
74,0.17,0.00,2.30,0.18,0.04,0.01,0.09,0.00,0.00,0.00,15.78,63.32,0.00,18.06,0.01,0.05,0.00
75,0.06,0.00,4.06,0.67,0.20,0.13,0.07,0.00,0.00,0.00,1.01,59.62,0.00,34.12,0.02,0.05,0.00
