uniqid_county,NWALT92_11_county,NWALT92_12_county,NWALT92_21_county,NWALT92_22_county,NWALT92_23_county,NWALT92_24_county,NWALT92_25_county,NWALT92_26_county,NWALT92_27_county,NWALT92_31_county,NWALT92_32_county,NWALT92_33_county,NWALT92_41_county,NWALT92_43_county,NWALT92_44_county,NWALT92_45_county,NWALT92_46_county,NWALT92_50_county,NWALT92_60_county,NWALT92_9999_county
1,0.03,0.01,0.22,0.33,0.14,0.16,0.55,0.72,0.27,0.81,1.49,0.02,0.50,0.48,0.01,0.00,1.74,78.51,13.99,0.03
2,0.05,0.01,0.18,0.05,0.01,0.02,0.01,0.13,0.08,0.00,0.72,0.02,0.03,0.06,0.10,0.01,10.74,87.35,0.44,0.00
3,0.28,0.03,0.23,0.03,0.00,0.01,0.01,0.06,0.07,0.00,0.24,0.00,0.00,0.51,4.14,0.10,3.12,80.35,10.81,0.00
4,0.64,0.01,0.17,0.04,0.01,0.01,0.02,0.15,0.07,0.01,0.56,0.00,0.26,0.00,0.02,0.00,0.01,89.63,8.38,0.00
5,0.15,0.02,0.21,0.13,0.09,0.04,0.12,0.16,0.14,0.09,0.17,0.01,0.01,5.09,0.62,0.03,0.19,66.32,26.35,0.06
6,0.03,0.00,0.25,0.08,0.01,0.03,0.02,0.38,0.09,0.00,1.64,0.01,0.11,0.00,0.07,0.01,3.36,87.06,6.85,0.00
7,0.08,0.25,0.31,0.12,0.04,0.06,0.10,0.24,0.53,0.14,1.08,0.03,0.22,10.29,0.59,0.01,0.24,81.65,4.03,0.00
8,0.01,0.01,0.29,0.04,0.04,0.01,0.01,0.05,0.09,0.00,0.16,0.01,0.69,0.08,0.22,0.03,0.22,81.77,16.25,0.00
9,0.04,0.00,0.27,0.10,0.03,0.08,0.03,0.27,0.28,0.02,1.50,0.02,0.00,0.20,0.70,0.01,0.96,91.34,4.04,0.11
10,0.15,0.02,0.17,0.04,0.01,0.01,0.01,0.05,0.04,0.00,0.19,0.00,0.01,0.01,0.01,0.00,5.90,84.94,8.43,0.00
11,0.02,0.08,0.12,0.03,0.00,0.01,0.01,0.06,0.07,0.00,0.30,0.00,0.01,1.70,0.07,0.00,1.70,91.16,4.64,0.00
12,0.25,0.19,0.55,1.22,0.37,0.55,2.18,1.61,0.72,0.91,1.50,0.03,0.00,6.57,0.51,0.01,5.43,69.54,7.85,0.00
13,0.02,0.02,0.23,0.07,0.09,0.02,0.07,0.14,0.16,0.02,0.67,0.07,0.02,2.59,0.44,0.02,3.00,88.32,3.99,0.05
14,0.75,0.07,0.14,0.06,0.01,0.03,0.04,0.21,0.10,0.01,0.65,0.00,0.02,0.09,0.10,0.01,4.61,80.82,12.30,0.00
15,0.11,0.01,0.21,0.02,0.01,0.00,0.00,0.04,0.04,0.00,0.32,0.02,0.01,0.04,0.04,0.02,13.09,83.40,2.62,0.00
16,0.46,0.04,3.79,11.95,5.26,5.29,20.83,6.80,2.04,5.39,2.16,0.13,0.08,0.81,0.34,0.05,1.34,32.82,0.41,0.00
17,0.34,0.02,0.53,0.59,0.52,0.25,0.87,0.93,0.30,0.93,0.96,0.20,0.09,4.52,1.88,0.37,3.40,64.30,18.99,0.00
18,6.68,0.02,0.39,0.16,0.07,0.02,0.13,0.20,0.22,0.01,0.24,0.01,0.04,8.82,8.19,0.12,0.01,74.00,0.55,0.09
19,0.30,0.01,0.49,0.38,0.26,0.10,0.43,0.55,0.36,0.10,0.86,0.05,0.37,17.84,2.10,1.11,13.46,59.91,1.33,0.00
20,0.38,0.07,1.08,2.23,1.26,1.19,3.80,4.13,0.83,2.77,4.01,0.05,0.02,1.44,0.30,0.15,2.77,71.42,2.07,0.03
21,0.14,0.00,0.35,0.39,0.20,0.08,0.50,0.85,0.22,0.62,1.07,0.01,0.08,0.17,0.12,0.01,0.25,92.32,2.61,0.00
22,1.22,0.06,0.62,0.98,0.29,0.57,1.19,2.33,0.79,1.04,2.57,0.06,0.03,3.05,2.08,0.21,2.04,65.10,15.77,0.00
23,0.46,0.02,0.90,1.55,0.93,0.60,2.35,2.40,0.73,1.67,1.14,0.03,0.06,6.92,1.23,0.47,1.80,53.14,23.62,0.00
24,0.46,0.00,2.44,5.43,2.99,1.96,12.28,4.24,0.94,4.16,2.51,0.03,0.07,0.73,2.11,0.80,3.66,51.80,3.37,0.00
