uniqid_eco4,NLCD06_11_eco4,NLCD06_12_eco4,NLCD06_21_eco4,NLCD06_22_eco4,NLCD06_23_eco4,NLCD06_24_eco4,NLCD06_31_eco4,NLCD06_41_eco4,NLCD06_42_eco4,NLCD06_43_eco4,NLCD06_52_eco4,NLCD06_71_eco4,NLCD06_81_eco4,NLCD06_82_eco4,NLCD06_90_eco4,NLCD06_95_eco4,NLCD06_9999_eco4
1,3.75,0.00,2.33,0.99,0.44,0.10,0.10,0.07,6.31,0.01,64.74,5.15,2.22,11.40,0.18,2.24,0.00
2,0.02,0.00,2.84,0.27,0.07,0.01,0.00,0.01,0.18,0.01,18.19,1.04,0.14,77.00,0.04,0.17,0.00
3,0.06,0.00,2.28,0.22,0.08,0.01,0.04,0.02,0.27,0.02,56.16,2.61,1.35,36.54,0.07,0.26,0.00
4,1.14,0.00,2.35,0.34,0.04,0.01,0.01,0.03,0.38,0.00,56.81,2.82,1.55,34.00,0.03,0.49,0.00
5,4.50,0.00,4.00,2.68,1.24,0.16,0.01,0.07,0.05,0.01,36.40,2.79,3.83,42.41,0.81,1.04,0.00
6,1.32,0.00,2.90,0.93,0.29,0.03,0.00,0.20,2.46,0.06,15.30,29.28,0.83,46.17,0.09,0.14,0.00
7,0.07,0.00,1.56,0.56,0.16,0.02,0.03,0.11,1.90,0.03,66.31,6.38,2.17,20.41,0.17,0.12,0.00
8,0.00,0.00,3.69,0.70,0.23,0.04,0.00,0.11,3.71,0.01,2.34,1.24,0.06,87.60,0.05,0.21,0.00
9,0.00,0.00,3.74,0.49,0.09,0.01,0.01,0.03,5.64,0.10,5.51,5.86,0.30,77.60,0.04,0.60,0.00
10,0.02,0.00,3.05,0.28,0.04,0.01,0.03,0.02,11.00,0.00,2.57,14.76,0.11,68.07,0.02,0.03,0.00
11,1.25,0.00,0.44,0.04,0.01,0.00,1.38,0.02,1.18,0.01,93.29,1.03,0.23,0.83,0.07,0.21,0.00
12,4.32,0.00,1.64,0.83,0.49,0.10,0.05,0.12,4.34,0.03,24.98,54.31,0.24,8.29,0.13,0.13,0.00
13,3.14,0.00,2.67,1.57,0.42,0.07,0.12,0.11,6.13,0.01,65.26,11.53,6.22,1.60,0.46,0.65,0.02
14,0.00,0.00,0.63,0.08,0.02,0.00,0.00,0.01,7.93,0.00,74.33,10.47,1.14,4.81,0.31,0.26,0.00
15,0.25,0.00,0.77,0.12,0.01,0.00,0.06,0.00,7.41,0.00,88.30,0.77,0.89,0.34,0.14,0.95,0.00
16,0.02,0.00,0.24,0.00,0.00,0.00,0.00,0.00,68.28,0.00,30.42,0.42,0.14,0.07,0.07,0.33,0.00
17,0.02,0.00,0.72,0.13,0.02,0.00,0.00,0.00,61.79,0.00,29.34,6.02,0.04,1.56,0.09,0.25,0.00
18,0.19,0.00,0.40,0.04,0.00,0.00,0.00,0.00,73.05,0.00,24.00,1.82,0.03,0.01,0.02,0.42,0.00
19,0.36,0.00,0.28,0.05,0.00,0.00,0.04,0.00,79.20,0.04,12.17,7.55,0.00,0.26,0.00,0.04,0.00
20,0.09,0.00,0.53,0.09,0.00,0.00,0.00,0.00,72.44,0.02,13.57,12.75,0.11,0.34,0.03,0.03,0.00
21,0.74,0.00,0.24,0.11,0.03,0.00,0.02,0.01,30.30,0.00,24.38,42.60,0.15,1.23,0.14,0.04,0.00
22,0.01,0.00,0.21,0.00,0.00,0.00,0.00,0.00,74.46,0.00,24.34,0.43,0.00,0.00,0.03,0.51,0.00
23,0.58,0.00,0.60,0.09,0.02,0.00,0.02,0.00,7.11,0.00,83.53,5.00,1.01,1.58,0.14,0.33,0.00
24,0.21,0.00,2.81,1.21,0.27,0.03,0.05,0.00,5.39,0.00,22.33,27.17,0.34,39.85,0.11,0.24,0.00
25,0.04,0.00,0.39,0.09,0.00,0.00,0.13,0.01,85.39,0.01,9.77,3.88,0.03,0.11,0.00,0.15,0.00
26,0.33,0.03,0.05,0.01,0.00,0.00,12.18,0.00,57.09,0.00,17.06,13.18,0.00,0.00,0.00,0.07,0.00
27,0.55,0.00,4.05,2.66,0.44,0.07,0.16,0.00,2.07,0.00,74.58,1.04,0.06,13.92,0.36,0.03,0.00
28,0.79,0.00,1.61,0.07,0.01,0.00,0.00,0.00,11.73,0.00,69.07,1.54,0.73,0.07,2.20,12.17,0.00
29,2.56,0.00,8.79,4.58,1.23,0.17,0.01,0.00,0.01,0.00,5.33,12.39,10.30,53.98,0.23,0.41,0.00
30,0.00,0.00,0.33,0.10,0.03,0.00,69.16,0.00,0.07,0.00,26.87,1.12,0.06,2.21,0.02,0.01,0.00
31,0.52,0.00,2.44,1.23,0.25,0.04,0.38,0.00,0.80,0.00,28.56,47.01,5.27,6.35,3.56,3.58,0.00
32,0.41,0.00,3.29,0.29,0.03,0.01,0.00,1.18,3.14,0.09,17.25,9.03,1.50,60.48,2.15,1.16,0.00
33,6.21,0.00,6.13,2.86,1.22,0.19,0.09,0.00,0.01,0.00,4.00,1.35,5.51,64.70,7.37,0.36,0.00
34,0.57,0.00,0.44,0.15,0.03,0.00,0.03,0.16,3.88,0.00,74.81,14.93,1.54,2.96,0.21,0.29,0.00
35,0.41,0.00,1.64,0.20,0.04,0.00,0.83,0.02,0.59,0.00,64.28,14.95,2.08,14.47,0.09,0.39,0.00
36,0.42,0.00,1.78,0.47,0.27,0.07,0.01,0.00,0.02,0.00,42.03,44.92,2.67,7.27,0.04,0.03,0.00
37,0.99,0.00,5.92,2.02,0.67,0.14,0.02,0.00,0.01,0.00,5.04,6.06,15.91,63.10,0.11,0.01,0.00
38,0.61,0.00,1.26,0.22,0.04,0.00,0.02,0.00,0.10,0.00,42.19,46.69,2.41,6.31,0.07,0.07,0.00
39,19.73,0.00,0.10,0.12,0.06,0.04,65.39,0.00,0.00,0.00,13.21,0.12,0.37,0.02,0.02,0.84,0.00
40,0.97,0.00,1.74,2.89,2.02,0.78,0.17,0.03,1.64,0.00,76.74,6.91,3.34,1.25,0.45,1.06,0.00
41,0.03,0.00,2.75,0.55,0.08,0.03,0.00,0.02,1.91,0.00,31.23,49.99,6.70,1.38,0.00,5.33,0.00
42,0.26,0.00,2.48,0.73,0.06,0.00,2.57,0.04,0.42,0.01,81.79,1.47,3.17,2.60,0.46,3.93,0.00
43,22.83,0.00,0.38,0.37,0.03,0.00,1.13,0.01,0.29,0.00,72.07,2.19,0.23,0.00,0.35,0.12,0.00
44,0.07,0.00,0.79,0.06,0.00,0.00,0.30,0.00,0.49,0.00,93.07,4.18,0.59,0.10,0.14,0.21,0.00
45,0.15,0.00,0.47,0.29,0.10,0.05,4.61,0.00,0.04,0.00,80.21,10.69,2.27,0.65,0.09,0.37,0.00
46,0.86,0.00,0.98,0.62,0.27,0.05,0.52,0.07,3.30,0.00,73.85,12.41,5.15,1.65,0.12,0.15,0.00
47,0.01,0.00,0.25,0.12,0.05,0.00,0.17,0.99,54.34,0.04,41.46,2.29,0.15,0.00,0.12,0.01,0.00
48,0.00,0.07,0.01,0.00,0.00,0.00,3.60,2.55,61.75,1.37,22.20,8.44,0.00,0.00,0.02,0.00,0.00
49,9.89,0.00,10.32,20.22,16.06,6.19,0.16,0.27,0.34,0.00,5.06,1.29,16.87,9.64,1.68,2.00,0.00
50,13.18,0.00,0.29,0.24,0.04,0.01,30.87,0.00,0.04,0.00,21.70,0.36,4.52,1.23,0.42,27.09,0.00
51,8.43,0.00,0.25,0.17,0.01,0.00,50.49,0.00,0.00,0.00,39.02,0.42,0.46,0.18,0.16,0.41,0.00
52,0.67,0.00,5.32,2.43,0.72,0.29,0.27,0.55,0.43,0.00,11.85,6.65,23.12,44.03,1.02,2.65,0.00
53,0.88,0.00,0.68,0.53,0.10,0.02,5.93,0.00,0.00,0.00,85.82,1.96,1.43,1.71,0.54,0.40,0.00
54,0.05,0.00,0.11,0.01,0.00,0.00,0.56,0.01,1.24,0.00,86.05,11.53,0.22,0.07,0.13,0.01,0.00
55,0.00,0.00,0.02,0.00,0.00,0.00,0.24,0.33,23.48,0.01,69.45,6.28,0.01,0.00,0.19,0.00,0.00
56,0.17,0.00,0.93,0.18,0.03,0.00,0.47,0.05,0.31,0.00,83.26,10.10,2.45,0.19,1.78,0.06,0.00
57,0.01,0.00,0.39,0.07,0.00,0.00,0.04,23.51,6.05,0.09,57.42,6.00,3.86,0.00,1.20,1.37,0.00
58,0.30,0.00,0.04,0.00,0.00,0.00,1.86,12.88,13.96,1.11,42.45,26.99,0.00,0.00,0.40,0.01,0.00
59,0.00,0.00,0.43,0.13,0.03,0.00,0.12,0.01,4.14,0.00,89.99,3.23,1.47,0.09,0.10,0.26,0.00
60,0.01,0.00,0.11,0.03,0.00,0.00,0.19,0.21,61.89,0.01,33.83,3.67,0.01,0.00,0.03,0.00,0.00
61,0.01,0.00,0.22,0.02,0.00,0.00,0.10,0.00,3.06,0.00,91.17,4.70,0.39,0.02,0.26,0.02,0.00
62,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.07,63.41,0.01,32.85,3.46,0.01,0.00,0.12,0.00,0.00
63,0.00,0.00,0.03,0.00,0.00,0.00,0.07,2.68,39.00,0.53,54.78,2.79,0.00,0.00,0.13,0.00,0.00
64,0.02,0.00,0.36,0.15,0.01,0.00,1.11,0.00,0.01,0.00,96.90,0.80,0.36,0.24,0.01,0.02,0.00
65,0.00,0.00,0.12,0.01,0.00,0.00,0.13,0.00,2.59,0.00,95.23,1.90,0.00,0.00,0.01,0.00,0.00
66,0.00,0.00,0.09,0.01,0.00,0.00,0.01,0.00,55.36,0.00,35.28,9.23,0.00,0.00,0.01,0.00,0.00
67,0.01,0.00,0.22,0.08,0.01,0.00,0.21,0.11,35.75,0.01,60.47,2.96,0.02,0.00,0.06,0.08,0.00
68,0.03,0.00,0.05,0.00,0.00,0.00,1.78,0.54,27.08,0.30,55.81,14.35,0.00,0.00,0.04,0.01,0.00
69,0.03,0.00,1.04,0.33,0.05,0.00,1.83,0.00,0.00,0.00,76.20,11.75,4.15,1.42,3.17,0.03,0.00
70,0.03,0.00,1.35,1.17,1.12,0.42,6.86,0.00,0.04,0.01,85.51,3.30,0.03,0.09,0.05,0.02,0.00
71,0.04,0.00,0.17,0.09,0.01,0.00,1.43,0.00,0.79,0.01,94.92,2.52,0.02,0.00,0.02,0.00,0.00
72,0.00,0.00,0.06,0.07,0.01,0.00,0.14,0.06,47.74,0.27,49.11,2.54,0.00,0.00,0.00,0.00,0.00
73,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.66,78.59,3.11,15.85,1.55,0.00,0.00,0.00,0.00,0.00
74,8.54,0.00,0.81,1.11,0.46,0.09,4.24,0.00,0.01,0.01,80.59,0.19,0.55,0.97,1.64,0.79,0.00
75,1.74,0.00,0.41,0.37,0.05,0.01,71.33,0.02,0.00,0.00,25.52,0.13,0.04,0.09,0.14,0.15,0.00
