uniqid_eco4,NWALT74_12_eco4,NWALT74_21_eco4,NWALT74_22_eco4,NWALT74_23_eco4,NWALT74_24_eco4,NWALT74_25_eco4,NWALT74_26_eco4,NWALT74_27_eco4,NWALT74_31_eco4,NWALT74_32_eco4,NWALT74_33_eco4,NWALT74_41_eco4,NWALT74_43_eco4,NWALT74_44_eco4,NWALT74_45_eco4,NWALT74_46_eco4,NWALT74_50_eco4,NWALT74_60_eco4,NWALT74_9999_eco4
1,0.14,0.50,0.16,0.15,0.05,0.05,0.41,0.32,0.03,0.40,0.04,0.00,11.02,1.89,0.27,4.39,76.29,0.15,0.00
2,0.00,0.25,0.04,0.01,0.01,0.03,0.08,0.17,0.00,0.02,0.00,0.00,77.93,0.98,0.02,1.18,19.26,0.02,0.00
3,0.00,0.34,0.05,0.02,0.01,0.03,0.10,0.16,0.00,0.06,0.01,0.00,35.46,1.55,0.49,3.03,58.61,0.04,0.00
4,0.00,0.12,0.02,0.01,0.01,0.00,0.08,0.17,0.00,0.01,0.00,0.00,34.09,2.07,0.06,3.92,58.31,0.00,0.00
5,0.15,0.90,0.49,0.42,0.11,0.24,0.95,0.92,0.31,0.38,0.18,0.00,41.39,5.46,0.39,3.33,39.73,0.17,0.00
6,0.00,0.30,0.17,0.02,0.07,0.15,0.83,0.23,0.00,0.51,0.00,0.00,45.11,0.70,0.28,31.03,19.27,0.00,0.00
7,0.00,0.15,0.04,0.02,0.01,0.03,0.17,0.28,0.04,0.05,0.05,0.00,20.06,2.28,0.16,8.34,68.08,0.17,0.00
8,0.00,0.41,0.26,0.03,0.01,0.09,0.33,0.30,0.00,0.05,0.00,0.00,89.86,0.80,0.00,1.16,6.69,0.00,0.00
9,0.00,0.39,0.08,0.06,0.01,0.00,0.36,0.29,0.00,0.04,0.00,0.00,78.46,0.33,0.00,5.45,14.53,0.00,0.00
10,0.00,0.23,0.08,0.02,0.01,0.00,0.16,0.20,0.00,0.01,0.01,0.00,68.41,1.65,0.05,11.06,18.11,0.00,0.00
11,0.01,0.06,0.00,0.00,0.05,0.00,0.00,0.02,0.00,0.08,0.00,0.00,0.74,0.23,0.12,1.55,95.88,0.00,0.00
12,0.00,0.53,0.35,0.26,0.08,0.14,0.15,0.18,0.01,0.28,0.01,0.00,6.73,0.09,0.06,64.18,22.28,0.20,0.00
13,0.03,0.60,0.23,0.06,0.02,0.03,0.33,0.70,0.00,0.31,0.01,0.01,1.62,5.88,0.29,13.41,73.13,0.22,0.00
14,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,3.95,0.19,0.19,13.85,81.65,0.00,0.00
15,0.03,0.13,0.01,0.00,0.00,0.00,0.03,0.06,0.00,0.08,0.00,0.00,0.19,0.48,1.43,0.85,95.57,0.89,0.00
16,0.06,0.10,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.03,0.09,0.06,98.63,0.99,0.00
17,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.01,0.00,0.00,0.40,0.04,0.05,3.83,94.04,1.39,0.00
18,0.02,0.12,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.04,0.00,0.00,0.00,0.01,0.21,0.81,93.04,5.52,0.00
19,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.19,0.03,0.13,2.07,89.45,7.70,0.00
