uniqid_eco4,NWALT12_11_eco4,NWALT12_12_eco4,NWALT12_21_eco4,NWALT12_22_eco4,NWALT12_23_eco4,NWALT12_24_eco4,NWALT12_25_eco4,NWALT12_26_eco4,NWALT12_27_eco4,NWALT12_31_eco4,NWALT12_32_eco4,NWALT12_33_eco4,NWALT12_41_eco4,NWALT12_43_eco4,NWALT12_44_eco4,NWALT12_45_eco4,NWALT12_46_eco4,NWALT12_50_eco4,NWALT12_60_eco4,NWALT12_9999_eco4
1,3.76,0.14,0.57,0.19,0.19,0.09,0.15,0.55,0.31,0.03,0.73,0.02,0.00,11.72,2.28,0.20,4.27,73.70,1.11,0.00
2,0.02,0.00,0.30,0.05,0.01,0.01,0.04,0.08,0.18,0.00,0.02,0.00,0.00,79.08,0.16,0.02,1.25,18.73,0.06,0.00
3,0.07,0.00,0.38,0.05,0.02,0.02,0.06,0.11,0.15,0.01,0.09,0.01,0.00,37.49,1.42,0.45,3.00,56.64,0.04,0.00
4,1.13,0.00,0.14,0.02,0.01,0.01,0.00,0.09,0.18,0.00,0.01,0.00,0.00,35.02,1.58,0.07,3.95,57.78,0.00,0.00
5,4.52,0.15,1.03,0.62,0.59,0.16,0.63,1.37,0.78,0.18,0.98,0.16,0.00,44.14,4.09,0.31,3.33,36.79,0.18,0.00
6,1.32,0.00,0.34,0.21,0.04,0.09,0.24,0.96,0.23,0.00,0.42,0.00,0.00,46.91,0.86,0.24,30.67,17.46,0.00,0.00
7,0.07,0.00,0.17,0.05,0.03,0.01,0.09,0.24,0.23,0.03,0.43,0.04,0.00,21.41,2.25,0.14,8.32,66.31,0.17,0.00
8,0.00,0.00,0.47,0.31,0.03,0.02,0.14,0.40,0.32,0.00,0.03,0.00,0.00,90.15,0.08,0.00,1.25,6.80,0.00,0.00
9,0.01,0.00,0.46,0.08,0.06,0.02,0.00,0.37,0.30,0.00,0.04,0.00,0.00,79.67,0.35,0.00,5.34,13.30,0.00,0.00
10,0.02,0.00,0.26,0.09,0.02,0.01,0.10,0.09,0.21,0.00,0.01,0.01,0.00,69.77,0.11,0.04,11.88,17.40,0.00,0.00
11,1.26,0.01,0.07,0.00,0.00,0.06,0.00,0.00,0.02,0.00,0.08,0.00,0.00,0.91,0.23,0.15,1.55,95.69,0.00,0.00
12,4.45,0.00,0.59,0.40,0.31,0.11,0.16,0.23,0.19,0.01,0.28,0.01,0.00,8.39,0.24,0.06,63.62,20.75,0.20,0.00
13,3.14,0.03,0.69,0.25,0.06,0.03,0.05,0.42,0.72,0.00,0.53,0.01,0.02,1.64,6.60,0.27,13.43,71.87,0.22,0.00
14,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,4.88,1.15,0.16,13.61,80.01,0.00,0.00
15,0.25,0.03,0.16,0.01,0.00,0.00,0.00,0.03,0.06,0.00,0.10,0.00,0.00,0.35,0.87,1.28,0.84,95.08,0.94,0.00
16,0.02,0.06,0.12,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.06,0.14,0.08,0.06,97.88,1.58,0.00
17,0.02,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,1.58,0.04,0.05,3.76,92.92,1.39,0.00
18,0.20,0.02,0.14,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.04,0.00,0.00,0.02,0.03,0.21,0.80,92.99,5.52,0.00
19,0.36,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.28,0.00,0.12,2.08,83.79,13.30,0.00
20,0.09,0.00,0.06,0.00,0.00,0.08,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.35,0.10,0.20,2.83,83.56,12.71,0.00
21,0.82,0.00,0.12,0.01,0.00,0.03,0.00,0.01,0.03,0.00,0.00,0.00,0.00,1.23,0.12,0.09,33.42,51.60,12.52,0.00
22,0.01,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.02,99.45,0.38,0.00
23,0.59,0.02,0.14,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.02,0.00,0.00,1.63,1.04,0.67,5.02,90.44,0.37,0.00
24,0.22,0.02,0.59,0.22,0.11,0.05,0.17,0.55,0.30,0.01,0.23,0.04,0.00,41.13,0.42,2.28,27.49,23.92,2.25,0.00
25,0.04,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00,0.11,0.03,0.00,0.23,81.53,17.97,0.00
26,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,30.11,69.28,0.00
27,0.55,0.02,0.72,0.33,0.16,0.22,0.35,1.31,0.69,0.06,3.43,0.10,0.02,14.32,0.10,1.50,1.26,71.91,2.95,0.00
28,0.78,0.88,0.42,0.01,0.00,0.01,0.00,0.05,0.07,0.00,0.31,0.00,0.00,0.07,0.75,9.05,1.24,86.36,0.00,0.00
29,2.63,0.19,1.13,1.88,0.62,0.50,2.60,4.26,0.98,0.07,0.46,0.01,0.01,55.81,10.51,0.97,7.81,9.51,0.07,0.00
30,0.00,0.01,0.14,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,2.28,0.06,0.02,0.66,90.11,6.70,0.00
31,0.94,0.61,0.72,0.19,0.03,0.08,0.04,0.40,0.37,0.00,0.34,0.00,0.00,6.60,5.89,11.56,44.28,27.93,0.02,0.00
32,0.44,0.86,0.22,0.08,0.00,0.02,0.00,0.15,0.45,0.00,0.05,0.00,0.00,62.13,1.56,1.44,9.20,23.40,0.00,0.00
33,6.83,2.95,1.16,1.08,0.35,0.19,0.93,2.07,0.94,0.25,0.23,0.02,0.02,67.44,5.79,0.20,1.05,8.49,0.01,0.00
