uniqid_huc10,RIP_NWALT12_11_huc10,RIP_NWALT12_12_huc10,RIP_NWALT12_21_huc10,RIP_NWALT12_22_huc10,RIP_NWALT12_23_huc10,RIP_NWALT12_24_huc10,RIP_NWALT12_25_huc10,RIP_NWALT12_26_huc10,RIP_NWALT12_27_huc10,RIP_NWALT12_31_huc10,RIP_NWALT12_32_huc10,RIP_NWALT12_33_huc10,RIP_NWALT12_41_huc10,RIP_NWALT12_43_huc10,RIP_NWALT12_44_huc10,RIP_NWALT12_45_huc10,RIP_NWALT12_46_huc10,RIP_NWALT12_50_huc10,RIP_NWALT12_60_huc10
1,0.48,0.00,17.52,18.99,33.02,3.86,23.57,0.03,1.18,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,99.36,0.00
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,92.90,6.92
5,0.01,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,49.65,13.76,0.01,29.97,6.35,0.00
6,0.01,0.00,0.08,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.54,0.00,0.00,0.00,0.03,0.00,2.95,96.35,0.00
7,0.00,0.00,0.10,0.00,0.22,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,22.70,0.00,0.39,64.23,12.26,0.00
8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.98,2.02,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,1.96,98.03,0.00
10,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,2.87,97.05,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,24.50,75.47,0.00
