OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode
801478,California Gulch (US EPA Region 8),0801478-ABW1,11020001,39.24,-106.31,8,65
801478,California Gulch (US EPA Region 8),0801478-ABW2,11020001,39.2535531,-106.3064153,8,65
801478,California Gulch (US EPA Region 8),0801478-ABW3,11020001,39.2234343,-106.280909,8,65
801478,California Gulch (US EPA Region 8),0801478-ABW4,11020001,39.2297311,-106.3074194,8,65
801478,California Gulch (US EPA Region 8),0801478-AG-1,11020001,39.23,-106.31,8,65
801478,California Gulch (US EPA Region 8),0801478-AP1,11020001,39.24,-106.28,8,65
801478,California Gulch (US EPA Region 8),0801478-AR-1,11020001,39.2487948,-106.3484975,8,65
801478,California Gulch (US EPA Region 8),0801478-AR-12,16030001,37.62,-112.4,49,17
801478,California Gulch (US EPA Region 8),0801478-AR-2,11020001,39.2224619,-106.3574142,8,65
801478,California Gulch (US EPA Region 8),0801478-AR-3A,11020001,39.214962,-106.354803,8,65
801478,California Gulch (US EPA Region 8),0801478-AR-4,11020001,39.1956901,-106.3494806,8,65
801478,California Gulch (US EPA Region 8),0801478-AR-5,11020001,39.1659908,-106.3226797,8,65
801478,California Gulch (US EPA Region 8),0801478-BMW1,11020001,39.2454222,-106.3067015,8,65
801478,California Gulch (US EPA Region 8),0801478-BMW2,11020001,39.2369971,-106.2917694,8,65
801478,California Gulch (US EPA Region 8),0801478-BMW3,11020001,39.2528324,-106.2841234,8,65
801478,California Gulch (US EPA Region 8),0801478-CG-1,11020001,39.2357955,-106.2705509,8,65
801478,California Gulch (US EPA Region 8),0801478-CG-1C,11020001,39.2334623,-106.251356,8,65
801478,California Gulch (US EPA Region 8),0801478-CG-1D,11020001,39.2351567,-106.256245,8,65
801478,California Gulch (US EPA Region 8),0801478-CG-1E,10190001,39,-106,8,93
801478,California Gulch (US EPA Region 8),0801478-CG-1H,11020001,39.2310961,-106.2369777,8,65
801478,California Gulch (US EPA Region 8),0801478-CG-2,11020001,39.2393898,-106.2834791,8,65
801478,California Gulch (US EPA Region 8),0801478-CG-3,11020001,39.2416614,-106.2908997,8,65
801478,California Gulch (US EPA Region 8),0801478-CG-4,11020001,39.2396928,-106.2984998,8,65
801478,California Gulch (US EPA Region 8),0801478-CG-4B,11020001,39.2383,-106.314262,8,65
801478,California Gulch (US EPA Region 8),0801478-CG-4C,11020001,39.2368,-106.31608,8,65
801478,California Gulch (US EPA Region 8),0801478-CG-5,11020001,39.2301897,-106.3238801,8,65
801478,California Gulch (US EPA Region 8),0801478-CG-6,11020001,39.2220174,-106.3558586,8,65
801478,California Gulch (US EPA Region 8),0801478-CG-6A,11020001,39.22,-106.34,8,65
801478,California Gulch (US EPA Region 8),0801478-CZ1TMW1,11020001,39.236912,-106.3154698,8,65
801478,California Gulch (US EPA Region 8),0801478-CZ1TMW7A,11020001,39.2335317,-106.3184892,8,65
801478,California Gulch (US EPA Region 8),0801478-CZ1TMW8,11020001,39.2352807,-106.3174998,8,65
801478,California Gulch (US EPA Region 8),0801478-EF-01,10190001,39,-106,8,93
801478,California Gulch (US EPA Region 8),0801478-EF-2,11020001,39.2717892,-106.30698,8,65
801478,California Gulch (US EPA Region 8),0801478-GAPRON,10190001,39,-106,8,93
801478,California Gulch (US EPA Region 8),0801478-GG-1,11020001,39.23,-106.3,8,65
801478,California Gulch (US EPA Region 8),0801478-LF-1,11020001,39.2075899,-106.3614809,8,65
801478,California Gulch (US EPA Region 8),0801478-LWTP,11020001,39.2272897,-106.3350803,8,65
801478,California Gulch (US EPA Region 8),0801478-NG-1,11020001,39.2353511,-106.2571895,8,65
801478,California Gulch (US EPA Region 8),0801478-NW1,11020001,39.2078854,-106.25219,8,65
801478,California Gulch (US EPA Region 8),0801478-OG-1,11020001,39.2402591,-106.2934464,8,65
801478,California Gulch (US EPA Region 8),0801478-OG1TMW3,11020001,39.2391737,-106.2905066,8,65
801478,California Gulch (US EPA Region 8),0801478-OGS,11020001,39.23,-106.28,8,65
801478,California Gulch (US EPA Region 8),0801478-SD-1,11020001,39.2434693,-106.2948518,8,65
801478,California Gulch (US EPA Region 8),0801478-TC-1,11020001,39.2309897,-106.3241801,8,65
801478,California Gulch (US EPA Region 8),0801478-WG-1,11020001,39.2344067,-106.2523282,8,65
801478,California Gulch (US EPA Region 8),0801478-WG-3,10190001,39.0022945,-106.0074703,8,93
801505,French Gulch Superfund  site (US EPA Region 8),0801505-BR-2,14010002,39.4938805,-106.046028,8,117
801505,French Gulch Superfund  site (US EPA Region 8),0801505-BR-3,14010002,39.5411138,-106.040922,8,117
801505,French Gulch Superfund  site (US EPA Region 8),0801505-FG-9,14010002,39.4934805,-106.045419,8,117
801505,French Gulch Superfund  site (US EPA Region 8),0801505-FG1,14010002,39.4828444,-106.01565,8,117
11113300,New Hampshire Department Of Environmental Services,11113300-01-AND,1040002,44.39806,-70.971596,23,17
11113300,New Hampshire Department Of Environmental Services,11113300-01-CNT,1080201,42.683597,-72.471419,25,11
11113300,New Hampshire Department Of Environmental Services,11113300-01-CSB,1060003,43.133575,-70.970637,33,17
11113300,New Hampshire Department Of Environmental Services,11113300-01-SAC,1060002,44.016886,-70.989931,23,17
11113300,New Hampshire Department Of Environmental Services,11113300-01-SGR,1080106,43.398333,-72.393856,33,19
11113300,New Hampshire Department Of Environmental Services,11113300-02-ASH,1080201,42.786069,-72.486456,33,5
11113300,New Hampshire Department Of Environmental Services,11113300-02-CTC,1070003,43.284928,-71.596644,33,13
11113300,New Hampshire Department Of Environmental Services,11113300-02-NSR,1080106,43.414939,-72.185739,33,19
11113300,New Hampshire Department Of Environmental Services,11113300-02-SHG,1070006,42.860642,-71.493033,33,11
11113300,New Hampshire Department Of Environmental Services,11113300-03-OSS,1060002,43.79635,-71.056281,33,3
11113300,New Hampshire Department Of Environmental Services,11113300-04-SSR,1080106,43.304578,-72.154472,33,19
11113300,New Hampshire Department Of Environmental Services,11113300-05-LMP,1060003,43.082056,-70.934961,33,15
11113300,New Hampshire Department Of Environmental Services,11113300-05-OYS,1060003,43.130853,-70.918606,33,17
11113300,New Hampshire Department Of Environmental Services,11113300-05-SGR,1080106,43.373722,-72.336275,33,19
11113300,New Hampshire Department Of Environmental Services,11113300-06-NSH,1070004,42.712792,-71.548578,33,11
11113300,New Hampshire Department Of Environmental Services,11113300-07-CCH,1060003,43.196489,-70.874139,33,17
11113300,New Hampshire Department Of Environmental Services,11113300-07-SGR,1080106,43.362306,-72.224906,33,19
