OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode
801478,California Gulch (US EPA Region 8),0801478-ABW1,11020001.0,39.24,-106.31,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-ABW2,11020001.0,39.253553100000005,-106.3064153,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-ABW3,11020001.0,39.2234343,-106.28090900000001,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-ABW4,11020001.0,39.2297311,-106.30741940000001,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-AG-1,11020001.0,39.23,-106.31,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-AP1,11020001.0,39.24,-106.28,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-AR-1,11020001.0,39.2487948,-106.34849750000001,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-AR-12,16030001.0,37.62,-112.4,49.0,17.0
801478,California Gulch (US EPA Region 8),0801478-AR-2,11020001.0,39.2224619,-106.3574142,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-AR-3A,11020001.0,39.214962,-106.354803,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-AR-4,11020001.0,39.1956901,-106.34948059999999,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-AR-5,11020001.0,39.1659908,-106.32267970000001,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-BMW1,11020001.0,39.2454222,-106.30670149999999,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-BMW2,11020001.0,39.2369971,-106.2917694,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-BMW3,11020001.0,39.252832399999996,-106.28412340000001,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CG-1,11020001.0,39.2357955,-106.2705509,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CG-1C,11020001.0,39.2334623,-106.251356,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CG-1D,11020001.0,39.235156700000005,-106.25624499999999,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CG-1E,10190001.0,39.0,-106.0,8.0,93.0
801478,California Gulch (US EPA Region 8),0801478-CG-1H,11020001.0,39.2310961,-106.2369777,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CG-2,11020001.0,39.2393898,-106.2834791,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CG-3,11020001.0,39.2416614,-106.2908997,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CG-4,11020001.0,39.23969279999999,-106.29849979999999,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CG-4B,11020001.0,39.2383,-106.31426200000001,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CG-4C,11020001.0,39.2368,-106.31608,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CG-5,11020001.0,39.230189700000004,-106.3238801,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CG-6,11020001.0,39.2220174,-106.35585859999999,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CG-6A,11020001.0,39.22,-106.34,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CZ1TMW1,11020001.0,39.236912,-106.31546979999999,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CZ1TMW7A,11020001.0,39.23353170000001,-106.3184892,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-CZ1TMW8,11020001.0,39.235280700000004,-106.3174998,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-EF-01,10190001.0,39.0,-106.0,8.0,93.0
801478,California Gulch (US EPA Region 8),0801478-EF-2,11020001.0,39.27178920000001,-106.30698000000001,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-GAPRON,10190001.0,39.0,-106.0,8.0,93.0
801478,California Gulch (US EPA Region 8),0801478-GG-1,11020001.0,39.23,-106.3,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-LF-1,11020001.0,39.207589899999995,-106.36148090000002,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-LWTP,11020001.0,39.22728970000001,-106.3350803,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-NG-1,11020001.0,39.2353511,-106.2571895,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-NW1,11020001.0,39.2078854,-106.25218999999998,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-OG-1,11020001.0,39.2402591,-106.29344640000002,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-OG1TMW3,11020001.0,39.2391737,-106.29050659999999,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-OGS,11020001.0,39.23,-106.28,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-SD-1,11020001.0,39.243469299999994,-106.29485179999999,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-TC-1,11020001.0,39.2309897,-106.32418009999999,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-WG-1,11020001.0,39.2344067,-106.25232820000001,8.0,65.0
801478,California Gulch (US EPA Region 8),0801478-WG-3,10190001.0,39.0022945,-106.0074703,8.0,93.0
801505,French Gulch Superfund  site (US EPA Region 8),0801505-BR-2,14010002.0,39.493880499999996,-106.046028,8.0,117.0
801505,French Gulch Superfund  site (US EPA Region 8),0801505-BR-3,14010002.0,39.5411138,-106.040922,8.0,117.0
801505,French Gulch Superfund  site (US EPA Region 8),0801505-FG-9,14010002.0,39.4934805,-106.045419,8.0,117.0
