MonitoringLocationIdentifier,LatitudeMeasure,LongitudeMeasure,CountryCode,StateCode,State Code,CountyCode,County Code,FIPS Code
USGS-15011858,55.3880147,-130.3766943,US,2,02,130,130,02130
USGS-15011865,55.4207876,-130.451695,US,2,02,130,130,02130
USGS-15011870,55.4138425,-130.4622504,US,2,02,130,130,02130
USGS-15011875,55.3819015,-130.408083,US,2,02,130,130,02130
USGS-15011880,55.3532874,-130.4505824,US,2,02,130,130,02130
USGS-15011890,55.4280059,-130.5178063,US,2,02,130,130,02130
USGS-15011894,55.4257817,-130.5628063,US,2,02,130,130,02130
USGS-15024800,56.7077219,-132.1319653,US,2,02,275,275,02275
USGS-15056100,59.4658333,-135.3041667,US,2,02,230,230,02230
USGS-15056560,59.412726,-135.998797,US,2,02,100,100,02100
USGS-15056580,59.3741088,-135.9254698,US,2,02,100,100,02100
USGS-15083500,54.9463249,-132.1724762,US,2,02,198,198,02198
USGS-15087545,56.7774277,-132.9203336,US,2,02,195,195,02195
USGS-15087570,56.8721607,-133.6767336,US,2,02,198,198,02198
USGS-15087590,56.6190915,-133.737881,US,2,02,198,198,02198
USGS-15087690,57.0665825,-135.2967628,US,2,02,220,220,02220
USGS-15101500,58.0879969,-134.7487297,US,2,02,110,110,02110
USGS-15106920,57.662435,-135.1867819,US,2,02,220,220,02220
USGS-15106980,57.6779902,-135.2231705,US,2,02,220,220,02220
USGS-15199300,62.4311111,-144.9675,US,2,02,261,261,02261
USGS-15200270,62.5290036,-145.5166263,US,2,02,261,261,02261
USGS-15200280,62.5203918,-145.5330154,US,2,02,261,261,02261
USGS-15201000,62.1464791,-145.4774316,US,2,02,261,261,02261
USGS-15201100,61.9875548,-147.011637,US,2,02,170,170,02170
USGS-15207800,61.4797883,-145.1534817,US,2,02,261,261,02261
USGS-15208000,61.6609036,-145.186003,US,2,02,261,261,02261
USGS-15208100,61.6675706,-145.1760035,US,2,02,261,261,02261
USGS-15208200,61.7584059,-145.15601,US,2,02,261,261,02261
USGS-15209000,61.369564,-142.6826124,US,2,02,261,261,02261
USGS-15209100,61.3445632,-142.6989987,US,2,02,261,261,02261
USGS-15211700,61.510644,-144.0687534,US,2,02,261,261,02261
USGS-15211900,61.4825787,-144.4584803,US,2,02,261,261,02261
USGS-15212000,61.4650786,-144.4579232,US,2,02,261,261,02261
USGS-15238990,59.6999688,-150.704616,US,2,02,122,122,02122
USGS-15274798,61.2052832,-149.7174776,US,2,02,20,020,02020
USGS-15274970,61.1952817,-149.8291449,US,2,02,20,020,02020
USGS-15275000,61.1991705,-149.8374787,US,2,02,20,020,02020
USGS-15275100,61.2047258,-149.8974826,US,2,02,20,020,02020
USGS-15280998,61.5319625,-149.0280428,US,2,02,170,170,02170
USGS-15285000,61.6430728,-149.1983305,US,2,02,170,170,02170
USGS-15285200,61.5686283,-149.3161097,US,2,02,170,170,02170
USGS-15286000,61.5744617,-149.4119428,US,2,02,170,170,02170
USGS-15286500,61.5612083,-149.7787583,US,2,02,170,170,02170
USGS-15286550,61.5765833,-149.728361,US,2,02,170,170,02170
USGS-15287000,61.5336228,-149.82723,US,2,02,170,170,02170
USGS-15291000,63.1034384,-147.5180902,US,2,02,170,170,02170
USGS-15291500,62.6981532,-147.5472168,US,2,02,170,170,02170
USGS-15292000,62.7672899,-149.6933794,US,2,02,170,170,02170
USGS-15292100,62.3986618,-150.1355954,US,2,02,170,170,02170
USGS-15292400,62.5581084,-150.23616,US,2,02,170,170,02170
USGS-15292700,62.3464388,-150.019201,US,2,02,170,170,02170
USGS-15292780,62.1748474,-150.1726719,US,2,02,170,170,02170
USGS-15292800,62.1047619,-150.0597486,US,2,02,170,170,02170
USGS-15294003,61.8183646,-149.6411183,US,2,02,170,170,02170
USGS-15294004,61.8175313,-149.640285,US,2,02,170,170,02170
USGS-15294005,61.7803035,-149.8866786,US,2,02,170,170,02170
USGS-15294007,61.6961353,-149.7741772,US,2,02,170,170,02170
USGS-15294008,61.6939129,-149.7747327,US,2,02,170,170,02170
USGS-15294010,61.7472447,-149.9394563,US,2,02,170,170,02170
USGS-15294012,61.7669659,-150.0655692,US,2,02,170,170,02170
USGS-15294020,62.3480957,-150.6225502,US,2,02,170,170,02170
USGS-15294100,61.7675212,-150.3391832,US,2,02,170,170,02170
USGS-15294345,61.6980747,-150.6527885,US,2,02,170,170,02170
USGS-15294350,61.5441796,-150.5147329,US,2,02,170,170,02170
USGS-15294416,61.2988841,-151.4355473,US,2,02,122,122,02122
USGS-15294418,61.2658289,-151.322778,US,2,02,170,170,02170
USGS-15294430,61.1469402,-151.1214007,US,2,02,122,122,02122
USGS-15294435,61.1794405,-151.5183359,US,2,02,122,122,02122
USGS-15294436,61.1791627,-151.5172248,US,2,02,122,122,02122
USGS-15294438,61.1472179,-151.4794527,US,2,02,122,122,02122
USGS-15294439,61.2002732,-151.430559,US,2,02,122,122,02122
USGS-15294441,61.1483288,-151.4480646,US,2,02,122,122,02122
USGS-15294443,61.1183286,-151.3305696,US,2,02,122,122,02122
