MonitoringLocationIdentifier,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,CountryCode,StateCode,State Code,CountyCode,County Code,FIPS Code
USGS-15056030,19010301,59.0049486,-135.185708,US,2,02,100,100,02100
USGS-15081497,19010103,55.8010287,-133.1103222,US,2,02,198,198,02198
USGS-15085100,19010103,55.3951944,-132.4086268,US,2,02,198,198,02198
USGS-15129500,19010405,59.5863664,-139.4941877,US,2,02,282,282,02282
USGS-15239070,19020301,59.801074,-150.8849079,US,2,02,122,122,02122
USGS-15258000,19020302,60.4921927,-149.8099203,US,2,02,122,122,02122
USGS-15261000,19020302,60.4799795,-149.882711,US,2,02,122,122,02122
USGS-15283700,19020402,61.6843889,-149.0524167,US,2,02,170,170,02170
USGS-15285000,19020401,61.6430728,-149.1983305,US,2,02,170,170,02170
USGS-15291000,19020501,63.1034384,-147.5180902,US,2,02,170,170,02170
USGS-15291700,19020501,62.8233333,-148.6047222,US,2,02,170,170,02170
USGS-15292000,19020501,62.7672899,-149.6933794,US,2,02,170,170,02170
USGS-15292100,19020501,62.3986618,-150.1355954,US,2,02,170,170,02170
USGS-15292400,19020502,62.5581084,-150.23616,US,2,02,170,170,02170
USGS-15292410,19020502,62.504774,-150.23227,US,2,02,170,170,02170
USGS-15292700,19020503,62.3464388,-150.019201,US,2,02,170,170,02170
USGS-15292780,19020505,62.1748474,-150.1726719,US,2,02,170,170,02170
USGS-15292800,19020505,62.1047619,-150.0597486,US,2,02,170,170,02170
USGS-15293200,19020505,61.9238889,-150.0713889,US,2,02,170,170,02170
USGS-15295700,19020701,57.6939781,-153.1639087,US,2,02,150,150,02150
USGS-15297610,19030101,55.1769059,-162.6895109,US,2,02,13,013,02013
USGS-15298040,19030205,60.2036591,-154.7044349,US,2,02,164,164,02164
USGS-15300100,19030205,59.8237617,-154.8844049,US,2,02,164,164,02164
USGS-15300250,19030206,59.7859761,-155.2552406,US,2,02,164,164,02164
USGS-15300270,19030206,59.8415505,-154.3796745,US,2,02,164,164,02164
USGS-15300320,19030206,59.7037951,-153.712188,US,2,02,122,122,02122
USGS-15302200,19030302,59.7926376,-155.5246895,US,2,02,164,164,02164
USGS-15302250,19030302,59.8424682,-155.7185564,US,2,02,164,164,02164
USGS-15303700,19030403,62.8843697,-155.941803,US,2,02,290,290,02290
USGS-15392000,19080401,65.3921157,-145.7149559,US,2,02,290,290,02290
USGS-15515060,19080307,64.0084337,-148.7281673,US,2,02,68,068,02068
USGS-15515080,19080307,64.0112115,-148.727612,US,2,02,68,068,02068
USGS-15518900,19080309,65.4715143,-148.2688894,US,2,02,290,290,02290
USGS-15519100,19080309,65.4648407,-148.6311143,US,2,02,290,290,02290
USGS-15564879,19090101,67.2544444,-150.1772222,US,2,02,290,290,02290
USGS-15565447,19090304,61.9336866,-162.8829356,US,2,02,270,270,02270
USGS-600524155254200,19030205,60.0893104,-155.430544,US,2,02,164,164,02164
USGS-600610154570100,19030205,60.1020981,-154.9524844,US,2,02,164,164,02164
USGS-601049154540600,19030205,60.1795997,-154.9038796,US,2,02,164,164,02164
USGS-601050154544400,19030205,60.1798772,-154.9144353,US,2,02,164,164,02164
USGS-02450250,3160110,34.2853776,-87.3989084,US,1,01,133,133,01133
USGS-02469762,3160201,31.7571018,-88.1250095,US,1,01,23,023,01023
USGS-02470500,3160204,31.0865664,-87.9772203,US,1,01,97,097,01097
USGS-302434087462601,3160205,30.4094444,-87.7738889,US,1,01,3,003,01003
USGS-302438087325801,3140107,30.4105556,-87.5494444,US,1,01,3,003,01003
USGS-303231087525801,3160205,30.5419444,-87.8827778,US,1,01,3,003,01003
USGS-303252087500801,3160205,30.5477778,-87.8355556,US,1,01,3,003,01003
USGS-303432087485501,3160205,30.5755556,-87.8152778,US,1,01,3,003,01003
USGS-310153085225901,3130012,31.0315708,-85.3829885,US,1,01,69,069,01069
USGS-310453085383001,3140201,31.0813889,-85.6416667,US,1,01,61,061,01061
USGS-311048085403201,3140201,31.18,-85.6755556,US,1,01,61,061,01061
USGS-311928085191101,3130004,31.3244444,-85.3197222,US,1,01,67,067,01067
USGS-312118085193001,3140201,31.3552222,-85.3250278,US,1,01,67,067,01067
USGS-321951086113601,3150201,32.3311944,-86.1935278,US,1,01,101,101,01101
USGS-322041086112802,3150201,32.3456389,-86.1904167,US,1,01,101,101,01101
USGS-322054086143801,3150201,32.3484444,-86.2441667,US,1,01,101,101,01101
USGS-322055086103001,3150110,32.3473056,-86.1735556,US,1,01,101,101,01101
USGS-322108086082501,3150110,32.3523617,-86.1402413,US,1,01,101,101,01101
USGS-322115086104501,3150110,32.3544722,-86.1792222,US,1,01,101,101,01101
USGS-322116086140601,3150201,32.3547222,-86.2343889,US,1,01,101,101,01101
USGS-322132086273201,3150201,32.3588889,-86.4589444,US,1,01,101,101,01101
USGS-322148086120601,3150110,32.3635833,-86.2016667,US,1,01,101,101,01101
USGS-322217086103101,3150110,32.3718056,-86.1758611,US,1,01,101,101,01101
USGS-322233086140801,3150201,32.3761111,-86.2355556,US,1,01,101,101,01101
USGS-322237086112101,3150110,32.37725,-86.1891389,US,1,01,101,101,01101
USGS-322239086084501,3150110,32.3775,-86.1465556,US,1,01,101,101,01101
USGS-322240086080801,3150110,32.378,-86.1357778,US,1,01,101,101,01101
USGS-322247086121101,3150110,32.38,-86.2030278,US,1,01,101,101,01101
USGS-322302086144201,3150201,32.3834444,-86.2268056,US,1,01,101,101,01101
USGS-322307086114201,3150110,32.3861389,-86.1943611,US,1,01,101,101,01101
USGS-322311086085001,3150110,32.3865,-86.1473889,US,1,01,101,101,01101
USGS-322315086141501,3150201,32.3873056,-86.2379167,US,1,01,101,101,01101
USGS-322320086130301,3150201,32.3886667,-86.218,US,1,01,101,101,01101
USGS-322326086092401,3150110,32.39075,-86.15675,US,1,01,101,101,01101
USGS-322332086133401,3150201,32.3924167,-86.2261111,US,1,01,101,101,01101
USGS-322343086143901,3150201,32.39475,-86.2443056,US,1,01,101,101,01101
USGS-322349086113201,3150201,32.3971667,-86.1923333,US,1,01,101,101,01101
USGS-322350086121501,3150201,32.3971389,-86.2039444,US,1,01,101,101,01101
USGS-343940087290601,6030005,34.6610556,-87.4848611,US,1,01,33,033,01033
USGS-344124086531401,6030002,34.6901464,-86.8871154,US,1,01,83,083,01083
USGS-344131087335201,6030005,34.6919167,-87.5645,US,1,01,33,033,01033
USGS-344348086493401,6030002,34.7300556,-86.8261111,US,1,01,83,083,01083
USGS-344615086272201,6030002,34.77075,-86.4560833,US,1,01,89,089,01089
USGS-345112086313401,6030002,34.8534444,-86.5261667,US,1,01,89,089,01089
USGS-345822086254001,6030002,34.9727222,-86.4279167,US,1,01,89,089,01089
AR008-334004091402201,8040205,33.6678856,-91.6729055,US,5,05,43,043,05043
USGS-07047942,8020205,35.1447222,-90.8780556,US,5,05,123,123,05123
USGS-07048000,11010001,35.9829056,-94.1726222,US,5,05,143,143,05143
USGS-07048550,11010001,36.0538889,-94.0830556,US,5,05,143,143,05143
USGS-07048600,11010001,36.0730556,-94.0811111,US,5,05,143,143,05143
USGS-07048800,11010001,36.1041667,-94.0075,US,5,05,143,143,05143
USGS-07048910,11010001,36.1714655,-94.0204775,US,5,05,143,143,05143
USGS-07049000,11010001,36.2,-93.855,US,5,05,87,087,05087
USGS-07049160,11010001,36.2231944,-94.0104444,US,5,05,7,007,05007
USGS-07049187,11010001,36.2502778,-94.0263333,US,5,05,7,007,05007
USGS-07049200,11010001,36.2592424,-94.0690902,US,5,05,7,007,05007
USGS-07049500,11010001,36.3322963,-94.0190894,US,5,05,7,007,05007
USGS-07049690,11010001,36.4209051,-93.8474187,US,5,05,15,015,05015
USGS-07049691,11010001,36.4208333,-93.8472222,US,5,05,15,015,05015
USGS-07053250,11010001,36.4544444,-93.3561111,US,5,05,15,015,05015
USGS-07054500,11010003,36.3656229,-92.5748858,US,5,05,89,089,05089
USGS-07054501,11010003,36.365,-92.575,US,5,05,5,005,05005
USGS-07055646,11010005,35.9388889,-93.405,US,5,05,101,101,05101
USGS-07059500,11010006,36.2492345,-92.2379331,US,5,05,5,005,05005
USGS-07059998,11010006,36.2483333,-92.24,US,5,05,5,005,05005
USGS-07060000,11010006,36.2492345,-92.2384887,US,5,05,5,005,05005
USGS-07060001,11010006,36.2458333,-92.2438889,US,5,05,5,005,05005
USGS-07060500,11010004,36.1166667,-92.1430556,US,5,05,65,065,05065
USGS-07060710,11010004,35.9916667,-92.2138889,US,5,05,137,137,05137
USGS-07075025,11010014,35.6209106,-92.1879305,US,5,05,23,023,05023
USGS-07075215,11010014,35.6067439,-92.1290402,US,5,05,23,023,05023
USGS-07075250,11010014,35.54705,-92.7076667,US,5,05,141,141,05141
USGS-07075255,11010014,35.5768611,-92.6784222,US,5,05,141,141,05141
USGS-07075270,11010014,35.5697222,-92.6219444,US,5,05,141,141,05141
USGS-07075627,11010014,35.5960278,-92.1680278,US,5,05,23,023,05023
USGS-07075900,11010014,35.5209118,-91.9951482,US,5,05,23,023,05023
USGS-07076000,11010014,35.5172222,-91.9972222,US,5,05,23,023,05023
USGS-07077000,8020301,34.7944444,-91.4447222,US,5,05,117,117,05117
USGS-07077500,8020302,35.2697222,-91.2363889,US,5,05,147,147,05147
USGS-07077700,8020302,35.2519444,-91.1119444,US,5,05,147,147,05147
USGS-07194800,11110103,36.1030556,-94.3444444,US,5,05,143,143,05143
USGS-07194880,11110103,36.2814662,-94.2279838,US,5,05,7,007,05007
USGS-07194906,11110103,36.1956667,-94.1358889,US,5,05,143,143,05143
USGS-07194933,11110103,36.2437778,-94.2391389,US,5,05,7,007,05007
USGS-07195000,11110103,36.2219444,-94.2883333,US,5,05,7,007,05007
USGS-07195430,11110103,36.1086111,-94.5333333,US,5,05,7,007,05007
USGS-07195855,11110103,36.2161111,-94.6052778,US,40,40,41,041,40041
USGS-07196900,11110103,35.88,-94.4863889,US,5,05,143,143,05143
USGS-07247000,11110105,34.9188889,-94.2994444,US,5,05,127,127,05127
USGS-07249400,11110105,35.1625,-94.4069444,US,5,05,131,131,05131
USGS-07249985,11110104,35.5172222,-94.4641667,US,40,40,135,135,40135
USGS-07250550,11110201,35.3488889,-94.2983333,US,5,05,131,131,05131
USGS-07257693,11110202,35.3930556,-93.2205556,US,5,05,115,115,05115
USGS-0725769302,11110202,35.3888611,-93.1991667,US,5,05,115,115,05115
USGS-07257694,11110202,35.3873056,-93.1951667,US,5,05,115,115,05115
USGS-0725769402,11110202,35.3858333,-93.1858333,US,5,05,115,115,05115
USGS-07257695,11110202,35.3804722,-93.1976667,US,5,05,115,115,05115
USGS-07257696,11110202,35.3745,-93.1890833,US,5,05,115,115,05115
USGS-07257698,11110202,35.3714722,-93.1882778,US,5,05,115,115,05115
USGS-07257699,11110202,35.3683056,-93.1891944,US,5,05,115,115,05115
USGS-07257990,11110202,35.2607111,-93.1800083,US,5,05,115,115,05115
USGS-07258010,11110203,35.2470278,-93.11275,US,5,05,115,115,05115
USGS-07258020,11110203,35.2220556,-93.1464722,US,5,05,115,115,05115
USGS-07261090,11110205,35.2708333,-92.6302778,US,5,05,29,029,05029
USGS-07261100,11110205,35.2574444,-92.5982222,US,5,05,29,029,05029
USGS-07261110,11110205,35.2300278,-92.5984167,US,5,05,29,029,05029
USGS-07263295,11110207,34.8761111,-92.7744444,US,5,05,105,105,05105
USGS-07263296,11110207,34.8788889,-92.6855556,US,5,05,119,119,05119
USGS-072632962,11110207,34.8811111,-92.6811111,US,5,05,119,119,05119
USGS-072632966,11110207,34.8752778,-92.6538889,US,5,05,119,119,05119
USGS-072632968,11110207,34.8738889,-92.6338889,US,5,05,119,119,05119
USGS-07263297,11110207,34.8753673,-92.6482187,US,5,05,119,119,05119
USGS-072632971,11110207,34.8897222,-92.6466667,US,5,05,119,119,05119
USGS-072632972,11110207,34.8909226,-92.6082175,US,5,05,119,119,05119
USGS-072632982,11110207,34.93,-92.5930556,US,5,05,119,119,05119
USGS-07263299,11110207,34.8761111,-92.5763889,US,5,05,119,119,05119
USGS-072632992,11110207,34.8653675,-92.5398821,US,5,05,119,119,05119
USGS-072632995,11110207,34.8609232,-92.5021032,US,5,05,119,119,05119
USGS-07263620,11110207,34.6811111,-92.1513889,US,5,05,119,119,05119
USGS-07263922,8020402,34.8973114,-92.162092,US,5,05,119,119,05119
USGS-07263923,8020402,34.8939781,-92.1634809,US,5,05,119,119,05119
USGS-07263924,8020402,34.8939781,-92.1657032,US,5,05,119,119,05119
