MonitoringLocationIdentifier,Result,FIPS Code
11NPSWRD_WQX-BAND_NPS_LF3,9.346938776,35043
11NPSWRD_WQX-BISC_CSA_BPDC1,22.5,12086
11NPSWRD_WQX-BISC_CSA_BPDC2,22.37,12086
11NPSWRD_WQX-BISC_CSA_BPDC3,22.29,12086
11NPSWRD_WQX-BISC_CSA_BPDC4,22.37,12086
11NPSWRD_WQX-BISC_CSA_BPDC5,22.11,12086
11NPSWRD_WQX-BISC_CSA_BPDC6,21.3,12086
11NPSWRD_WQX-BISC_CSA_BPDC7,21.43,12086
11NPSWRD_WQX-BISC_CSA_HBP1,22.68,12086
11NPSWRD_WQX-BISC_CSA_HBP2,22.56,12086
11NPSWRD_WQX-BISC_CSA_HBP3,22.58,12086
11NPSWRD_WQX-BISC_CSA_HBP4,21.82,12086
11NPSWRD_WQX-BISC_CSA_HBP5,21.4875,12086
11NPSWRD_WQX-BISC_CSA_HBP6,21.14444444,12086
11NPSWRD_WQX-BISC_CSA_M1,21.54,12086
11NPSWRD_WQX-BISC_CSA_M2,21.81,12086
11NPSWRD_WQX-BISC_CSA_PPB,24,12086
11NPSWRD_WQX-BISC_CSA_PPD,26,12086
11NPSWRD_WQX-BISC_CSA_PPE,26,12086
11NPSWRD_WQX-BISC_FDNR_1,20.8,12087
11NPSWRD_WQX-BISC_FDNR_2,21.6,12087
11NPSWRD_WQX-BISC_FDNR_3,20.8,12087
11NPSWRD_WQX-BISO_NPS_BN-1,5.6,47151
11NPSWRD_WQX-BISO_NPS_BN-3,5.8,47049
11NPSWRD_WQX-BISO_NPS_BR-1,9.75,21147
11NPSWRD_WQX-BISO_NPS_CL-1,12.35,47151
11NPSWRD_WQX-BISO_NPS_CL-2,12.95,47151
11NPSWRD_WQX-BISO_NPS_CL-3,8.1,47049
11NPSWRD_WQX-BISO_NPS_CL-4,9.25,47129
11NPSWRD_WQX-BISO_NPS_GR-1,9.85,47151
11NPSWRD_WQX-BISO_NPS_GR-3,9,47151
11NPSWRD_WQX-BISO_NPS_LN-3,4.95,47049
11NPSWRD_WQX-BISO_NPS_LS-1,12.5,47151
11NPSWRD_WQX-BISO_NPS_LS-3,3.7,47049
11NPSWRD_WQX-BISO_NPS_NR-1,12.95,47151
11NPSWRD_WQX-BISO_NPS_NR-3,12.75,47151
11NPSWRD_WQX-BISO_NPS_NW-1,4.2,47151
11NPSWRD_WQX-BISO_NPS_NW-3,9.15,47049
11NPSWRD_WQX-BISO_NPS_PI-1,11,47151
11NPSWRD_WQX-BISO_NPS_PI-3,10.35,47151
11NPSWRD_WQX-BISO_NPS_PU-1,9.1,47151
11NPSWRD_WQX-BISO_NPS_PU-3,10.1,47151
11NPSWRD_WQX-BISO_NPS_RO-1,9.4,21147
11NPSWRD_WQX-BISO_NPS_RO-3,3.7,47137
11NPSWRD_WQX-BISO_NPS_RP-1,9.6,21147
11NPSWRD_WQX-BISO_NPS_RP-3,9,21147
11NPSWRD_WQX-BISO_NPS_SC-1,13.5,47151
11NPSWRD_WQX-BISO_NPS_SC-3,6.9,47151
11NPSWRD_WQX-BISO_NPS_WL-1,9.7,47151
11NPSWRD_WQX-BISO_NPS_WL-3,7.4,47151
11NPSWRD_WQX-BISO_NPS_WO-2,8.45,47151
11NPSWRD_WQX-BISO_NPS_WO-3,8.05,47129
11NPSWRD_WQX-BLCA_09128000,8.222222222,08085
11NPSWRD_WQX-BUIS_NPS_6,26.5,78010
11NPSWRD_WQX-BUIS_NPS_7,25.95,78010
11NPSWRD_WQX-CANY_ERI_IC6,10,49037
11NPSWRD_WQX-CRLA_GSTHO_CAS,3.5,41035
11NPSWRD_WQX-CRLA_LWQM_ST13,8.265225225,41035
11NPSWRD_WQX-CRLA_LWQM_ST23,8.717692308,41035
11NPSWRD_WQX-CURE_BML01,15.66666667,08051
11NPSWRD_WQX-CURE_BML02,16.5,08051
11NPSWRD_WQX-CURE_BML04,15.5,08051
11NPSWRD_WQX-CURE_BML06,15,08051
11NPSWRD_WQX-CURE_BML08,17.14285714,08051
11NPSWRD_WQX-CURE_BML09,16.66666667,08051
11NPSWRD_WQX-CURE_BML10,15,08051
11NPSWRD_WQX-CURE_BML11,15.25,08051
11NPSWRD_WQX-CURE_BML13,17.4,08051
11NPSWRD_WQX-CURE_BML14,16.4,08051
11NPSWRD_WQX-CURE_BML15,16.2,08051
11NPSWRD_WQX-CURE_BML19,16.85714286,08051
11NPSWRD_WQX-CURE_BML21,17.71428571,08051
11NPSWRD_WQX-CURE_BML22,16.66666667,08051
11NPSWRD_WQX-CURE_BML24,16.16666667,08051
11NPSWRD_WQX-CURE_BML27,18,08051
11NPSWRD_WQX-CURE_BML31,18.28571429,08051
11NPSWRD_WQX-CURE_BML34,9,08051
11NPSWRD_WQX-CURE_BML35,19.6,08051
11NPSWRD_WQX-CURE_BML36,6,08051
11NPSWRD_WQX-CURE_BML37,19.8,08051
11NPSWRD_WQX-CURE_BML43,17,08051
11NPSWRD_WQX-CURE_BML44,19.75,08051
11NPSWRD_WQX-CURE_BML47,18.5,08051
11NPSWRD_WQX-CURE_BML48,15.5,08051
11NPSWRD_WQX-CURE_BWQI_CEB1,13.1875,08051
11NPSWRD_WQX-CURE_BWQI_CIM1,15.16666667,08085
11NPSWRD_WQX-CURE_BWQI_CIM2,11.33333333,08085
11NPSWRD_WQX-CURE_BWQI_CL01,15.625,08085
11NPSWRD_WQX-CURE_BWQI_CL02,15.5,08085
11NPSWRD_WQX-CURE_BWQI_CL03,14.5,08085
11NPSWRD_WQX-CURE_BWQI_COR1,5.95,08051
11NPSWRD_WQX-CURE_BWQI_CUR1,11.16666667,08051
11NPSWRD_WQX-CURE_BWQI_DG1,8.0625,08051
11NPSWRD_WQX-CURE_BWQI_EEC1,8.214285714,08051
11NPSWRD_WQX-CURE_BWQI_GR02,9.5,08085
11NPSWRD_WQX-CURE_BWQI_GR03,8.272727273,08051
11NPSWRD_WQX-CURE_BWQI_GR04,10.94230769,08051
11NPSWRD_WQX-CURE_BWQI_GR05,11.13461538,08051
11NPSWRD_WQX-CURE_BWQI_MC1,6,08085
11NPSWRD_WQX-CURE_BWQI_MPL1,12.83333333,08085
