FIPS Code,1982 Mean Temp (Celsius),2012 Mean Temp (Celsius),% Change
01003,21.5,24.2,12.6%
01005,22.1,25.9,17.5%
01007,18.3,20.4,11.2%
01009,18.7,22.2,18.6%
01015,16.0,21.1,32.1%
01019,16.6,18.2,9.6%
01025,20.3,23.3,14.9%
01029,15.8,22.2,40.9%
01035,18.8,24.6,30.3%
01037,22.8,20.6,-9.6%
01039,22.3,21.6,-3.3%
01041,20.6,24.0,16.6%
01043,15.7,21.3,36.1%
01045,22.6,19.8,-12.7%
01047,20.7,20.8,0.2%
01051,24.0,21.1,-12.0%
01053,21.6,20.3,-5.9%
01055,15.6,19.6,25.6%
01057,18.8,22.5,19.3%
01061,19.9,24.8,24.5%
01063,21.0,22.2,5.8%
01065,18.4,23.7,28.3%
01071,16.9,16.6,-1.9%
01073,15.3,20.5,34.0%
01075,17.7,23.8,34.9%
01077,17.7,13.6,-23.1%
01079,16.7,17.0,1.9%
01081,26.0,22.1,-14.9%
01083,16.5,22.0,33.6%
01087,21.0,25.0,19.3%
01089,16.7,20.1,20.4%
01091,24.3,19.5,-20.0%
01093,19.4,19.9,2.4%
01095,16.5,22.4,36.0%
01097,21.9,25.7,17.3%
01101,20.8,21.7,4.3%
01103,18.7,17.9,-4.1%
01107,20.2,29.5,46.1%
01111,17.8,20.6,15.7%
01113,19.2,20.5,6.7%
01115,16.9,19.4,14.8%
01117,23.6,20.2,-14.5%
01119,20.5,25.1,22.6%
01121,17.0,22.2,30.5%
01123,19.0,21.7,14.2%
01125,18.2,22.6,24.1%
01127,18.8,17.1,-9.1%
01133,16.0,15.3,-4.5%
02020,3.2,8.8,179.6%
02050,11.0,5.9,-46.2%
02090,8.1,10.5,29.9%
02100,5.9,7.1,19.9%
02110,4.4,9.2,109.8%
02122,10.2,8.9,-12.5%
02164,9.6,9.2,-4.6%
02170,5.9,12.4,111.9%
02185,1.7,22.6,1250.3%
02220,6.2,6.6,6.7%
04001,15.7,14.8,-5.9%
04003,22.0,17.3,-21.3%
04005,14.8,13.4,-9.4%
04007,17.2,15.6,-9.1%
04009,20.0,14.5,-27.5%
04011,19.9,15.3,-23.3%
04012,19.6,22.7,15.4%
04013,24.1,23.2,-3.6%
04015,23.2,22.1,-4.7%
04019,24.2,27.3,12.8%
04021,28.2,16.2,-42.5%
04023,19.3,19.2,-0.1%
04025,16.8,16.0,-4.5%
04027,23.2,21.9,-5.6%
05001,17.9,21.4,19.5%
05003,20.4,23.4,15.0%
05005,13.8,17.4,25.7%
05007,21.0,18.9,-9.8%
05015,11.3,19.0,68.2%
05017,19.1,26.0,35.9%
05019,18.3,18.1,-1.5%
05021,17.4,19.0,9.4%
05023,14.0,15.1,7.8%
05027,17.5,18.6,6.5%
05029,19.3,18.7,-2.9%
05031,17.5,19.0,8.3%
05035,18.0,18.9,5.0%
05037,16.4,16.9,3.0%
05039,19.1,18.5,-2.9%
05041,18.1,24.9,38.0%
05045,20.0,20.0,-0.2%
05047,19.9,21.0,5.6%
05049,15.9,21.7,36.4%
05051,14.4,18.8,30.4%
05055,18.5,21.3,14.9%
05057,31.0,20.2,-35.0%
05059,16.4,19.7,20.4%
05061,17.4,17.2,-0.9%
05063,16.3,19.3,18.0%
05065,12.3,12.4,1.6%
05067,17.8,19.1,7.4%
05069,20.1,21.5,7.0%
05073,18.8,20.1,6.5%
05075,16.1,20.4,26.6%
05077,19.4,22.3,15.0%
05079,18.5,19.8,7.0%
05081,17.3,20.7,19.5%
05083,23.7,18.4,-22.3%
05085,17.3,20.6,18.9%
05089,14.4,17.4,20.7%
05091,18.9,21.1,11.9%
05095,17.5,19.9,14.0%
05097,17.8,17.7,-0.7%
