MonitoringLocationIdentifier,Result
11NPSWRD_WQX-BISC_CSA_PPB,1.35
11NPSWRD_WQX-BISC_CSA_PPD,1.2000000000000002
11NPSWRD_WQX-BISC_CSA_PPE,1.3
11NPSWRD_WQX-BISO_NPS_BN-1,1.4
11NPSWRD_WQX-BISO_NPS_BN-3,1.75
11NPSWRD_WQX-BISO_NPS_BR-1,2.4
11NPSWRD_WQX-BISO_NPS_CL-1,5.65
11NPSWRD_WQX-BISO_NPS_CL-2,8.6
11NPSWRD_WQX-BISO_NPS_CL-3,2.7
11NPSWRD_WQX-BISO_NPS_CL-4,2.25
11NPSWRD_WQX-BISO_NPS_GR-1,1.5
11NPSWRD_WQX-BISO_NPS_GR-3,7.25
11NPSWRD_WQX-BISO_NPS_LN-3,5.8
11NPSWRD_WQX-BISO_NPS_LS-1,4.0
11NPSWRD_WQX-BISO_NPS_LS-3,2.25
11NPSWRD_WQX-BISO_NPS_NR-1,45.6
11NPSWRD_WQX-BISO_NPS_NR-3,43.4
11NPSWRD_WQX-BISO_NPS_NW-1,1.7
11NPSWRD_WQX-BISO_NPS_NW-3,2.75
11NPSWRD_WQX-BISO_NPS_PI-1,5.4
11NPSWRD_WQX-BISO_NPS_PI-3,6.55
11NPSWRD_WQX-BISO_NPS_PU-1,3.0
11NPSWRD_WQX-BISO_NPS_PU-3,2.5
11NPSWRD_WQX-BISO_NPS_RO-1,9.3
11NPSWRD_WQX-BISO_NPS_RO-3,1.3
11NPSWRD_WQX-BISO_NPS_RP-1,13.75
11NPSWRD_WQX-BISO_NPS_RP-3,6.5
11NPSWRD_WQX-BISO_NPS_SC-1,3.8
11NPSWRD_WQX-BISO_NPS_SC-3,3.05
11NPSWRD_WQX-BISO_NPS_WL-1,2.2
11NPSWRD_WQX-BISO_NPS_WL-3,4.25
11NPSWRD_WQX-BISO_NPS_WO-2,6.8
11NPSWRD_WQX-BISO_NPS_WO-3,5.2
11NPSWRD_WQX-BUIS_NPS_6,0.53
11NPSWRD_WQX-BUIS_NPS_7,0.61
11NPSWRD_WQX-CANY_ERI_IC6,125.0
11NPSWRD_WQX-EFMO_UI_YR6,345.06666666666666
11NPSWRD_WQX-EFMO_UI_YR7,146.45714285714286
11NPSWRD_WQX-GWCA_MSSC_CB3,12.4
11NPSWRD_WQX-GWCA_MSSC_CS,18.1
11NPSWRD_WQX-GWCA_MSSC_HB3,15.2
11NPSWRD_WQX-GWCA_MSSC_WB,14.8
11NPSWRD_WQX-GWCA_MSSC_WSP,13.8
11NPSWRD_WQX-KICA_HW_001,18.455
11NPSWRD_WQX-KICA_HW_002,0.9333333333333332
11NPSWRD_WQX-KICA_HW_120,1.4
11NPSWRD_WQX-MANA_NPS_04,13.100000000000001
11NPSWRD_WQX-MANA_NPS_05,8.066666666666668
11NPSWRD_WQX-MANA_NPS_06,7.699999999999999
11NPSWRD_WQX-MANA_NPS_07,10.766666666666666
11NPSWRD_WQX-MANA_NPS_09,13.766666666666666
11NPSWRD_WQX-MANA_NPS_10,13.733333333333334
11NPSWRD_WQX-MANA_NPS_11,13.333333333333334
11NPSWRD_WQX-OBED_NPS_CC-1,1.5
11NPSWRD_WQX-OBED_NPS_CC-2,1.6500000000000001
11NPSWRD_WQX-OBED_NPS_CC-3,1.6
11NPSWRD_WQX-OBED_NPS_DC-2,2.1500000000000004
11NPSWRD_WQX-OBED_NPS_ER-1,2.4
11NPSWRD_WQX-OBED_NPS_ER-2,3.2
11NPSWRD_WQX-OBED_NPS_OC-1,4.4
11NPSWRD_WQX-OBED_NPS_OR-1,2.5
11NPSWRD_WQX-OBED_NPS_OR-3,2.65
11NPSWRD_WQX-OBED_NPS_RC-1,1.6
11NPSWRD_WQX-OBED_NPS_WH-1,1.75
11NPSWRD_WQX-SEQU_HW_003,7.607500000000001
11NPSWRD_WQX-SEQU_HW_004,1.3250000000000002
11NPSWRD_WQX-SEQU_HW_005,0.35333333333333333
11NPSWRD_WQX-SEQU_HW_006,0.4066666666666667
11NPSWRD_WQX-SEQU_HW_007,0.418
11NPSWRD_WQX-SEQU_HW_008,0.716
11NPSWRD_WQX-SEQU_HW_009,1.1466666666666667
11NPSWRD_WQX-SEQU_HW_010,2.1900000000000004
11NPSWRD_WQX-SEQU_HW_011,15.88
11NPSWRD_WQX-SEQU_HW_012,1.2349999999999999
11NPSWRD_WQX-SEQU_HW_013,0.5114285714285715
11NPSWRD_WQX-SEQU_HW_014,0.9925000000000002
11NPSWRD_WQX-SEQU_HW_015,0.76
11NPSWRD_WQX-SEQU_HW_016,0.2733333333333334
11NPSWRD_WQX-SEQU_HW_017,0.53
11NPSWRD_WQX-SEQU_HW_018,0.21
11NPSWRD_WQX-SEQU_HW_019,0.37333333333333335
11NPSWRD_WQX-SEQU_HW_020,1.3249999999999997
11NPSWRD_WQX-SEQU_HW_119,48.666666666666664
11NPSWRD_WQX-SEQU_HW_144,0.49
11NPSWRD_WQX-WHIS_CDWR_01,1.1095238095238091
11NPSWRD_WQX-YELL_LS_1000_61,0.595
11NPSWRD_WQX-YELL_LS_1000_71,0.40249999999999997
11NPSWRD_WQX-YELL_LS_1000_82,0.4375
11NPSWRD_WQX-YELL_LS_1000_86,0.7275
11NPSWRD_WQX-YELL_LS_3004_53,0.49
11NPSWRD_WQX-YELL_LS_3004_54,0.2833333333333334
11NPSWRD_WQX-YELL_LS_3023_54,0.35
21AWIC-385,12.860000000000003
