MonitoringLocationIdentifier,LatitudeMeasure,LongitudeMeasure,CountryCode,StateCode,State Code,CountyCode,County Code,FIPS Code
USGS-15024800,56.7077219,-132.1319653,US,2,02,275,275,02275
USGS-15056100,59.4658333,-135.3041667,US,2,02,230,230,02230
USGS-15056500,59.4149472,-135.9310198,US,2,02,100,100,02100
USGS-15056560,59.412726,-135.998797,US,2,02,100,100,02100
USGS-15056580,59.3741088,-135.9254698,US,2,02,100,100,02100
USGS-15101500,58.0879969,-134.7487297,US,2,02,110,110,02110
USGS-15106920,57.662435,-135.1867819,US,2,02,220,220,02220
USGS-15106980,57.6779902,-135.2231705,US,2,02,220,220,02220
USGS-15212000,61.4650786,-144.4579232,US,2,02,261,261,02261
USGS-15292000,62.7672899,-149.6933794,US,2,02,170,170,02170
USGS-15292700,62.3464388,-150.019201,US,2,02,170,170,02170
USGS-15292780,62.1748474,-150.1726719,US,2,02,170,170,02170
USGS-15294350,61.5441796,-150.5147329,US,2,02,170,170,02170
USGS-15297610,55.1769059,-162.6895109,US,2,02,13,013,02013
USGS-15302500,59.3484391,-157.4752426,US,2,02,70,070,02070
USGS-15304000,61.8687445,-158.1137848,US,2,02,50,050,02050
USGS-15515500,64.5649444,-149.094,US,2,02,290,290,02290
USGS-15565447,61.9336866,-162.8829356,US,2,02,270,270,02270
USGS-15896000,70.2813854,-148.962786,US,2,02,185,185,02185
USGS-592147135562700,59.3627188,-135.9426922,US,2,02,100,100,02100
USGS-592341135535501,59.3943885,-135.9004677,US,2,02,100,100,02100
USGS-592341135535502,59.3943885,-135.9004677,US,2,02,100,100,02100
USGS-592546136074700,59.4291186,-136.1315747,US,2,02,100,100,02100
USGS-623948149543400,62.6628392,-149.911714,US,2,02,170,170,02170
USGS-624129149505800,62.6908965,-149.8517137,US,2,02,170,170,02170
USGS-624655149403500,62.7814572,-149.6786574,US,2,02,170,170,02170
USGS-624723149370000,62.7892358,-149.6189337,US,2,02,170,170,02170
USGS-624844149344300,62.8117368,-149.5808783,US,2,02,170,170,02170
USGS-02420000,32.411526,-86.4083058,US,1,01,101,101,01101
USGS-02429500,31.5468275,-87.5124908,US,1,01,99,099,01099
USGS-02442500,33.5751142,-88.0833605,US,1,01,75,075,01075
USGS-02444000,33.2976214,-88.2655895,US,1,01,107,107,01107
USGS-02444161,33.210401,-88.2886454,US,1,01,107,107,01107
USGS-02445000,33.2501205,-88.083359,US,1,01,107,107,01107
USGS-02446500,33.2570625,-87.7764022,US,1,01,125,125,01125
USGS-02448500,32.9326287,-88.2978103,US,1,01,119,119,01119
