FIPS Code,1982 Mean Turbidity,2012 Mean Turbidity,% Change
01003,17.6,9.4,-46.5%
01019,24.3,6.4,-73.7%
01023,22.6,19.0,-15.9%
01065,12.8,17.7,38.8%
01075,8.7,63.3,630.6%
01097,17.3,10.4,-40.0%
01101,12.0,2.1,-82.6%
01107,12.1,19.2,58.3%
01119,54.3,26.7,-50.9%
01125,9.7,10.0,2.6%
01133,2.9,3.5,19.6%
02100,8.7,0.2,-97.6%
02110,1.1,29.5,2644.9%
02170,31.2,86.6,178.1%
02270,109.3,87.5,-20.0%
02290,112.2,3.6,-96.8%
04005,3851.2,5820.1,51.1%
04007,5.6,37.1,563.4%
04009,74.9,227.2,203.3%
04012,6.1,19.1,214.8%
04013,8.6,135.9,1477.7%
04019,853.4,16.1,-98.1%
04021,2003.3,7.9,-99.6%
04025,1427.9,52.0,-96.4%
04027,8.7,10.4,20.0%
05001,49.2,21.1,-57.1%
05003,20.5,13.9,-32.1%
05005,5.1,3.2,-36.0%
05007,6.6,3.9,-41.6%
05015,2.8,2.5,-10.6%
05019,46.7,7.3,-84.4%
05021,44.3,24.9,-43.9%
05023,10.4,4.4,-57.9%
05027,12.2,1.9,-84.3%
05029,35.1,14.8,-57.8%
05031,114.5,33.2,-71.0%
05035,511.0,203.0,-60.3%
05037,102.1,91.2,-10.7%
05039,10.0,8.5,-15.7%
05041,95.6,28.3,-70.4%
05045,33.8,10.0,-70.4%
05047,25.7,16.4,-36.4%
05049,7.3,1.5,-78.9%
05051,7.2,12.3,70.9%
05059,12.5,8.1,-35.4%
05063,13.2,20.7,56.9%
05067,42.7,56.2,31.5%
05069,40.2,18.7,-53.5%
05073,12.8,21.4,67.6%
05075,12.3,28.8,133.9%
05077,108.0,38.7,-64.2%
05081,70.3,36.0,-48.7%
05083,21.7,14.4,-33.6%
05085,36.9,35.8,-2.9%
05089,2.0,1.3,-31.8%
05091,66.9,15.9,-76.2%
05095,54.0,111.1,105.7%
05097,12.8,3.8,-70.6%
05101,1.1,8.8,704.5%
05103,12.9,2.6,-79.8%
05105,38.4,8.6,-77.7%
05107,336.4,14.2,-95.8%
05109,20.3,3.0,-85.3%
05115,35.5,6.2,-82.5%
05117,80.8,33.3,-58.8%
05119,41.4,16.8,-59.5%
05121,20.6,12.8,-37.7%
05125,9.9,9.5,-3.8%
05127,23.6,7.5,-68.0%
05129,5.3,2.9,-45.0%
05131,34.0,14.0,-58.8%
05133,16.9,9.1,-46.0%
05139,21.3,4.0,-81.1%
05141,14.7,5.3,-64.2%
05143,45.2,14.3,-68.4%
05145,18.5,16.4,-10.9%
05147,43.5,54.2,24.6%
05149,44.6,15.2,-66.0%
06013,20.8,18.5,-11.0%
06015,8.9,8.6,-3.5%
06019,36.1,0.5,-98.7%
06023,72.6,20.7,-71.5%
06025,50.0,6.0,-88.0%
06029,1.1,3.7,232.4%
06037,7.2,6.1,-14.9%
06043,0.5,62.2,12347.5%
06045,13.0,0.2,-98.5%
06053,23.4,50.3,114.7%
06057,8.0,1.3,-83.6%
06061,3.1,8.0,156.0%
06065,63.8,59.1,-7.4%
06067,23.0,62.0,169.6%
06071,1.6,2.9,81.7%
06073,42.3,7.2,-83.1%
06077,14.3,13.5,-5.5%
06085,41.3,3.0,-92.7%
06089,2.7,6.6,141.0%
06093,0.5,14.2,2670.8%
06095,39.3,25.1,-36.1%
06097,43.2,7.8,-81.9%
06107,4.3,3.9,-7.6%
08021,10.7,8.0,-25.4%
08049,16.7,4.7,-71.7%
08059,6.0,1.2,-79.9%
08067,0.6,70.0,11567.7%
08077,50.0,134.3,168.5%
08103,1329.3,16.1,-98.8%
08115,8.6,7.1,-17.2%
08123,32.5,35.8,10.2%
09001,3.2,1.6,-49.2%
09003,3.3,3.0,-9.2%
09005,3.6,2.0,-44.6%
09007,3.1,4.4,40.4%
09009,4.8,2.6,-45.1%
09011,1.8,1.5,-15.7%
09013,1.6,1.9,17.6%
09015,2.0,1.7,-15.0%
12001,1.8,15.1,738.5%
12003,2.4,2.2,-5.5%
12005,1.2,3.2,171.6%
12009,5.6,3.8,-31.7%
12011,1.6,1.5,-3.7%
12013,5.3,3.2,-39.3%
12015,2.1,3.1,48.9%
12017,3.7,4.4,19.5%
12021,1.5,3.2,110.1%
12023,0.8,1.4,65.7%
12027,3.0,5.9,97.4%
12029,5.4,6.6,22.7%
12037,12.1,5.7,-52.3%
12039,7.4,8.7,17.6%
12043,2.2,5.9,168.9%
12045,21.2,9.2,-56.5%
12047,3.4,4.0,16.4%
12049,4.1,3.5,-15.5%
12053,1.2,3.4,194.4%
12055,1.4,5.3,286.3%
12057,4.1,3.8,-7.0%
12061,7.2,4.6,-35.9%
12069,5.0,4.5,-9.0%
12071,1.6,3.2,104.7%
12073,20.1,8.0,-60.2%
12075,37.9,2.0,-94.8%
12077,8.9,2.9,-68.0%
12079,5.7,3.3,-42.1%
12081,0.6,2.9,388.0%
12083,11.0,1.8,-84.1%
12085,2.5,3.4,39.8%
12086,1.3,0.9,-29.6%
12087,1.9,0.7,-65.4%
12089,3.6,7.0,95.3%
12091,10.9,9.9,-9.2%
12093,1.4,7.6,435.5%
12095,16.2,3.6,-77.8%
12097,2.6,3.8,48.9%
12099,1.7,3.8,117.8%
12101,1.5,2.5,65.7%
12105,8.1,6.9,-15.2%
12107,1.7,5.6,234.6%
12111,7.8,4.9,-36.7%
12113,6.8,4.3,-36.7%
12115,1.5,4.2,177.8%
12117,1.5,3.2,114.5%
12119,0.8,3.4,307.4%
12121,2.0,2.0,-1.1%
12123,1.2,2.1,70.4%
12127,2.4,5.5,132.2%
12129,3.6,1.9,-48.2%
12131,6.7,7.2,7.0%
13007,8.2,3.1,-62.6%
13009,19.5,2.2,-88.9%
13015,22.3,3.5,-84.5%
13019,9.7,4.6,-52.1%
13021,26.1,6.1,-76.6%
13025,6.8,3.8,-43.6%
13027,11.2,3.9,-64.7%
13029,5.7,12.0,111.0%
13035,17.8,8.2,-54.1%
13045,24.7,12.6,-48.9%
13047,18.1,9.8,-45.5%
13055,13.5,5.0,-63.0%
13057,15.4,10.2,-33.7%
13063,21.0,7.7,-63.5%
13065,2.5,2.1,-16.5%
13067,39.1,4.8,-87.7%
13071,9.8,8.7,-11.2%
13087,13.8,8.8,-36.2%
13089,20.4,12.4,-39.0%
13093,19.7,7.8,-60.5%
13095,17.2,4.0,-76.5%
13097,30.2,14.4,-52.3%
13099,2.8,7.4,165.5%
13103,10.9,4.2,-61.6%
13109,5.5,3.1,-44.3%
13113,19.0,15.6,-18.0%
13115,23.8,8.5,-64.3%
13121,37.4,20.5,-45.1%
13127,15.0,10.9,-26.9%
13129,18.0,12.6,-30.1%
13131,16.0,13.4,-16.6%
13133,23.3,2.5,-89.3%
13135,42.8,39.8,-6.9%
13149,32.1,11.6,-63.7%
13153,19.5,6.9,-64.8%
13155,7.6,4.8,-36.6%
13161,15.2,14.2,-6.4%
13169,2.2,6.8,209.4%
13175,17.7,6.8,-61.5%
13179,15.0,13.9,-7.1%
13185,7.1,4.4,-38.7%
13193,25.4,7.7,-69.8%
13217,40.2,11.7,-71.0%
13219,30.8,11.5,-62.6%
13233,12.9,7.7,-40.3%
13247,47.2,12.7,-73.1%
13251,6.7,5.9,-11.6%
13253,12.3,8.4,-32.1%
13261,25.9,8.6,-66.9%
13275,14.5,8.6,-41.0%
13277,9.7,5.9,-39.5%
13285,18.5,7.6,-59.0%
13305,15.1,25.4,67.9%
13307,13.0,7.9,-39.5%
13309,7.8,16.3,107.8%
13313,18.0,12.3,-31.6%
13319,8.7,8.2,-6.6%
15001,1.0,5.3,421.0%
15009,4.7,0.3,-94.4%
16007,90.1,16.1,-82.2%
16019,6.3,3.6,-43.0%
16031,43.9,22.0,-49.8%
16039,9.3,5.2,-44.3%
16041,15.5,9.2,-40.7%
16069,7.9,9.8,24.9%
16073,2.1,7.6,261.8%
16087,10.1,14.5,43.1%
17003,144.7,62.9,-56.5%
17007,11.7,10.3,-11.7%
17011,189.3,18.5,-90.3%
17025,71.8,14.0,-80.6%
17031,35.4,2.9,-92.0%
17047,104.3,9.3,-91.1%
17049,26.0,4.8,-81.7%
17061,36.1,30.0,-17.0%
17063,39.9,10.7,-73.3%
17073,15.3,8.8,-42.4%
17075,17.9,18.3,2.0%
17085,25.6,13.1,-48.8%
17089,34.0,4.3,-87.3%
17091,50.7,6.6,-86.9%
17099,45.9,13.3,-71.0%
17111,20.9,6.5,-68.9%
17141,31.2,16.8,-46.3%
17143,31.6,10.0,-68.3%
17153,50.2,39.9,-20.5%
17157,39.2,57.0,45.4%
17161,32.7,23.9,-26.9%
17171,76.4,48.5,-36.5%
17173,9.2,11.6,26.4%
17177,38.7,42.7,10.5%
17191,44.9,12.3,-72.6%
17195,57.0,20.9,-63.3%
17197,25.8,13.1,-49.1%
17201,26.3,16.1,-38.9%
18051,69.0,33.8,-51.1%
18089,7.5,6.7,-10.1%
18123,55.4,56.0,1.2%
19005,245.8,7.0,-97.2%
19045,20.9,36.1,72.9%
19053,8.0,11.4,42.5%
19057,85.0,15.3,-82.0%
19071,523.1,280.1,-46.5%
19111,34.2,23.3,-31.7%
19115,78.1,32.3,-58.7%
19125,24.0,19.4,-19.1%
19149,55.2,355.0,543.1%
19153,28.0,17.2,-38.6%
20005,57.3,17.4,-69.7%
20009,25.4,1.9,-92.7%
20011,17.5,23.7,35.6%
20013,50.6,37.5,-25.9%
20015,16.0,13.8,-13.6%
20017,24.6,13.0,-47.1%
20019,14.0,27.2,94.5%
20021,12.4,33.3,167.6%
20027,62.2,57.0,-8.4%
20029,52.9,56.5,6.9%
20031,21.6,25.2,16.8%
20035,43.5,11.3,-74.1%
20041,98.1,86.8,-11.5%
20043,116.7,27.4,-76.5%
20045,71.7,17.2,-76.0%
20051,6.9,17.2,147.7%
20053,44.8,29.3,-34.6%
20059,22.9,23.5,2.7%
20061,9.7,31.7,227.6%
20073,17.8,17.0,-4.2%
20075,66.8,7.0,-89.5%
20079,50.6,7.3,-85.7%
20085,8.8,305.4,3381.6%
20087,22.7,92.4,307.8%
20089,22.3,147.0,559.5%
20091,118.8,52.4,-55.9%
20095,16.9,9.6,-43.2%
20099,21.8,37.3,70.6%
20103,169.0,14.1,-91.7%
20105,14.8,18.2,23.4%
20107,47.8,13.5,-71.8%
20111,48.7,209.8,331.2%
20113,9.4,20.5,118.1%
20115,13.1,20.8,58.4%
20117,104.5,29.1,-72.2%
20123,66.4,28.2,-57.5%
20125,28.9,91.4,216.7%
20127,28.9,10.9,-62.4%
20131,31.3,15.9,-49.2%
20133,46.8,20.8,-55.5%
20137,38.8,23.3,-40.0%
20139,25.6,44.9,75.6%
20141,63.4,16.1,-74.5%
20143,115.0,57.7,-49.8%
20147,16.2,19.8,21.6%
20149,36.1,18.2,-49.6%
20155,26.4,12.6,-52.3%
20157,30.2,92.5,206.2%
20159,8.1,16.2,100.3%
20161,41.5,12.6,-69.6%
20163,11.8,13.7,17.0%
20167,16.0,18.7,17.1%
20169,66.5,43.0,-35.4%
20173,37.0,14.1,-61.9%
20177,137.7,100.3,-27.1%
20191,27.8,14.6,-47.6%
20195,1154.0,25.0,-97.8%
20197,100.2,14.1,-85.9%
20201,125.3,83.2,-33.7%
20205,32.7,87.1,166.1%
20209,105.8,60.1,-43.2%
21025,92.4,6.0,-93.5%
21029,63.5,11.7,-81.5%
21077,36.1,50.1,38.8%
21089,20.0,22.1,10.3%
21093,6.5,39.2,500.3%
21111,47.8,7.9,-83.5%
21119,106.8,4.9,-95.4%
21127,57.3,10.1,-82.4%
21129,24.6,3.1,-87.3%
21143,19.9,13.6,-32.0%
21145,15.3,4.5,-70.6%
21147,8.0,8.9,11.6%
21189,32.0,5.4,-83.0%
21191,44.1,21.6,-51.0%
21211,45.7,8.3,-81.8%
22003,18.5,17.4,-6.2%
22011,12.0,50.1,317.5%
22019,17.7,44.2,150.1%
22021,96.7,0.9,-99.1%
22047,56.3,428.9,661.8%
22051,10.3,19.2,86.4%
22053,72.0,70.4,-2.3%
22065,103.0,14.4,-86.0%
22067,67.2,56.2,-16.3%
22075,78.8,40.0,-49.2%
22077,79.8,122.3,53.3%
22079,56.4,30.6,-45.7%
22081,12.2,20.3,67.3%
22097,38.7,29.7,-23.3%
22099,65.0,59.7,-8.2%
22101,82.4,37.0,-55.1%
22107,6.7,38.5,475.2%
22111,5.0,0.6,-88.5%
22123,225.8,303.0,34.2%
22125,90.2,49.1,-45.6%
23003,2.8,0.7,-73.6%
23005,3.1,78.5,2458.5%
23011,1.7,0.8,-51.8%
23017,1.0,1.5,45.0%
23019,2.6,1.2,-53.0%
23029,2.0,2.4,20.7%
24003,11.5,54.4,373.4%
24005,17.2,15.7,-8.9%
24011,3.6,2.4,-33.8%
24025,7.3,9.8,33.2%
24043,0.6,4.9,716.9%
25017,1.7,3.3,92.8%
25027,2.8,2.1,-26.0%
26005,9.5,13.6,43.0%
26007,3.0,1.3,-56.2%
26011,6.5,13.5,105.8%
26021,7.5,4.4,-41.4%
26031,1.7,2.0,14.4%
26033,0.9,95.2,10328.6%
26041,1.5,3.5,128.4%
26063,15.6,3.6,-77.0%
26069,1.5,0.7,-51.7%
26077,38.0,4.9,-87.0%
26083,1.6,0.2,-86.6%
26095,2.3,0.2,-91.5%
26097,5.8,22.1,281.6%
26099,17.1,24.9,45.9%
26101,3.2,3.7,15.1%
26115,12.1,28.1,132.2%
26123,3.3,3.4,5.3%
26131,123.5,31.6,-74.4%
26139,15.6,22.1,41.3%
26145,17.5,14.0,-19.8%
26147,9.6,10.6,10.7%
26151,1.0,4.0,299.9%
26153,2.9,3.7,27.1%
26159,4.6,0.3,-92.7%
26163,2.0,19.8,883.5%
27003,5.1,16.5,220.6%
27017,6.2,48.5,686.2%
27019,44.8,91.0,103.1%
27025,3.5,14.6,314.1%
27029,4.4,8.9,102.6%
27037,17.7,10.9,-38.1%
27045,26.0,29.1,12.1%
27055,15.0,7.2,-51.7%
27061,1.8,24.6,1234.3%
27063,2.5,72.1,2782.4%
27069,3.8,43.2,1040.9%
27071,16.7,28.3,69.7%
27075,1.3,32.0,2362.7%
27077,4.8,7.4,55.5%
27093,6.3,24.9,295.9%
27097,4.0,6.2,54.9%
27105,2.6,27.3,938.0%
27119,26.0,12.6,-51.7%
27123,7.8,6.5,-15.9%
27137,15.1,12.1,-19.5%
